Rank | Name             | W - L | Lifeforce

1    | 2LS              | 3 - 0 | 10,493,785
2    | Forget2Play      | 2 - 1 | 10,444,084
3    | 디시인사이드           | 3 - 0 | 10,219,024
4    | Scripted         | 2 - 1 | 9,852,254
5    | Rebel            | 2 - 1 | 9,686,879
6    | Memento          | 2 - 1 | 7,771,987
7    | 【﻿ＢＬＩＮＫ】         | 2 - 1 | 7,626,896
8    | 코코는병아리           | 3 - 0 | 7,033,595
9    | FuwaFuwa         | 2 - 1 | 6,663,384
10   | Ohanami          | 2 - 1 | 6,630,589
11   | Lunatear         | 3 - 0 | 6,617,637
12   | ꧁SnowSanctuary꧂  | 2 - 1 | 6,532,914
13   | ☆Soulmate☆       | 2 - 1 | 6,269,001
14   | Niflheim         | 2 - 1 | 6,222,164
15   | Hololive         | 2 - 1 | 5,941,115
16   | Malice           | 2 - 1 | 5,786,102
17   | Peerless         | 2 - 1 | 5,663,993
18   | Defiance(｡･ω･｡)ﾉ | 1 - 2 | 5,642,326
19   | Lethargy         | 2 - 1 | 5,491,916
20   | Pendraig         | 2 - 1 | 5,442,808
21   | Pantheon         | 1 - 2 | 5,272,582
22   | Vroom            | 1 - 2 | 5,246,932
23   | 의미               | 2 - 1 | 5,231,223
24   | ChurchOfTamagod  | 2 - 1 | 5,114,257
25   | Gullible         | 2 - 1 | 5,076,213
26   | NOAH             | 2 - 1 | 5,056,058
27   | mEmE             | 1 - 2 | 5,022,054
28   | Alchemia         | 2 - 1 | 4,882,119
29   | CBTXNTR          | 2 - 1 | 4,727,016
30   | Insomnia         | 2 - 1 | 4,667,869
31   | 휴식의정원            | 2 - 1 | 4,551,981
32   | Anxiety          | 2 - 1 | 4,482,293
33   | 은하수의밤            | 2 - 1 | 4,322,296
34   | AXIS             | 2 - 1 | 4,192,725
35   | BulbGang         | 2 - 1 | 4,145,822
36   | 4Fun             | 2 - 1 | 4,068,206
37   | Cthulhu          | 1 - 2 | 3,956,619
38   | Phantasmagoria   | 2 - 1 | 3,865,387
39   | HYDRA            | 2 - 1 | 3,597,766
40   | Revenants        | 2 - 1 | 3,484,052
41   | Kaminari         | 2 - 1 | 3,395,178
42   | 쌀롱               | 2 - 1 | 3,373,428
43   | 시린이날             | 2 - 1 | 3,186,923
44   | Ezerien          | 1 - 2 | 3,145,713
45   | AVARITIA         | 1 - 2 | 3,056,939
46   | SINoMAKE         | 1 - 2 | 2,981,868
47   | Moonlit          | 1 - 2 | 2,911,209
48   | PPNation         | 2 - 1 | 2,868,950
49   |                  | 1 - 2 | 2,770,971
50   | Sınners          | 1 - 2 | 2,747,127
51   | Toast            | 2 - 1 | 2,640,113
52   | Automata         | 1 - 2 | 2,569,592
53   | Argonaut         | 1 - 2 | 2,522,302
54   | EvilDoer         | 2 - 1 | 2,461,570
55   | Rheita           | 1 - 2 | 2,443,927
56   | Neo-Axiom        | 1 - 2 | 2,428,878
57   | Avernus          | 1 - 2 | 2,335,285
58   | Passione         | 1 - 2 | 2,301,246
59   | GvZ              | 1 - 2 | 2,179,708
60   | Reverie          | 1 - 2 | 2,008,223
61   | Dust             | 1 - 2 | 1,832,810
62   | Luminalis        | 1 - 2 | 1,817,446
63   | NobleGuard       | 1 - 2 | 1,733,770
64   | 69Degrees        | 1 - 2 | 1,728,663
65   | Reformed         | 1 - 2 | 1,704,397
66   | CAHP             | 1 - 2 | 1,446,803
67   | 블랙말랑카우           | 1 - 2 | 1,443,975
68   | 얼음꽃              | 1 - 2 | 1,326,272
69   | 커피앤도넛            | 1 - 2 | 1,299,659
70   | 밥심               | 1 - 2 | 1,020,885
71   | Arcadia          | 0 - 3 | 952,611
72   | Paranoia         | 0 - 3 | 903,419
73   | 잔혹동화출판사          | 1 - 2 | 899,367
74   | Nameless         | 0 - 3 | 828,216
75   | TBD              | 1 - 2 | 549,916
76   | Valhalla         | 0 - 3 | 411,949
77   | KupoClub         | 0 - 3 | 33,567
78   | 데덴네              | 0 - 3 | 0
