Rank | Name             | W - L | Lifeforce

1    | SINoALICE        | 3 - 0 | 12,375,187
2    | 즐거운우리집           | 3 - 0 | 11,249,897
3    | (주)월하미인          | 2 - 1 | 9,423,603
4    | Coldbrew         | 3 - 0 | 9,205,990
5    | Almond           | 2 - 1 | 9,047,934
6    | 설화               | 2 - 1 | 8,633,275
7    | 새벽               | 3 - 0 | 8,423,900
8    | Daybreak         | 3 - 0 | 8,297,328
9    | 마굿간              | 3 - 0 | 8,240,135
10   | Neko★彡彡          | 2 - 1 | 7,968,840
11   | 문제아              | 2 - 1 | 7,816,506
12   | PlayWoW          | 2 - 1 | 7,535,082
13   | Encore           | 2 - 1 | 7,487,933
14   | SandbaggingShira | 2 - 1 | 7,466,076
15   | 냥냥펀치             | 2 - 1 | 7,129,163
16   | AstessiaJC       | 2 - 1 | 7,125,019
17   | 블랙소울             | 2 - 1 | 7,026,855
18   | owo7             | 1 - 2 | 6,883,584
19   | ZODIAC           | 2 - 1 | 6,723,075
20   | Avantheim        | 2 - 1 | 6,611,650
21   | RLC              | 2 - 1 | 6,192,636
22   | Stellar          | 2 - 1 | 6,107,065
23   | ƔϵևՁɠɠ           | 2 - 1 | 6,014,803
24   | ꫛꫀꪝ✧‧˚           | 2 - 1 | 5,981,623
25   | S.E.A            | 2 - 1 | 5,975,015
26   | AlmondMilk       | 1 - 2 | 5,887,969
27   | Alicization      | 2 - 1 | 5,728,194
28   | Ovan'$$Ble$$ing  | 2 - 1 | 5,671,048
29   | YoRHa            | 2 - 1 | 5,648,866
30   | Astarea          | 2 - 1 | 5,527,944
31   | MomPasta         | 3 - 0 | 5,451,570
32   | FoxTails         | 2 - 1 | 5,302,653
33   | Marina           | 2 - 1 | 5,193,487
34   | Roselia          | 2 - 1 | 5,164,652
35   | Doge             | 2 - 1 | 5,053,593
36   | TRIAD            | 2 - 1 | 4,863,005
37   | Maung            | 1 - 2 | 4,798,924
38   | Chariot          | 2 - 1 | 4,617,054
39   | Nekoship         | 2 - 1 | 4,562,342
40   | ILLUMINAE        | 2 - 1 | 4,518,854
41   | TeaCats          | 1 - 2 | 4,503,193
42   | Wyld             | 2 - 1 | 4,322,731
43   | Jelly            | 2 - 1 | 4,293,043
44   | Hoshi            | 2 - 1 | 4,288,717
45   | 수상한암살            | 2 - 1 | 4,115,966
46   | 끓는무쇠솥            | 2 - 1 | 3,972,818
47   | Mementos         | 2 - 1 | 3,911,058
48   | 쿠로가미             | 1 - 2 | 3,814,930
49   | Ashurã           | 2 - 1 | 3,770,903
50   | MiGraine         | 1 - 2 | 3,727,063
51   | Vigrior          | 2 - 1 | 3,649,302
52   | KuroNeko         | 2 - 1 | 3,626,394
53   | DarkVoid         | 2 - 1 | 3,596,193
54   | StarryNight      | 2 - 1 | 3,580,018
55   | JuraForest       | 1 - 2 | 3,555,102
56   | aster            | 1 - 2 | 3,534,250
57   | ADIX             | 1 - 2 | 3,526,302
58   | SV               | 1 - 2 | 3,505,709
59   | 바나나우유            | 1 - 2 | 3,481,932
60   | REPL:EVER        | 1 - 2 | 3,371,379
61   | Fallacy          | 1 - 2 | 3,333,612
62   | Isocial          | 2 - 1 | 3,311,437
63   | Lancaster        | 1 - 2 | 3,233,008
64   | CHALDEA          | 1 - 2 | 3,206,992
65   | Crown​           | 2 - 1 | 3,157,578
66   | Sinners          | 2 - 1 | 3,050,610
67   | Wind             | 1 - 2 | 2,976,228
68   | GrimGrimoire[α]  | 1 - 2 | 2,842,684
69   | Alfamart         | 2 - 1 | 2,815,635
70   | IndoSin          | 1 - 2 | 2,626,462
71   | Colours          | 2 - 1 | 2,522,673
72   | Scarlet          | 1 - 2 | 2,515,333
73   | RainyDay         | 1 - 2 | 2,441,207
74   | GrimGrimoire[β]  | 2 - 1 | 2,423,573
75   | SINoPORE         | 1 - 2 | 2,403,525
76   | Gkilling         | 1 - 2 | 2,359,157
77   | SHIRANAI         | 1 - 2 | 2,225,856
78   | BanVaeN          | 1 - 2 | 2,164,070
79   | SINoArc          | 1 - 2 | 2,139,326
80   | Nier             | 1 - 2 | 2,124,467
81   | Lameroz          | 1 - 2 | 2,087,236
82   | Tranquil         | 1 - 2 | 2,042,109
83   | Asphyxia         | 1 - 2 | 1,898,330
84   | ☆Waifus☆         | 1 - 2 | 1,849,339
85   | DragonStar       | 1 - 2 | 1,841,976
86   | 콜로세움하자           | 0 - 3 | 1,769,352
87   | 연인               | 1 - 2 | 1,720,503
88   | SINful           | 1 - 2 | 1,375,993
89   | D.M.C            | 1 - 2 | 1,222,300
90   | EcchiLand        | 1 - 2 | 1,170,292
91   | SkyIndo          | 1 - 2 | 1,147,182
92   | Prinny_Brigade   | 1 - 2 | 1,109,480
93   | Arunafel         | 0 - 3 | 1,107,491
94   | PlayCat          | 1 - 2 | 1,107,172
95   | Arcanum          | 0 - 3 | 1,062,485
96   | Orchid           | 0 - 3 | 910,127
97   | 조용조용             | 1 - 2 | 522,058
98   | SINergia         | 0 - 3 | 441,084
99   | Insanity         | 0 - 3 | 423,683
100  | 길드명추천받습니다        | 0 - 3 | 358,138
101  | ¿ApplE?          | 0 - 3 | 188,302
102  | Lounge           | 0 - 3 | 5,017
103  | Perseverance     | 0 - 3 | 4,253
104  | Creamed          | 0 - 3 | 1,259
