Rank  | Name             | TS | W - L | Lifeforce
37    | Weebs            | 5  | 3 - 0 | 9,981,621
38    | Insomniacs       | 6  | 2 - 1 | 9,973,631
39    | FinalAct         | 10  | 3 - 0 | 9,874,882
40    | Tartarus         | 8  | 3 - 0 | 9,855,882
41    | Scripted         | 11  | 2 - 1 | 9,852,254
42    | Typhon           | 9  | 3 - 0 | 9,843,244
43    | Brotherhood      | 9  | 2 - 1 | 9,814,612
44    | M&C              | 7  | 2 - 1 | 9,805,412
45    | Rebirth          | 9  | 2 - 1 | 9,739,322
46    | Fantasy          | 8  | 3 - 0 | 9,723,047
47    | uwu♡~            | 1  | 2 - 1 | 9,694,627
48    | Rebel            | 11  | 2 - 1 | 9,686,879
49    | Agony            | 6  | 2 - 1 | 9,638,234
50    | Armada           | 8  | 2 - 1 | 9,625,947
51    | FTRAP            | 1  | 2 - 1 | 9,539,805
52    | AI               | 8  | 2 - 1 | 9,526,794
53    | KaboomBoomBoom   | 3  | 2 - 1 | 9,455,672
54    | (주)월하미인          | 13  | 2 - 1 | 9,423,603
55    | LawIsThicc       | 9  | 2 - 1 | 9,410,727
56    | UNDRGROUND       | 1  | 2 - 1 | 9,313,226
57    | Astryx           | 8  | 2 - 1 | 9,246,557
58    | Coldbrew         | 13  | 3 - 0 | 9,205,990
59    | Elysium          | 4  | 3 - 0 | 9,157,073
60    | Secret_Garden    | 4  | 2 - 1 | 9,115,045
61    | Almond           | 13  | 2 - 1 | 9,047,934
62    | SleepingAngels   | 10  | 3 - 0 | 9,007,680
63    | [_]              | 3  | 2 - 1 | 8,975,000
64    | Vesto            | 5  | 2 - 1 | 8,957,500
65    | Abhorsen         | 7  | 2 - 1 | 8,936,147
66    | LunarTear        | 7  | 3 - 0 | 8,923,701
67    | 영원               | 12  | 3 - 0 | 8,886,761
68    | PowerUP          | 9  | 3 - 0 | 8,877,655
69    | HoloLive         | 12  | 3 - 0 | 8,862,785
70    | MilkVoid         | 9  | 2 - 1 | 8,814,335
71    | Choten           | 6  | 2 - 1 | 8,752,165
72    | RuriBestWaifu    | 9  | 2 - 1 | 8,750,719
73    | Squids           | 5  | 2 - 1 | 8,743,388
74    | 설화               | 13  | 2 - 1 | 8,633,275
75    | Pray4Texas       | 8  | 2 - 1 | 8,597,354
76    | Revive           | 8  | 2 - 1 | 8,597,113
77    | ClammyClam       | 5  | 2 - 1 | 8,592,015
78    | mnemonic         | 7  | 2 - 1 | 8,579,673
79    | [Not]Eternia     | 9  | 3 - 0 | 8,566,496
80    | Phantasmagoria   | 5  | 2 - 1 | 8,557,072
81    | TheNut           | 8  | 2 - 1 | 8,550,710
82    | SINoABBY         | 8  | 2 - 1 | 8,537,447
83    | Enigami          | 12  | 2 - 1 | 8,519,734
84    | Kali             | 5  | 3 - 0 | 8,509,692
85    | Darkness         | 7  | 3 - 0 | 8,501,804
86    | 뉴비               | 12  | 2 - 1 | 8,475,794
87    | ♤♡Palace♧♢       | 1  | 2 - 1 | 8,466,168
88    | 새벽               | 13  | 3 - 0 | 8,423,900
89    | KokoDayo         | 5  | 2 - 1 | 8,419,717
90    | PhantomTroupe    | 10  | 3 - 0 | 8,397,154
91    | Nexus            | 9  | 3 - 0 | 8,396,767
92    | Chunchunmaru     | 7  | 2 - 1 | 8,380,351
93    | YoRha            | 5  | 3 - 0 | 8,361,172
94    | Daybreak         | 13  | 3 - 0 | 8,297,328
95    | Hellions         | 4  | 3 - 0 | 8,265,994
96    | 마굿간              | 13  | 3 - 0 | 8,240,135
97    | Codex            | 5  | 2 - 1 | 8,224,741
98    | Nyantropy        | 10  | 3 - 0 | 8,224,214
99    | Wu               | 9  | 2 - 1 | 8,175,160
100   | Everlasting      | 6  | 2 - 1 | 8,172,673
101   | Corosars         | 1  | 2 - 1 | 8,170,200
102   | Elkia            | 1  | 3 - 0 | 8,118,571
103   | Phantagasm       | 10  | 2 - 1 | 8,096,331
104   | Birbs            | 5  | 2 - 1 | 8,093,873
105   | Moogles          | 6  | 2 - 1 | 8,092,772
106   | 만사귀찮             | 1  | 2 - 1 | 8,001,472
107   | Chronicles       | 1  | 1 - 2 | 7,999,919
108   | Reunion          | 4  | 2 - 1 | 7,984,195
109   | Neko★彡彡          | 13  | 2 - 1 | 7,968,840
110   | VeXille          | 4  | 2 - 1 | 7,956,813
111   | ㄴㄱ               | 7  | 2 - 1 | 7,955,243
112   | JustUsFrogsAgain | 4  | 2 - 1 | 7,923,818
113   | thinkguild       | 10  | 2 - 1 | 7,905,097
114   | Arcanum          | 4  | 3 - 0 | 7,829,999
115   | 문제아              | 13  | 2 - 1 | 7,816,506
116   | Pain.            | 1  | 2 - 1 | 7,806,403
117   | Ichariba         | 1  | 2 - 1 | 7,804,210
118   | ☆☆LAZe☆☆         | 7  | 3 - 0 | 7,799,408
119   | Memento          | 11  | 2 - 1 | 7,771,987
120   | Elegy            | 10  | 2 - 1 | 7,763,458
121   | Toast            | 7  | 2 - 1 | 7,763,303
122   | Stardust         | 4  | 2 - 1 | 7,732,334
123   | Chaldea          | 3  | 3 - 0 | 7,712,601
124   | 765Pro           | 4  | 2 - 1 | 7,702,681
125   | Uncharted        | 5  | 2 - 1 | 7,677,730
126   | 『MR』             | 9  | 2 - 1 | 7,669,883
127   | Another          | 8  | 2 - 1 | 7,663,617
128   | Avenoir          | 9  | 2 - 1 | 7,657,096
129   | Shade            | 6  | 3 - 0 | 7,651,023
130   | Hollow           | 10  | 2 - 1 | 7,643,355
131   | Nyaaa            | 9  | 2 - 1 | 7,629,786
132   | 【﻿ＢＬＩＮＫ】         | 11  | 2 - 1 | 7,626,896
133   | Belial           | 8  | 2 - 1 | 7,622,281
134   | ♥Not101AgainPlz♥ | 10  | 2 - 1 | 7,541,402
135   | SANCTUM          | 5  | 2 - 1 | 7,535,171
136   | PlayWoW          | 13  | 2 - 1 | 7,535,082
137   | UmaruLand        | 8  | 2 - 1 | 7,530,621
138   | Quebec           | 6  | 1 - 2 | 7,527,319
139   | Gods             | 7  | 2 - 1 | 7,516,972
140   | Tempest          | 12  | 3 - 0 | 7,515,024
141   | EatPant2         | 10  | 3 - 0 | 7,507,581
142   | Encore           | 13  | 2 - 1 | 7,487,933
143   | Genocide         | 12  | 2 - 1 | 7,481,674
144   | SandbaggingShira | 13  | 2 - 1 | 7,466,076
145   | Rapture          | 4  | 2 - 1 | 7,461,437
146   | 幼儿园              | 10  | 2 - 1 | 7,459,477
147   | Dabbers          | 5  | 2 - 1 | 7,456,653
148   | Lucklets         | 4  | 3 - 0 | 7,455,902
149   | Noragami         | 4  | 2 - 1 | 7,445,545
150   | Dream            | 9  | 2 - 1 | 7,394,541
151   | TeamPetty        | 5  | 3 - 0 | 7,360,273
152   | Harmony          | 4  | 2 - 1 | 7,334,586
153   | CatCafé          | 5  | 3 - 0 | 7,323,451
154   | KAIJU            | 8  | 2 - 1 | 7,316,667
155   | Pokespoiler      | 6  | 2 - 1 | 7,309,096
156   | Roanapur         | 12  | 2 - 1 | 7,308,562
157   | Lunar日食          | 8  | 2 - 1 | 7,308,546
158   | 한국산흑우단           | 12  | 2 - 1 | 7,297,958
159   | WildRose         | 8  | 2 - 1 | 7,296,772
160   | LammyCult        | 9  | 3 - 0 | 7,280,096
161   | Yozora           | 6  | 2 - 1 | 7,279,676
162   | Imperial         | 7  | 2 - 1 | 7,275,463
163   | PHAEDRA          | 10  | 2 - 1 | 7,257,334
164   | Meow             | 4  | 3 - 0 | 7,241,473
165   | Genesis          | 8  | 3 - 0 | 7,234,175
166   | Happy            | 12  | 2 - 1 | 7,232,126
167   | 카레맛집             | 12  | 2 - 1 | 7,231,837
168   | Frans            | 8  | 2 - 1 | 7,208,281
169   | Phantoms         | 2  | 2 - 1 | 7,174,374
170   | 냥냥펀치             | 13  | 2 - 1 | 7,129,163
171   | AstessiaJC       | 13  | 2 - 1 | 7,125,019
172   | Nightfall        | 12  | 3 - 0 | 7,122,382
173   | GranWing         | 5  | 2 - 1 | 7,118,986
174   | Alliance         | 9  | 2 - 1 | 7,068,459
175   | Puzzles          | 9  | 2 - 1 | 7,050,713
176   | OuRHa            | 6  | 2 - 1 | 7,050,448
177   | 福Lucky♡          | 1  | 3 - 0 | 7,044,644
178   | 코코는병아리           | 11  | 3 - 0 | 7,033,595
179   | Pekoland         | 1  | 2 - 1 | 7,028,279
180   | 블랙소울             | 13  | 2 - 1 | 7,026,855
181   | Starry           | 10  | 2 - 1 | 7,021,925
182   | Marigold         | 5  | 2 - 1 | 7,016,446
183   | 9Realms          | 6  | 2 - 1 | 6,979,888
184   | WildHunt         | 6  | 2 - 1 | 6,979,557
185   | Ragnarokr        | 10  | 2 - 1 | 6,976,586
186   | Arroz            | 6  | 2 - 1 | 6,972,968
187   | Reroll-Yubi      | 10  | 2 - 1 | 6,939,898
188   | ZaWarudo         | 3  | 2 - 1 | 6,932,932
189   | GrimTale         | 5  | 3 - 0 | 6,916,449
190   | Avarice          | 10  | 2 - 1 | 6,900,325
191   | LosMiMichitos    | 9  | 2 - 1 | 6,895,384
192   | owo7             | 13  | 1 - 2 | 6,883,584
193   | BloodOath        | 1  | 2 - 1 | 6,874,173
194   | Solis            | 5  | 2 - 1 | 6,872,170
195   | BlackRose        | 6  | 3 - 0 | 6,870,280
196   | Aeternum         | 1  | 3 - 0 | 6,852,038
197   | ᴇᴠɪʟ☬ɢᴇɴɪᴜꜱᴇꜱ    | 7  | 2 - 1 | 6,850,054
198   | Baguette         | 5  | 2 - 1 | 6,847,683
199   | WeebLand         | 2  | 2 - 1 | 6,842,992
200   | TARDIS           | 4  | 2 - 1 | 6,836,835
201   | Necronomicon     | 10  | 2 - 1 | 6,826,434
202   | Hazelnut         | 5  | 2 - 1 | 6,813,833
203   | 잔향               | 12  | 2 - 1 | 6,807,758
204   | Wall-Nut         | 9  | 2 - 1 | 6,805,102
205   | Squids           | 10  | 2 - 1 | 6,791,340
206   | RosaGigantea     | 8  | 2 - 1 | 6,779,780
207   | YoRHa            | 2  | 3 - 0 | 6,764,381
208   | Oldworld         | 3  | 3 - 0 | 6,743,843
209   | 14vs1            | 1  | 2 - 1 | 6,742,547
210   | Nutella          | 12  | 2 - 1 | 6,737,662
211   | ZODIAC           | 13  | 2 - 1 | 6,723,075
212   | Memories         | 1  | 3 - 0 | 6,678,609
213   | Ecstasy          | 1  | 2 - 1 | 6,664,470
214   | FuwaFuwa         | 11  | 2 - 1 | 6,663,384
215   | HupGuard         | 5  | 2 - 1 | 6,661,430
216   | Mjødhall         | 5  | 2 - 1 | 6,631,503
217   | Ohanami          | 11  | 2 - 1 | 6,630,589
218   | Odyssey          | 5  | 2 - 1 | 6,624,480
219   | Lunatear         | 11  | 3 - 0 | 6,617,637
220   | 밤하늘              | 1  | 2 - 1 | 6,613,604
221   | Avantheim        | 13  | 2 - 1 | 6,611,650
222   | Smh-3-           | 9  | 2 - 1 | 6,610,385
223   | BookClub         | 9  | 2 - 1 | 6,606,550
224   | Vesperia         | 7  | 2 - 1 | 6,601,686
225   | OnceUpon         | 10  | 2 - 1 | 6,570,714
226   | Aether           | 8  | 2 - 1 | 6,559,073
227   | Eternum          | 8  | 2 - 1 | 6,554,827
228   | Salvation™       | 5  | 2 - 1 | 6,551,970
229   | KARMA            | 5  | 2 - 1 | 6,549,620
230   | AllStars         | 4  | 2 - 1 | 6,545,830
231   | LuckyOrb         | 6  | 3 - 0 | 6,540,138
232   | Xoriat           | 9  | 2 - 1 | 6,535,907
233   | Mexicore         | 8  | 2 - 1 | 6,533,857
234   | ꧁SnowSanctuary꧂  | 11  | 2 - 1 | 6,532,914
235   | Revive20SP       | 4  | 2 - 1 | 6,526,377
236   | CaSINo           | 3  | 2 - 1 | 6,514,756
237   | ArkainaKore      | 8  | 2 - 1 | 6,508,777
238   | MilkTea自         | 1  | 2 - 1 | 6,488,798
239   | SunnyDay~        | 12  | 2 - 1 | 6,483,316
240   | Pleiades         | 10  | 2 - 1 | 6,479,692
241   | La_Secte         | 5  | 2 - 1 | 6,435,148
242   | Mistborn         | 5  | 2 - 1 | 6,432,738
243   | Shikibu          | 9  | 2 - 1 | 6,424,554
244   | Alice            | 1  | 2 - 1 | 6,396,233
245   | BlackBox         | 4  | 2 - 1 | 6,388,736
246   | DârkSîn          | 10  | 2 - 1 | 6,362,603
247   | Abandoned        | 3  | 3 - 0 | 6,354,126
248   | Cirque           | 9  | 1 - 2 | 6,347,862
249   | Hysteria         | 4  | 2 - 1 | 6,344,031
250   | Alabaster        | 9  | 2 - 1 | 6,333,604
251   | GrandSouls       | 10  | 2 - 1 | 6,316,506
252   | Cthuwu           | 10  | 2 - 1 | 6,308,309
253   | Guardians        | 12  | 2 - 1 | 6,307,558
254   | BeAsG0Ds         | 5  | 2 - 1 | 6,305,095
255   | Otaku            | 9  | 2 - 1 | 6,293,626
256   | .·´✧Depora✧`·.   | 7  | 2 - 1 | 6,292,367
257   | SINcerity        | 5  | 2 - 1 | 6,278,797
258   | Faustian         | 7  | 2 - 1 | 6,270,540
259   | ☆Soulmate☆       | 11  | 2 - 1 | 6,269,001
260   | Elegy            | 6  | 2 - 1 | 6,265,951
261   | Abyss            | 8  | 1 - 2 | 6,263,342
262   | EndofPariah      | 5  | 2 - 1 | 6,261,602
263   | KuroiUta         | 3  | 3 - 0 | 6,261,243
264   | Blank            | 5  | 2 - 1 | 6,253,628
265   | Niflheim         | 11  | 2 - 1 | 6,222,164
266   | 7thElement       | 8  | 2 - 1 | 6,208,762
267   | iGod             | 6  | 2 - 1 | 6,205,656
268   | Punny            | 7  | 2 - 1 | 6,198,618
269   | Noobs            | 9  | 2 - 1 | 6,193,781
270   | RLC              | 13  | 2 - 1 | 6,192,636
271   | Bellum           | 8  | 2 - 1 | 6,185,840
272   | HachikujiMayoi   | 6  | 2 - 1 | 6,161,321
273   | DayDream         | 5  | 1 - 2 | 6,155,752
274   | TheNorth         | 7  | 2 - 1 | 6,154,720
275   | Divine           | 9  | 2 - 1 | 6,147,522
276   | Bullied          | 10  | 2 - 1 | 6,145,040
277   | Imperium         | 3  | 2 - 1 | 6,132,629
278   | Schwert          | 10  | 2 - 1 | 6,131,151
279   | Pariah           | 4  | 1 - 2 | 6,130,197
280   | Destiny          | 3  | 2 - 1 | 6,122,476
281   | Nameless         | 8  | 2 - 1 | 6,120,956
282   | Stellar          | 13  | 2 - 1 | 6,107,065
283   | Hopeless         | 8  | 2 - 1 | 6,104,959
284   | Lost_Cause       | 10  | 2 - 1 | 6,102,363
285   | SOX天国            | 9  | 2 - 1 | 6,086,869
286   | Oracles          | 7  | 2 - 1 | 6,077,110
287   | X̷I̷I̷I̷         | 7  | 2 - 1 | 6,067,640
288   | Re:ℤer๏          | 9  | 2 - 1 | 6,064,627
289   | Hokuten-Knights  | 4  | 2 - 1 | 6,059,823
290   | CULToSUNNY       | 3  | 3 - 0 | 6,052,373
291   | Azur             | 3  | 2 - 1 | 6,047,463
292   | RoyalKnights     | 8  | 3 - 0 | 6,046,047
293   | FUNAlice         | 9  | 2 - 1 | 6,035,140
294   | Libra            | 3  | 2 - 1 | 6,031,041
295   | Chronos          | 2  | 2 - 1 | 6,029,442
296   | BadLuck          | 9  | 2 - 1 | 6,027,371
297   | LePilier         | 4  | 2 - 1 | 6,018,962
298   | YokoTako         | 8  | 1 - 2 | 6,016,481
299   | ƔϵևՁɠɠ           | 13  | 2 - 1 | 6,014,803
300   | TheGuild         | 4  | 3 - 0 | 6,004,484
301   | hyouka           | 7  | 2 - 1 | 5,995,108
302   | NazarickⓈ        | 8  | 2 - 1 | 5,983,051
303   | ꫛꫀꪝ✧‧˚           | 13  | 2 - 1 | 5,981,623
304   | S.E.A            | 13  | 2 - 1 | 5,975,015
305   | DarkMoon         | 4  | 2 - 1 | 5,974,690
306   | Veritas          | 10  | 2 - 1 | 5,966,946
307   | Yaiba2.0         | 9  | 2 - 1 | 5,950,698
308   | CrimsonTears     | 8  | 2 - 1 | 5,946,833
309   | Axolotl生         | 8  | 2 - 1 | 5,946,308
310   | ISEKAI           | 8  | 2 - 1 | 5,943,574
311   | Valiance         | 6  | 2 - 1 | 5,941,879
312   | Hololive         | 11  | 2 - 1 | 5,941,115
313   | Test             | 4  | 2 - 1 | 5,937,923
314   | S.H.             | 6  | 2 - 1 | 5,926,405
315   | KG               | 9  | 2 - 1 | 5,922,214
316   | pepega           | 12  | 2 - 1 | 5,911,007
317   | Bakery           | 7  | 2 - 1 | 5,903,295
318   | Hollows          | 4  | 2 - 1 | 5,902,580
319   | AlmondMilk       | 13  | 1 - 2 | 5,887,969
320   | SomePP           | 1  | 2 - 1 | 5,885,165
321   | Intoners         | 3  | 2 - 1 | 5,879,797
322   | SectaDeLammy     | 8  | 2 - 1 | 5,865,920
323   | SINoBEARS        | 3  | 2 - 1 | 5,856,880
324   | Lunaris          | 8  | 2 - 1 | 5,849,979
325   | Aussie           | 8  | 2 - 1 | 5,829,898
326   | Maple            | 10  | 2 - 1 | 5,816,837
327   | ♡DEBAUCHERY♥     | 1  | 2 - 1 | 5,810,639
328   | RhodesID         | 12  | 2 - 1 | 5,796,188
329   | Malice           | 11  | 2 - 1 | 5,786,102
330   | YoRHa            | 8  | 3 - 0 | 5,777,260
331   | Armed            | 9  | 2 - 1 | 5,775,994
332   | Aether           | 4  | 2 - 1 | 5,772,519
333   | Homura炎          | 1  | 2 - 1 | 5,771,438
334   | 히사시부리            | 12  | 1 - 2 | 5,770,909
335   | NoTale.F.A       | 5  | 2 - 1 | 5,751,077
336   | Void             | 7  | 2 - 1 | 5,750,081
337   | Eclipse          | 7  | 1 - 2 | 5,747,898
338   | NeonBomb         | 8  | 2 - 1 | 5,745,747
339   | 7Sins            | 5  | 2 - 1 | 5,742,292
340   | 종합병원             | 12  | 2 - 1 | 5,739,490
341   | MoguMogu         | 12  | 2 - 1 | 5,729,503
342   | Alicization      | 13  | 2 - 1 | 5,728,194
343   | Charlemagne      | 4  | 2 - 1 | 5,725,123
344   | GrimmNightmare   | 5  | 2 - 1 | 5,724,405
345   | Asterisk         | 5  | 2 - 1 | 5,708,299
346   | Refuwugees       | 10  | 2 - 1 | 5,692,450
347   | Twilight         | 4  | 2 - 1 | 5,685,361
348   | Ovan'$$Ble$$ing  | 13  | 2 - 1 | 5,671,048
349   | Peerless         | 11  | 2 - 1 | 5,663,993
350   | YoRHa            | 13  | 2 - 1 | 5,648,866
351   | Moonrise         | 7  | 2 - 1 | 5,648,420
352   | Defiance(｡･ω･｡)ﾉ | 11  | 1 - 2 | 5,642,326
353   | Amaranth         | 4  | 2 - 1 | 5,640,371
354   | Wormhole         | 6  | 2 - 1 | 5,629,934
355   | Kokytus          | 8  | 2 - 1 | 5,592,018
356   | µ's              | 10  | 2 - 1 | 5,591,588
357   | Bananas          | 10  | 1 - 2 | 5,588,732
358   | MilkGod          | 12  | 2 - 1 | 5,587,434
359   | Espada           | 10  | 2 - 1 | 5,585,846
360   | Lithium          | 5  | 2 - 1 | 5,581,607
361   | Dissonance       | 4  | 2 - 1 | 5,574,142
362   | Fatalis          | 1  | 2 - 1 | 5,561,213
363   | Ram☆Ranch        | 4  | 2 - 1 | 5,556,957
364   | /sagg/           | 9  | 2 - 1 | 5,553,459
365   | SinoLewd         | 10  | 1 - 2 | 5,551,594
366   | bbt              | 10  | 2 - 1 | 5,549,123
367   | Tiramisu         | 8  | 1 - 2 | 5,546,143
368   | Astarea          | 13  | 2 - 1 | 5,527,944
369   | KampungRealtra   | 12  | 2 - 1 | 5,520,457
370   | Absolution       | 3  | 2 - 1 | 5,513,975
371   | SINoYOKO         | 5  | 2 - 1 | 5,512,701
372   | [γк]Yukiri       | 9  | 2 - 1 | 5,500,695
373   | Carmesí          | 9  | 2 - 1 | 5,497,903
374   | Lethargy         | 11  | 2 - 1 | 5,491,916
375   | Phantom          | 5  | 2 - 1 | 5,480,566
376   | Buffones         | 7  | 2 - 1 | 5,468,161
377   | Ikimasu          | 7  | 2 - 1 | 5,458,623
378   | ~Epiphany~       | 3  | 2 - 1 | 5,457,553
379   | MomPasta         | 13  | 3 - 0 | 5,451,570
380   | Pendraig         | 11  | 2 - 1 | 5,442,808
381   | SoCal            | 9  | 1 - 2 | 5,435,133
382   | Luxuria          | 9  | 2 - 1 | 5,403,478
383   | UnitalRing       | 10  | 1 - 2 | 5,393,256
384   | TheBeans         | 7  | 2 - 1 | 5,387,043
385   | Omega            | 7  | 2 - 1 | 5,384,994
386   | Lethaeus         | 6  | 2 - 1 | 5,361,538
387   | Rayearth         | 7  | 2 - 1 | 5,356,525
388   | Precure          | 4  | 2 - 1 | 5,351,312
389   | .Manica.         | 4  | 1 - 2 | 5,346,173
390   | Legion           | 8  | 2 - 1 | 5,340,641
391   | FABLES           | 12  | 2 - 1 | 5,324,137
392   | FoxTails         | 13  | 2 - 1 | 5,302,653
393   | ᴀsᴄᴇɴsɪᴏɴ        | 3  | 2 - 1 | 5,302,352
394   | Jelly            | 10  | 2 - 1 | 5,294,849
395   | Skögul           | 6  | 2 - 1 | 5,286,892
396   | Kyobo            | 4  | 1 - 2 | 5,285,883
397   | Nekopara         | 8  | 2 - 1 | 5,281,565
398   | Malice           | 7  | 1 - 2 | 5,272,812
399   | Pantheon         | 11  | 1 - 2 | 5,272,582
400   | Outliers         | 8  | 2 - 1 | 5,270,305
401   | Nazarick         | 7  | 2 - 1 | 5,264,860
402   | Cheshire         | 10  | 2 - 1 | 5,256,389
403   | Vroom            | 11  | 1 - 2 | 5,246,932
404   | Unseelie         | 8  | 2 - 1 | 5,245,060
405   | Automata         | 10  | 2 - 1 | 5,232,135
406   | 의미               | 11  | 2 - 1 | 5,231,223
407   | Yharnam          | 7  | 2 - 1 | 5,228,716
408   | /rope/           | 9  | 1 - 2 | 5,204,765
409   | KULTURE          | 9  | 1 - 2 | 5,193,773
410   | Marina           | 13  | 2 - 1 | 5,193,487
411   | PiKACHeW         | 1  | 2 - 1 | 5,190,440
412   | Demi-Fiends      | 7  | 2 - 1 | 5,190,273
413   | Niflheim         | 9  | 2 - 1 | 5,184,476
414   | Nazarick         | 3  | 2 - 1 | 5,183,208
415   | Sylaise          | 4  | 2 - 1 | 5,178,607
416   | Knightmare       | 9  | 2 - 1 | 5,170,122
417   | Roselia          | 13  | 2 - 1 | 5,164,652
418   | Draconic         | 1  | 1 - 2 | 5,159,904
419   | YssSG            | 12  | 2 - 1 | 5,153,186
420   | •FurrosTulOnes•  | 8  | 1 - 2 | 5,123,350
421   | ChurchOfTamagod  | 11  | 2 - 1 | 5,114,257
422   | Pudding          | 6  | 2 - 1 | 5,100,864
423   | DeadDemon        | 9  | 2 - 1 | 5,097,391
424   | Gullible         | 11  | 2 - 1 | 5,076,213
425   | Lycoris          | 5  | 2 - 1 | 5,073,355
426   | Valhalla         | 6  | 2 - 1 | 5,072,432
427   | HoneyBunny       | 1  | 1 - 2 | 5,068,712
428   | Drakengard       | 12  | 2 - 1 | 5,065,292
429   | Wantasm          | 8  | 2 - 1 | 5,065,238
430   | Shangri-La       | 8  | 2 - 1 | 5,061,813
431   | NOAH             | 11  | 2 - 1 | 5,056,058
432   | Doge             | 13  | 2 - 1 | 5,053,593
433   | Sanctum          | 3  | 2 - 1 | 5,053,131
434   | Rebuild_3.0+1.0  | 9  | 2 - 1 | 5,047,834
435   | Upupupu          | 8  | 1 - 2 | 5,044,489
436   | Thigh.Highs&GB   | 8  | 2 - 1 | 5,043,275
437   | Bookstore        | 5  | 2 - 1 | 5,041,574
438   | HailFuHua        | 9  | 2 - 1 | 5,032,691
439   | Gestalt          | 3  | 2 - 1 | 5,029,018
440   | mEmE             | 11  | 1 - 2 | 5,022,054
441   | Carriya          | 12  | 2 - 1 | 5,014,626
442   | Nordic           | 5  | 2 - 1 | 5,003,132
443   | Materia          | 8  | 1 - 2 | 4,998,987
444   | AlioRegnum       | 3  | 2 - 1 | 4,980,053
445   | Moonfall         | 4  | 1 - 2 | 4,965,425
446   | Rihla            | 12  | 2 - 1 | 4,933,198
447   | Pluggies         | 1  | 2 - 1 | 4,926,292
448   | Halcyon          | 8  | 2 - 1 | 4,916,853
449   | Fabales          | 8  | 2 - 1 | 4,915,312
450   | Exile            | 12  | 2 - 1 | 4,910,551
451   | Synchronicity    | 5  | 2 - 1 | 4,908,540
452   | Flandore         | 12  | 2 - 1 | 4,903,930
453   | CosmoCon         | 4  | 2 - 1 | 4,901,766
454   | Eorzeans         | 10  | 1 - 2 | 4,900,788
455   | Trapnest         | 5  | 2 - 1 | 4,896,283
456   | Phets            | 1  | 2 - 1 | 4,893,803
457   | 신오앨리스            | 12  | 2 - 1 | 4,882,330
458   | Alchemia         | 11  | 2 - 1 | 4,882,119
459   | NeoGachastê      | 7  | 2 - 1 | 4,865,514
460   | TRIAD            | 13  | 2 - 1 | 4,863,005
461   | Mizarikurabu     | 3  | 2 - 1 | 4,860,251
462   | Caterus          | 7  | 2 - 1 | 4,800,803
463   | Maung            | 13  | 1 - 2 | 4,798,924
464   | •WNDRLND•        | 10  | 2 - 1 | 4,791,925
465   | PizzaTime        | 9  | 2 - 1 | 4,783,744
466   | Quetzalcóatl     | 8  | 2 - 1 | 4,777,233
467   | Eg.g.            | 7  | 2 - 1 | 4,769,682
468   | Rikone           | 6  | 2 - 1 | 4,768,316
469   | MirrorOfFate     | 9  | 2 - 1 | 4,767,414
470   | WeebsIn          | 9  | 2 - 1 | 4,757,281
471   | Fables           | 10  | 2 - 1 | 4,754,070
472   | SunTears         | 5  | 2 - 1 | 4,750,709
473   | NoLuck           | 3  | 2 - 1 | 4,742,427
474   | Kyogen           | 5  | 2 - 1 | 4,740,664
