Rank  | Name             | TS | W - L | Lifeforce

1     | AstelliaJC       | 1  | 3 - 0 | 15,373,288
2     | CyberCrime       | 10  | 3 - 0 | 14,549,028
3     | Peanut           | 5  | 3 - 0 | 14,526,216
4     | メロンパン            | 2  | 3 - 0 | 14,279,887
5     | Malchi           | 9  | 3 - 0 | 14,162,417
6     | 404              | 4  | 3 - 0 | 13,324,334
7     | Luminous         | 7  | 3 - 0 | 13,216,318
8     | Mocha            | 7  | 3 - 0 | 13,139,686
9     | Cohesion         | 3  | 3 - 0 | 12,968,607
10    | Angelis          | 9  | 3 - 0 | 12,590,625
11    | Donut            | 6  | 3 - 0 | 12,432,945
12    | SINoALICE        | 13  | 3 - 0 | 12,375,187
13    | 오리너구리            | 12  | 3 - 0 | 12,296,345
14    | LaffyRaffy       | 8  | 3 - 0 | 12,289,475
15    | thonkguild       | 10  | 2 - 1 | 11,908,054
16    | 벚꽃               | 12  | 3 - 0 | 11,788,501
17    | Boss             | 12  | 2 - 1 | 11,717,417
18    | Twelve           | 9  | 2 - 1 | 11,398,297
19    | 즐거운우리집           | 13  | 3 - 0 | 11,249,897
20    | Noxious          | 4  | 2 - 1 | 11,197,885
21    | LOVELESS         | 6  | 2 - 1 | 11,164,676
22    | RawHotDog        | 8  | 3 - 0 | 11,136,277
23    | Reverie          | 8  | 2 - 1 | 11,035,916
24    | Loaf             | 7  | 2 - 1 | 10,661,952
25    | Liquid           | 10  | 3 - 0 | 10,627,601
26    | 6Baguettes       | 5  | 3 - 0 | 10,538,363
27    | FullMoonCafe     | 6  | 3 - 0 | 10,518,541
28    | 2LS              | 11  | 3 - 0 | 10,493,785
29    | Itzy             | 7  | 2 - 1 | 10,466,800
30    | Caribe           | 8  | 2 - 1 | 10,449,496
31    | Forget2Play      | 11  | 2 - 1 | 10,444,084
32    | Roselia          | 4  | 2 - 1 | 10,319,356
33    | 디시인사이드           | 11  | 3 - 0 | 10,219,024
34    | Ogygia           | 1  | 3 - 0 | 10,192,194
35    | Realm            | 4  | 3 - 0 | 10,152,817
36    | OrcinusOrca      | 7  | 3 - 0 | 10,064,737
