Rank | Name             | W - L | Lifeforce

1    | 404              | 3 - 0 | 13,324,334
2    | Noxious          | 2 - 1 | 11,197,885
3    | Roselia          | 2 - 1 | 10,319,356
4    | Realm            | 3 - 0 | 10,152,817
5    | Elysium          | 3 - 0 | 9,157,073
6    | Secret_Garden    | 2 - 1 | 9,115,045
7    | Hellions         | 3 - 0 | 8,265,994
8    | Reunion          | 2 - 1 | 7,984,195
9    | VeXille          | 2 - 1 | 7,956,813
10   | JustUsFrogsAgain | 2 - 1 | 7,923,818
11   | Arcanum          | 3 - 0 | 7,829,999
12   | Stardust         | 2 - 1 | 7,732,334
13   | 765Pro           | 2 - 1 | 7,702,681
14   | Rapture          | 2 - 1 | 7,461,437
15   | Lucklets         | 3 - 0 | 7,455,902
16   | Noragami         | 2 - 1 | 7,445,545
17   | Harmony          | 2 - 1 | 7,334,586
18   | Meow             | 3 - 0 | 7,241,473
19   | TARDIS           | 2 - 1 | 6,836,835
20   | AllStars         | 2 - 1 | 6,545,830
21   | Revive20SP       | 2 - 1 | 6,526,377
22   | BlackBox         | 2 - 1 | 6,388,736
23   | Hysteria         | 2 - 1 | 6,344,031
24   | Pariah           | 1 - 2 | 6,130,197
25   | Hokuten-Knights  | 2 - 1 | 6,059,823
26   | LePilier         | 2 - 1 | 6,018,962
27   | TheGuild         | 3 - 0 | 6,004,484
28   | DarkMoon         | 2 - 1 | 5,974,690
29   | Test             | 2 - 1 | 5,937,923
30   | Hollows          | 2 - 1 | 5,902,580
31   | Aether           | 2 - 1 | 5,772,519
32   | Charlemagne      | 2 - 1 | 5,725,123
33   | Twilight         | 2 - 1 | 5,685,361
34   | Amaranth         | 2 - 1 | 5,640,371
35   | Dissonance       | 2 - 1 | 5,574,142
36   | Ram☆Ranch        | 2 - 1 | 5,556,957
37   | Precure          | 2 - 1 | 5,351,312
38   | .Manica.         | 1 - 2 | 5,346,173
39   | Kyobo            | 1 - 2 | 5,285,883
40   | Sylaise          | 2 - 1 | 5,178,607
41   | Moonfall         | 1 - 2 | 4,965,425
42   | CosmoCon         | 2 - 1 | 4,901,766
43   | Echi_Di_CULtura  | 1 - 2 | 4,722,704
44   | Library          | 2 - 1 | 4,691,843
45   | Oblivion         | 2 - 1 | 4,657,114
46   | Grimms_Requiem   | 2 - 1 | 4,525,736
47   | Gateway          | 2 - 1 | 4,524,723
48   | Discord          | 2 - 1 | 4,450,427
49   | RIDENAYA         | 2 - 1 | 4,404,455
50   | Pequod           | 1 - 2 | 4,389,544
51   | YoRHa            | 2 - 1 | 4,348,385
52   | NoMercy          | 1 - 2 | 4,270,152
53   | Crux             | 2 - 1 | 4,264,144
54   | Scriptor         | 2 - 1 | 4,050,489
55   | Anime4Life       | 2 - 1 | 4,044,224
56   | Affenbande       | 1 - 2 | 3,887,132
57   | Tenebris         | 2 - 1 | 3,841,791
58   | Waifus♡          | 2 - 1 | 3,766,020
59   | Grimoire         | 1 - 2 | 3,760,902
60   | BlueRose         | 2 - 1 | 3,738,473
61   | Märchen          | 1 - 2 | 3,703,284
62   | Seafoam          | 2 - 1 | 3,612,463
63   | OBDS             | 1 - 2 | 3,587,594
64   | Yubi             | 1 - 2 | 3,547,223
65   | Sky              | 2 - 1 | 3,521,331
66   | Astraea          | 2 - 1 | 3,488,054
67   | Dragoonn         | 2 - 1 | 3,472,194
68   | Sin              | 1 - 2 | 3,447,668
69   | Sleepers         | 2 - 1 | 3,435,608
70   | Liebrary         | 1 - 2 | 3,375,905
71   | FreshSuh-Lammy   | 2 - 1 | 3,339,182
72   | MasochistPhoenix | 2 - 1 | 3,290,788
73   | Astra            | 1 - 2 | 3,199,040
74   | Blargh!          | 1 - 2 | 3,187,776
75   | Scythe           | 1 - 2 | 3,143,287
76   | Stacia‘s•Gnade   | 2 - 1 | 3,124,227
77   | YoRHa            | 1 - 2 | 2,997,380
78   | Intoners         | 2 - 1 | 2,991,477
79   | RedHood          | 1 - 2 | 2,942,688
80   | GLUTTONY         | 1 - 2 | 2,855,988
81   | Raven's          | 2 - 1 | 2,850,439
82   | 4Taro            | 1 - 2 | 2,846,565
83   | Gatorland        | 1 - 2 | 2,765,554
84   | TeaParty         | 1 - 2 | 2,745,586
85   | Potatoes         | 1 - 2 | 2,737,799
86   | Stérimar         | 2 - 1 | 2,736,533
87   | AllStars         | 1 - 2 | 2,729,711
88   | Juicy            | 1 - 2 | 2,680,271
89   | CerealKillerClub | 1 - 2 | 2,675,286
90   | MidnightSnacks   | 1 - 2 | 2,625,698
91   | Vermouth         | 1 - 2 | 2,556,027
92   | Walhalla         | 1 - 2 | 2,406,460
93   | Moonlit⭐         | 1 - 2 | 2,292,069
94   | Hysteria         | 1 - 2 | 2,262,544
95   | Simylac          | 1 - 2 | 2,237,495
96   | DaLads           | 2 - 1 | 2,056,854
97   | TowerOfGod       | 1 - 2 | 1,984,165
98   | Rice             | 1 - 2 | 1,951,387
99   | Seraphic_Chaos   | 1 - 2 | 1,867,438
100  | plitor           | 1 - 2 | 1,808,930
101  | Wonderland       | 1 - 2 | 1,760,572
102  | ALICE            | 1 - 2 | 1,737,210
103  | EclataxX         | 0 - 3 | 1,505,167
104  | FauxAmis         | 1 - 2 | 1,458,288
105  | Lesouper         | 1 - 2 | 1,445,590
106  | Nihilium         | 1 - 2 | 1,439,371
107  | DayDream         | 1 - 2 | 1,429,517
108  | ΣΟΑ              | 1 - 2 | 1,343,612
109  | Fliedam          | 1 - 2 | 1,250,748
110  | BlueDrag         | 1 - 2 | 1,190,133
111  | AROOOGA          | 1 - 2 | 1,138,109
112  | Ardent           | 1 - 2 | 1,100,238
113  | Pandora          | 1 - 2 | 1,082,825
114  | Pandemonium      | 1 - 2 | 1,007,046
115  | Gaymers          | 1 - 2 | 950,060
116  | Leagu3ofNON3     | 1 - 2 | 886,194
117  | Lunaria          | 0 - 3 | 816,509
118  | Slackers         | 0 - 3 | 467,434
119  | Moostrax         | 0 - 3 | 453,831
120  | AiWS             | 0 - 3 | 437,561
121  | YoRHa:1.2247448  | 0 - 3 | 403,747
122  | Dark_Knights     | 0 - 3 | 204,705
123  | AFKguild         | 0 - 3 | 44,801
124  | Quills           | 0 - 3 | 25,553
