Rank | Name             | W - L | Lifeforce

1    | Luminous         | 3 - 0 | 13,216,318
2    | Mocha            | 3 - 0 | 13,139,686
3    | Loaf             | 2 - 1 | 10,661,952
4    | Itzy             | 2 - 1 | 10,466,800
5    | OrcinusOrca      | 3 - 0 | 10,064,737
6    | M&C              | 2 - 1 | 9,805,412
7    | Abhorsen         | 2 - 1 | 8,936,147
8    | LunarTear        | 3 - 0 | 8,923,701
9    | mnemonic         | 2 - 1 | 8,579,673
10   | Darkness         | 3 - 0 | 8,501,804
11   | Chunchunmaru     | 2 - 1 | 8,380,351
12   | ㄴㄱ               | 2 - 1 | 7,955,243
13   | ☆☆LAZe☆☆         | 3 - 0 | 7,799,408
14   | Toast            | 2 - 1 | 7,763,303
15   | Gods             | 2 - 1 | 7,516,972
16   | Imperial         | 2 - 1 | 7,275,463
17   | ᴇᴠɪʟ☬ɢᴇɴɪᴜꜱᴇꜱ    | 2 - 1 | 6,850,054
18   | Vesperia         | 2 - 1 | 6,601,686
19   | .·´✧Depora✧`·.   | 2 - 1 | 6,292,367
20   | Faustian         | 2 - 1 | 6,270,540
21   | Bitzy-Spider     | 2 - 1 | 6,198,618
22   | TheNorth         | 2 - 1 | 6,154,720
23   | Oracles          | 2 - 1 | 6,077,110
24   | X̷I̷I̷I̷         | 2 - 1 | 6,067,640
25   | hyouka           | 2 - 1 | 5,995,108
26   | Bakery           | 2 - 1 | 5,903,295
27   | Void             | 2 - 1 | 5,750,081
28   | Eclipse          | 1 - 2 | 5,747,898
29   | Moonrise         | 2 - 1 | 5,648,420
30   | Buffones         | 2 - 1 | 5,468,161
31   | Ikimasu          | 2 - 1 | 5,458,623
32   | TheBeans         | 2 - 1 | 5,387,043
33   | Omega            | 2 - 1 | 5,384,994
34   | Rayearth         | 2 - 1 | 5,356,525
35   | Malice           | 1 - 2 | 5,272,812
36   | Nazarick         | 2 - 1 | 5,264,860
37   | Yharnam          | 2 - 1 | 5,228,716
38   | Demi-Fiends      | 2 - 1 | 5,190,273
39   | NeoGachastê      | 2 - 1 | 4,865,514
40   | Caterus          | 2 - 1 | 4,800,803
41   | Eg.g.            | 2 - 1 | 4,769,682
42   | Bacurau          | 2 - 1 | 4,712,516
43   | Wisteria         | 1 - 2 | 4,586,530
44   | Ex-YorHa         | 2 - 1 | 4,529,791
45   | Chaldea          | 2 - 1 | 4,502,203
46   | X-Buster         | 2 - 1 | 4,485,274
47   | SINoLAVI         | 2 - 1 | 4,378,263
48   | Adagyum          | 2 - 1 | 4,361,852
49   | Nocturne         | 2 - 1 | 4,194,266
50   | Eleusis          | 1 - 2 | 4,178,212
51   | MicTLaN          | 2 - 1 | 4,060,438
52   | Ivalice          | 2 - 1 | 3,958,395
53   | Authors          | 2 - 1 | 3,926,770
54   | Yonah            | 2 - 1 | 3,666,132
55   | Baneados         | 2 - 1 | 3,664,379
56   | Squard           | 2 - 1 | 3,638,029
57   | %=^✓÷×=][*)      | 2 - 1 | 3,631,085
58   | Zeal             | 1 - 2 | 3,602,789
59   | Omniacs          | 2 - 1 | 3,602,125
60   | Chonkers         | 1 - 2 | 3,594,784
61   | Decaídos         | 1 - 2 | 3,582,176
62   | ChaosLg          | 2 - 1 | 3,347,276
63   | Midnight         | 2 - 1 | 3,333,639
64   | Glace            | 1 - 2 | 3,188,801
65   | SUNSET.R         | 1 - 2 | 3,075,055
66   | Sanctify         | 1 - 2 | 3,052,153
67   | Facade           | 1 - 2 | 3,043,102
68   | YoRHa            | 1 - 2 | 2,963,074
69   | LoVirgos         | 1 - 2 | 2,934,202
70   | Miracles         | 1 - 2 | 2,927,915
71   | Madness          | 1 - 2 | 2,885,860
72   | BlackFeathers    | 1 - 2 | 2,868,804
73   | Mishy~☆          | 2 - 1 | 2,847,207
74   | CobrasEnPijama   | 1 - 2 | 2,817,021
75   | GudaGuda         | 1 - 2 | 2,786,240
76   | LGOW             | 1 - 2 | 2,695,399
77   | Angel'sTear      | 0 - 3 | 2,630,481
78   | Pandas           | 1 - 2 | 2,595,109
79   | SpLAT            | 1 - 2 | 2,531,610
80   | TornTale         | 2 - 1 | 2,490,258
81   | Feywilds         | 1 - 2 | 2,404,877
82   | Dreamers         | 1 - 2 | 2,385,632
83   | Fateful          | 1 - 2 | 2,374,090
84   | TitsAhoy         | 2 - 1 | 2,283,214
85   | MarbleBlue       | 2 - 1 | 2,177,016
86   | Reincarnation    | 1 - 2 | 1,998,631
87   | ItWasMe,DIO!     | 1 - 2 | 1,920,842
88   | WitzEnd          | 1 - 2 | 1,859,715
89   | L4L              | 1 - 2 | 1,750,485
90   | DreamKoi         | 1 - 2 | 1,660,303
91   | RosaChinensis    | 1 - 2 | 1,594,930
92   | Chilezuela       | 0 - 3 | 1,567,227
93   | Lovely           | 1 - 2 | 1,527,096
94   | Märchen          | 1 - 2 | 1,482,847
95   | Tato             | 1 - 2 | 1,466,809
96   | TacoWea          | 1 - 2 | 1,459,312
97   | TYBG             | 1 - 2 | 1,293,139
98   | Royal            | 1 - 2 | 1,143,320
99   | LlewxaM          | 1 - 2 | 1,067,823
100  | floyd            | 1 - 2 | 1,067,274
101  | Kukulkan         | 0 - 3 | 1,050,181
102  | Hyrule           | 1 - 2 | 1,049,407
103  | Arata            | 1 - 2 | 991,514
104  | Eorzea           | 1 - 2 | 939,520
105  | Oblivion         | 0 - 3 | 933,164
106  | OverFlag         | 1 - 2 | 742,279
107  | Jellicle         | 0 - 3 | 324,245
108  | PrincesDestroyer | 0 - 3 | 313,225
109  | Cheshire         | 0 - 3 | 112,159
110  | ۝Author۝         | 0 - 3 | 74,463
111  | SINoKCB          | 0 - 3 | 57,691
112  | SaltGang         | 0 - 3 | 18,410
