Rank | Name            | W - L | Lifeforce

1    | 오리너구리           | 3 - 0 | 12,296,345
2    | 벚꽃              | 3 - 0 | 11,788,501
3    | Boss            | 2 - 1 | 11,717,417
4    | 영원              | 3 - 0 | 8,886,761
5    | HoloLive        | 3 - 0 | 8,862,785
6    | Enigami         | 2 - 1 | 8,519,734
7    | 뉴비              | 2 - 1 | 8,475,794
8    | Tempest         | 3 - 0 | 7,515,024
9    | Genocide        | 2 - 1 | 7,481,674
10   | Roanapur        | 2 - 1 | 7,308,562
11   | 한국산흑우단          | 2 - 1 | 7,297,958
12   | Happy           | 2 - 1 | 7,232,126
13   | 카레맛집            | 2 - 1 | 7,231,837
14   | Nightfall       | 3 - 0 | 7,122,382
15   | 잔향              | 2 - 1 | 6,807,758
16   | Nutella         | 2 - 1 | 6,737,662
17   | SunnyDay~       | 2 - 1 | 6,483,316
18   | Guardians       | 2 - 1 | 6,307,558
19   | pepega          | 2 - 1 | 5,911,007
20   | RhodesID        | 2 - 1 | 5,796,188
21   | 히사시부리           | 1 - 2 | 5,770,909
22   | 종합병원            | 2 - 1 | 5,739,490
23   | MoguMogu        | 2 - 1 | 5,729,503
24   | MilkGod         | 2 - 1 | 5,587,434
25   | KampungRealtra  | 2 - 1 | 5,520,457
26   | FABLES          | 2 - 1 | 5,324,137
27   | YssSG           | 2 - 1 | 5,153,186
28   | Drakengard      | 2 - 1 | 5,065,292
29   | Carriya         | 2 - 1 | 5,014,626
30   | Rihla           | 2 - 1 | 4,933,198
31   | Exile           | 2 - 1 | 4,910,551
32   | Flandore        | 2 - 1 | 4,903,930
33   | 신오앨리스           | 2 - 1 | 4,882,330
34   | Archana         | 2 - 1 | 4,700,785
35   | 연린              | 1 - 2 | 4,691,199
36   | 검은고양이           | 2 - 1 | 4,647,061
37   | 냥냥킥             | 1 - 2 | 4,484,459
38   | Exyclid         | 2 - 1 | 4,451,921
39   | TamagoClub      | 2 - 1 | 4,292,198
40   | 모히또             | 2 - 1 | 4,288,989
41   | CultOfLammy     | 2 - 1 | 4,129,890
42   | หิวข้าว         | 2 - 1 | 4,076,058
43   | Longinus        | 2 - 1 | 4,059,958
44   | •ForeverHome•   | 1 - 2 | 4,058,352
45   | UncleZack's     | 2 - 1 | 4,023,360
46   | Fanelia         | 2 - 1 | 3,897,957
47   | Foxhound        | 2 - 1 | 3,871,112
48   | NoNamed         | 1 - 2 | 3,805,931
49   | OwO             | 1 - 2 | 3,768,218
50   | Publisher       | 2 - 1 | 3,613,102
51   | CatsEmpire      | 2 - 1 | 3,567,253
52   | Freedom         | 1 - 2 | 3,564,534
53   | SinoSG          | 1 - 2 | 3,548,896
54   | Applepie        | 2 - 1 | 3,544,748
55   | AYAYA           | 2 - 1 | 3,507,010
56   | Jokers          | 1 - 2 | 3,478,559
57   | 아스트리아           | 1 - 2 | 3,280,966
58   | 은밀한침대밑          | 2 - 1 | 3,216,249
59   | KoNoKEKsuAL     | 2 - 1 | 3,123,219
60   | Trident         | 2 - 1 | 3,095,963
61   | Hypnotic        | 2 - 1 | 3,048,709
62   | 『MiSFiTS』       | 1 - 2 | 3,041,352
63   | Kutubuku        | 2 - 1 | 2,860,329
64   | Arcadia         | 1 - 2 | 2,838,188
65   | METANoIA        | 2 - 1 | 2,816,545
66   | Camelot         | 2 - 1 | 2,767,123
67   | BIBLIOTHEQUE    | 2 - 1 | 2,746,541
68   | Mantap          | 1 - 2 | 2,603,053
69   | 쟤보단내가낫지         | 1 - 2 | 2,555,590
70   | Arcana          | 1 - 2 | 2,420,587
71   | NieR            | 1 - 2 | 2,418,024
72   | 시붕유치원           | 1 - 2 | 2,328,460
73   | SINoPuppets.Arc | 2 - 1 | 2,312,887
74   | MassDestruction | 1 - 2 | 2,257,666
75   | 펭귄로지스틱스         | 0 - 3 | 2,238,379
76   | Bananas!        | 1 - 2 | 2,218,749
77   | 火の味             | 2 - 1 | 2,174,206
78   | Saikyou~        | 1 - 2 | 2,140,763
79   | Halucyon        | 1 - 2 | 2,104,847
80   | DosaElis        | 2 - 1 | 2,099,804
81   | Seiyuu          | 1 - 2 | 1,914,506
82   | Rubies          | 0 - 3 | 1,776,152
83   | Exodus          | 1 - 2 | 1,766,693
84   | Anon            | 1 - 2 | 1,738,790
85   | 셀레스티얼           | 1 - 2 | 1,658,358
86   | Svadesha        | 1 - 2 | 1,612,205
87   | 컴파스             | 1 - 2 | 1,478,188
88   | ^^)人(^^         | 1 - 2 | 1,429,014
89   | 천하태평            | 1 - 2 | 1,399,320
90   | NoTales         | 1 - 2 | 1,329,716
91   | 폭발은예술이다         | 1 - 2 | 1,298,840
92   | Nacht           | 1 - 2 | 1,253,019
93   | SlowLife        | 1 - 2 | 1,216,292
94   | Liddell         | 1 - 2 | 1,138,467
95   | Elfrinia        | 0 - 3 | 1,009,514
96   | Try             | 0 - 3 | 984,134
97   | Elysian         | 0 - 3 | 701,422
98   | indémnis        | 0 - 3 | 612,103
99   | 루인바르            | 0 - 3 | 544,137
100  | Casuals         | 0 - 3 | 343,887
101  | Kugane          | 0 - 3 | 211,449
102  | 탐욕의장            | 0 - 3 | 155,224
103  | 천상지유            | 0 - 3 | 54,196
104  | Agartha         | 0 - 3 | 53,524
