Rank | Name             | W - L | Lifeforce

1    | LaffyRaffy       | 5 - 0 | 21,338,525
2    | Reverie          | 3 - 2 | 18,396,955
3    | AI               | 4 - 1 | 18,030,050
4    | ♥♡YoЯHa♡♥        | 4 - 1 | 17,955,885
5    | Caribe           | 3 - 2 | 16,680,112
6    | SINoABBY         | 4 - 1 | 16,243,558
7    | RawHotDog        | 4 - 1 | 15,988,172
8    | Armada           | 3 - 2 | 15,890,957
9    | Tartarus         | 4 - 1 | 14,854,894
10   | Fantasy          | 4 - 1 | 14,514,290
11   | Astryx           | 3 - 2 | 13,772,226
12   | Revive           | 3 - 2 | 13,354,759
13   | TheNut           | 3 - 2 | 13,275,871
14   | Aether           | 4 - 1 | 12,884,759
15   | UmaruLand        | 3 - 2 | 12,516,717
16   | Another          | 3 - 2 | 11,983,218
17   | Belial           | 3 - 2 | 11,698,320
18   | Axolotl生         | 4 - 1 | 11,623,545
19   | KAIJU            | 3 - 2 | 11,595,605
20   | Unseelie         | 4 - 1 | 11,585,847
21   | Materia          | 3 - 2 | 11,519,592
22   | CrimsonTears     | 3 - 2 | 11,415,250
23   | ArkainaKore      | 3 - 2 | 11,369,028
24   | Lunar日食          | 3 - 2 | 11,147,469
25   | WildRose         | 3 - 2 | 10,982,746
26   | Nameless         | 4 - 1 | 10,926,174
27   | Eternum          | 3 - 2 | 10,761,663
28   | RosaGigantea     | 3 - 2 | 10,563,151
29   | Tiramisu         | 2 - 3 | 10,304,454
30   | Genesis          | 4 - 1 | 10,228,670
31   | Abyss            | 2 - 3 | 10,142,364
32   | Aussie           | 3 - 2 | 10,053,927
33   | Hopeless         | 3 - 2 | 9,785,066
34   | 7thElement       | 3 - 2 | 9,640,004
35   | YokoTako         | 2 - 3 | 9,606,004
36   | Mexicore         | 3 - 2 | 9,368,776
37   | Upupupu          | 2 - 3 | 9,271,656
38   | ISEKAI           | 3 - 2 | 9,233,563
39   | Lunaris          | 3 - 2 | 9,197,013
40   | RoyalKnights     | 4 - 1 | 9,027,083
41   | Royals           | 3 - 2 | 8,872,011
42   | Space            | 3 - 2 | 8,804,922
43   | Legion           | 3 - 2 | 8,748,414
44   | BLANKET          | 2 - 3 | 8,672,010
45   | FGOChile         | 3 - 2 | 8,629,725
46   | Replicant        | 3 - 2 | 8,484,658
47   | Cognatus         | 2 - 3 | 8,440,162
48   | •FurrosTulOnes•  | 2 - 3 | 8,393,359
49   | NeonBomb         | 3 - 2 | 8,347,048
50   | Outliers         | 3 - 2 | 8,308,778
51   | SectaDeLammy     | 3 - 2 | 8,275,352
52   | Persona          | 3 - 2 | 8,230,243
53   | Halcyon          | 3 - 2 | 8,101,727
54   | Sidonia          | 3 - 2 | 7,966,975
55   | Wantasm          | 3 - 2 | 7,870,665
56   | Frans            | 2 - 3 | 7,838,235
57   | Killhare         | 3 - 2 | 7,811,915
58   | RE:CDE           | 2 - 3 | 7,785,558
59   | NazarickⓈ        | 2 - 3 | 7,768,514
60   | Bellum           | 2 - 3 | 7,727,429
61   | 『Nєχυѕ』          | 3 - 2 | 7,699,867
62   | Kokytus          | 2 - 3 | 7,531,541
63   | Thigh.Highs&GB   | 3 - 2 | 7,371,574
64   | DayBreak         | 3 - 2 | 7,303,621
65   | Yamete_Kudasai!! | 3 - 2 | 7,218,659
66   | SinoPake         | 3 - 2 | 7,177,877
67   | NW               | 2 - 3 | 7,161,656
68   | Re;Quest         | 3 - 2 | 7,126,634
69   | YoRHa            | 3 - 2 | 7,058,630
70   | GachaElite       | 3 - 2 | 7,014,842
71   | Valkyrie         | 3 - 2 | 6,951,200
72   | Kaguya           | 3 - 2 | 6,910,578
73   | Alter            | 3 - 2 | 6,815,720
74   | Fabales          | 2 - 3 | 6,705,660
75   | Sino/Fgo         | 3 - 2 | 6,703,296
76   | Forsaken         | 3 - 2 | 6,650,127
77   | .izakaya         | 2 - 3 | 6,470,280
78   | 『StrangelyBad』   | 3 - 2 | 6,423,558
79   | Ultimate☆Despair | 3 - 2 | 6,411,067
80   | Shangri-La       | 2 - 3 | 6,388,994
81   | Log~Horizon      | 3 - 2 | 6,359,732
82   | Lemonade         | 3 - 2 | 6,290,677
83   | /nopan/          | 3 - 2 | 6,211,619
84   | Papeefs          | 2 - 3 | 6,192,387
85   | ExileAngels      | 3 - 2 | 6,133,724
86   | Café             | 2 - 3 | 5,909,869
87   | Salt             | 2 - 3 | 5,906,327
88   | SkyL-YRH         | 2 - 3 | 5,866,767
