Rank | Name            | W - L | Lifeforce

1    | SINoALICE       | 5 - 0 | 18,781,560
2    | 설화              | 3 - 2 | 15,894,630
3    | 즐거운우리집          | 4 - 1 | 15,665,169
4    | (주)월하미인         | 3 - 2 | 15,270,647
5    | Almond          | 4 - 1 | 14,783,175
6    | Encore          | 4 - 1 | 14,246,181
7    | ƔϵևՁɠɠ          | 4 - 1 | 13,147,902
8    | 문제아             | 3 - 2 | 13,026,540
9    | 블랙소울            | 4 - 1 | 12,762,707
10   | 마굿간             | 4 - 1 | 12,544,945
11   | Stellar         | 4 - 1 | 12,127,429
12   | 새벽              | 4 - 1 | 11,704,718
13   | AlmondMilk      | 3 - 2 | 11,630,085
14   | PlayWoW         | 3 - 2 | 11,191,213
15   | Neko★彡彡         | 2 - 3 | 11,079,341
16   | TakoYaki        | 3 - 2 | 10,673,574
17   | owo7            | 2 - 3 | 10,645,902
18   | Avantheim       | 3 - 2 | 10,548,846
19   | 냥냥펀치            | 3 - 2 | 10,452,658
20   | FoxTails        | 4 - 1 | 10,386,417
21   | TeaCats         | 3 - 2 | 10,213,262
22   | TRIAD           | 4 - 1 | 10,043,463
23   | AstessiaJC      | 2 - 3 | 9,956,906
24   | Coldbrew        | 3 - 2 | 9,611,828
25   | JuraForest      | 3 - 2 | 9,498,502
26   | Doge            | 3 - 2 | 9,319,328
27   | ꫛꫀꪝ✧‧˚          | 3 - 2 | 9,280,437
28   | Daybreak        | 3 - 2 | 9,011,201
29   | Roselia         | 3 - 2 | 8,991,914
30   | RLC             | 3 - 2 | 8,886,429
31   | SV              | 3 - 2 | 8,736,518
32   | Alicization     | 3 - 2 | 8,646,878
33   | Marina          | 3 - 2 | 8,510,366
34   | S.E.A           | 3 - 2 | 8,167,102
35   | Vigrior         | 4 - 1 | 7,996,489
36   | Astarea         | 3 - 2 | 7,954,392
37   | Maung           | 2 - 3 | 7,933,034
38   | YoRHa           | 2 - 3 | 7,696,016
39   | MomPasta        | 4 - 1 | 7,649,546
40   | ZODIAC          | 2 - 3 | 7,601,366
41   | Jelly           | 3 - 2 | 7,499,145
42   | Lancaster       | 3 - 2 | 7,320,676
43   | Chariot         | 3 - 2 | 7,251,349
44   | Ovan'$$Ble$$ing | 2 - 3 | 7,141,668
45   | 끓는무쇠솥           | 3 - 2 | 7,086,214
46   | REPL:EVER       | 2 - 3 | 6,739,860
47   | IndoSin         | 3 - 2 | 6,739,473
48   | 쿠로가미            | 2 - 3 | 6,647,699
49   | Nekoship        | 3 - 2 | 6,640,531
50   | StarryNight     | 3 - 2 | 6,570,259
51   | Hoshi           | 3 - 2 | 6,499,136
52   | RainyDay        | 3 - 2 | 6,475,599
53   | 바나나우유           | 2 - 3 | 6,467,236
54   | MiGraine        | 2 - 3 | 6,432,012
55   | NOPE-GO-AWAY    | 3 - 2 | 6,344,188
56   | HIAGAINRYVURU   | 2 - 3 | 6,153,738
57   | Tranquil        | 3 - 2 | 5,964,944
58   | DarkVoid        | 3 - 2 | 5,938,351
59   | SINoArc         | 3 - 2 | 5,887,982
60   | KuroNeko        | 3 - 2 | 5,760,083
61   | Fallacy         | 2 - 3 | 5,759,201
62   | aster           | 2 - 3 | 5,748,038
63   | Wind            | 2 - 3 | 5,491,220
64   | CHALDEA         | 2 - 3 | 5,106,279
65   | SINoPORE        | 2 - 3 | 5,015,541
66   | ADIX            | 1 - 4 | 4,954,921
67   | Wyld            | 2 - 3 | 4,873,316
68   | Isocial         | 3 - 2 | 4,824,145
69   | BanVaeN         | 2 - 3 | 4,676,504
70   | GrimGrimoire[α] | 2 - 3 | 4,633,010
71   | Mementos        | 2 - 3 | 4,618,470
72   | Sinners         | 3 - 2 | 4,590,002
73   | 수상한암살           | 2 - 3 | 4,520,552
74   | Scarlet         | 2 - 3 | 4,490,691
75   | Arunafel        | 2 - 3 | 4,416,263
76   | Orchid          | 2 - 3 | 4,365,534
77   | Ashurã          | 2 - 3 | 4,358,734
78   | Crown​          | 2 - 3 | 4,263,218
79   | Gkilling        | 2 - 3 | 4,166,420
80   | Lameroz         | 2 - 3 | 3,845,010
81   | GrimGrimoire[β] | 3 - 2 | 3,635,014
82   | Nier            | 2 - 3 | 3,607,819
83   | 콜로세움하자          | 1 - 4 | 3,551,503
84   | 연인              | 2 - 3 | 3,251,257
85   | Alfamart        | 2 - 3 | 3,247,631
86   | ☆Waifus☆        | 2 - 3 | 3,106,285
87   | Prinny_Brigade  | 2 - 3 | 2,758,135
88   | Colours         | 2 - 3 | 2,716,534
89   | Insanity        | 2 - 3 | 2,695,211
90   | DragonStar      | 1 - 4 | 2,620,349
91   | Asphyxia        | 1 - 4 | 2,583,799
92   | Arcanum         | 1 - 4 | 2,541,466
93   | SkyIndo         | 2 - 3 | 2,457,707
94   | D.M.C           | 2 - 3 | 2,251,606
95   | SINergia        | 1 - 4 | 2,225,726
96   | EcchiLand       | 2 - 3 | 2,020,212
97   | SINful          | 1 - 4 | 1,751,951
98   | ¿ApplE?         | 1 - 4 | 1,336,409
99   | PlayCat         | 1 - 4 | 1,319,390
100  | 조용조용            | 1 - 4 | 522,058
101  | 길드명추천받습니다       | 0 - 5 | 360,440
102  | Perseverance    | 0 - 5 | 5,211
103  | Lounge          | 0 - 5 | 5,026
104  | Creamed         | 0 - 5 | 2,164
