Rank | Name            | W - L | Lifeforce

1    | AstelliaJC      | 5 - 0 | 25,298,459
2    | UNDRGROUND      | 4 - 1 | 19,312,672
3    | uwu♡~           | 3 - 2 | 16,897,454
4    | FTRAP           | 3 - 2 | 15,110,971
5    | Ogygia          | 4 - 1 | 14,347,696
6    | Chronicles      | 2 - 3 | 13,307,081
7    | Nandos          | 3 - 2 | 13,225,613
8    | 만사귀찮            | 4 - 1 | 13,184,070
9    | Pekoland        | 3 - 2 | 12,914,113
10   | Corosars        | 3 - 2 | 12,103,977
11   | ♤♡Palace♧♢      | 3 - 2 | 11,900,978
12   | Ecstasy         | 4 - 1 | 11,841,648
13   | Homura炎         | 4 - 1 | 11,444,769
14   | 福Lucky♡         | 4 - 1 | 11,158,659
15   | Ichariba        | 3 - 2 | 10,903,139
16   | 14vs1           | 3 - 2 | 10,860,874
17   | Elkia           | 3 - 2 | 10,756,742
18   | MilkTea自        | 3 - 2 | 10,710,967
19   | 밤하늘             | 3 - 2 | 10,608,588
20   | BloodOath       | 3 - 2 | 10,283,115
21   | Draconic        | 2 - 3 | 9,938,398
22   | Drzkade         | 3 - 2 | 9,684,808
23   | HoneyBunny      | 2 - 3 | 9,090,184
24   | Alice           | 3 - 2 | 8,877,120
25   | Pluggies        | 3 - 2 | 8,744,770
26   | SomePP          | 3 - 2 | 8,617,126
27   | Fatalis         | 3 - 2 | 8,613,310
28   | ♡DEBAUCHERY♥    | 3 - 2 | 8,510,087
29   | PhantomRoad     | 4 - 1 | 8,441,594
30   | PiKACHeW        | 3 - 2 | 7,971,209
31   | Memories        | 3 - 2 | 7,871,078
32   | |Solo|          | 3 - 2 | 7,849,213
33   | Loliness        | 2 - 3 | 7,688,549
34   | ϟNeverland      | 3 - 2 | 7,570,425
35   | Aeternum        | 3 - 2 | 7,519,896
36   | Virtuous        | 2 - 3 | 7,416,161
37   | Glory           | 3 - 2 | 7,235,311
38   | Fairy           | 3 - 2 | 7,219,170
39   | S.E.E.S.        | 2 - 3 | 6,780,021
40   | Plague          | 3 - 2 | 6,761,484
41   | Kyushi          | 2 - 3 | 6,692,443
42   | Dantalion       | 3 - 2 | 6,578,579
43   | FaE             | 2 - 3 | 6,547,526
44   | SHIRI           | 3 - 2 | 6,354,481
45   | Lunar           | 3 - 2 | 6,035,863
46   | Phets           | 2 - 3 | 6,021,556
47   | Salt&RNG        | 2 - 3 | 5,866,294
48   | pepegang        | 2 - 3 | 5,715,717
49   | Daydreamer      | 3 - 2 | 5,609,564
50   | Yorozuya        | 3 - 2 | 5,186,682
51   | Indo.Nesia      | 2 - 3 | 5,119,100
52   | LWSR            | 2 - 3 | 5,100,804
53   | Rutledge        | 2 - 3 | 5,056,429
54   | 「XIII」          | 3 - 2 | 5,048,507
55   | NieR            | 2 - 3 | 4,848,110
56   | Cronoire        | 2 - 3 | 4,659,523
57   | Dragon          | 3 - 2 | 4,527,468
58   | Mahjong         | 2 - 3 | 4,515,267
59   | Shuuba~         | 2 - 3 | 4,482,558
60   | ส้มป่อย         | 2 - 3 | 4,263,055
61   | NoppaiGG        | 2 - 3 | 4,254,553
62   | Mewtaku         | 2 - 3 | 4,082,959
63   | BLACKPAGE       | 2 - 3 | 4,008,435
64   | Bloodlust       | 2 - 3 | 3,962,964
65   | Teardrop        | 1 - 4 | 3,768,335
66   | Bleach          | 2 - 3 | 3,706,319
67   | EMILIA          | 3 - 2 | 3,589,088
68   | 언더월드단           | 2 - 3 | 3,399,429
69   | Омут            | 2 - 3 | 3,315,192
70   | Memoire         | 2 - 3 | 3,190,943
71   | soon™           | 2 - 3 | 2,990,108
72   | RedRose         | 2 - 3 | 2,741,168
73   | CelestialDemons | 2 - 3 | 2,461,311
74   | Yomi            | 1 - 4 | 2,305,901
75   | Narrators       | 2 - 3 | 2,284,022
76   | Arknight        | 1 - 4 | 2,224,549
77   | CrimsonFlames   | 1 - 4 | 2,132,699
78   | Illusive        | 1 - 4 | 1,509,309
79   | HOTLOADS        | 1 - 4 | 1,493,254
80   | Penumbra        | 1 - 4 | 1,208,905
81   | Adastra         | 1 - 4 | 896,443
82   | LoneWolf        | 0 - 5 | 134,724
83   | Nuwbieez        | 0 - 5 | 29,691
