Rank  | Name             | TS | W - L | Lifeforce
111   | Materia          | 8  | 4 - 2 | 14,586,418
112   | LammyCult        | 9  | 5 - 1 | 14,578,109
113   | Everlasting      | 6  | 3 - 3 | 14,495,582
114   | Encore           | 13 | 4 - 2 | 14,460,622
115   | ♥80%Ⓔ-Giℝℓs♥     | 10 | 4 - 2 | 14,456,798
116   | =(               | 7  | 3 - 3 | 14,453,802
117   | Phantoms         | 2  | 4 - 2 | 14,403,682
118   | VanitaS          | 3  | 4 - 2 | 14,401,060
119   | /rope/           | 9  | 4 - 2 | 14,369,075
120   | 냥냥펀치             | 13 | 4 - 2 | 14,367,855
121   | Chaos            | 10 | 4 - 2 | 14,358,078
122   | [Not]Eternia     | 9  | 5 - 1 | 14,341,939
123   | Roanapur         | 12 | 4 - 2 | 14,318,961
124   | Phantagasm       | 10 | 4 - 2 | 14,309,595
125   | Harmony          | 4  | 4 - 2 | 14,300,316
126   | Divine           | 9  | 4 - 2 | 14,269,068
127   | ㄴㄱ               | 7  | 4 - 2 | 14,226,701
128   | AlmondMilk       | 13 | 4 - 2 | 14,211,143
129   | Vesto            | 5  | 3 - 3 | 14,208,478
130   | Wall-Nut         | 9  | 4 - 2 | 14,205,758
131   | Starry           | 10 | 4 - 2 | 14,199,077
132   | RosaGigantea     | 8  | 4 - 2 | 14,176,223
133   | Malice           | 7  | 4 - 2 | 14,172,531
134   | Hellions         | 4  | 5 - 1 | 14,156,842
135   | Yozora           | 6  | 4 - 2 | 14,126,047
136   | FinalAct         | 10 | 4 - 2 | 14,125,739
137   | Tempest          | 12 | 5 - 1 | 14,102,671
138   | 마굿간              | 13 | 4 - 2 | 14,084,169
139   | owo7             | 13 | 3 - 3 | 14,075,274
140   | Neko★彡彡          | 13 | 3 - 3 | 14,052,754
141   | SANCTUM          | 5  | 3 - 3 | 14,023,955
142   | 밤하늘              | 1  | 4 - 2 | 14,023,370
143   | Puzzles          | 9  | 4 - 2 | 13,991,840
144   | Salvation™       | 5  | 4 - 2 | 13,918,237
145   | ButStillNotKeto  | 7  | 4 - 2 | 13,892,356
146   | Eclipse          | 7  | 4 - 2 | 13,889,851
147   | Faustian         | 7  | 4 - 2 | 13,867,192
148   | HupGuard         | 5  | 4 - 2 | 13,833,036
149   | Wu               | 9  | 3 - 3 | 13,829,461
150   | GranWing         | 5  | 4 - 2 | 13,816,852
151   | Solis            | 5  | 4 - 2 | 13,807,367
152   | Imperial         | 7  | 4 - 2 | 13,781,175
153   | Punny            | 7  | 4 - 2 | 13,752,327
154   | Typhon           | 9  | 3 - 3 | 13,732,062
155   | PHAEDRA          | 10 | 4 - 2 | 13,708,535
156   | Athenaeum        | 6  | 4 - 2 | 13,707,563
157   | Abyss            | 8  | 3 - 3 | 13,705,998
158   | Aether           | 4  | 4 - 2 | 13,700,979
159   | ƔϵևՁɠɠ           | 13 | 4 - 2 | 13,690,670
160   | Elkia            | 1  | 4 - 2 | 13,669,542
161   | Aether           | 8  | 4 - 2 | 13,669,187
162   | VeXille          | 4  | 3 - 3 | 13,638,386
163   | La_Secte         | 5  | 4 - 2 | 13,636,558
164   | Revive20SP       | 4  | 4 - 2 | 13,633,745
165   | Marigold         | 5  | 4 - 2 | 13,610,438
166   | Pequod           | 4  | 4 - 2 | 13,569,780
167   | WeebLand         | 2  | 4 - 2 | 13,557,859
168   | 765Pro           | 4  | 4 - 2 | 13,536,579
169   | Hopeless         | 8  | 4 - 2 | 13,496,664
170   | Pekoland         | 1  | 3 - 3 | 13,483,336
171   | WildHunt         | 6  | 4 - 2 | 13,478,199
172   | WildRose         | 8  | 4 - 2 | 13,476,107
173   | Carmesí          | 9  | 4 - 2 | 13,474,237
174   | mnemonic         | 7  | 3 - 3 | 13,456,722
175   | Elegy            | 10 | 3 - 3 | 13,429,101
176   | Kyobo            | 4  | 3 - 3 | 13,429,058
177   | 카레맛집             | 12 | 4 - 2 | 13,411,701
178   | Enigami          | 12 | 3 - 3 | 13,380,004
179   | [Blank]          | 5  | 4 - 2 | 13,314,978
180   | Maple            | 10 | 4 - 2 | 13,314,243
181   | X̷I̷I̷I̷         | 7  | 4 - 2 | 13,286,801
182   | ClammyClam       | 5  | 3 - 3 | 13,269,214
183   | Schwert          | 10 | 4 - 2 | 13,235,514
184   | Choten           | 6  | 3 - 3 | 13,235,063
185   | Lunar日食          | 8  | 4 - 2 | 13,230,733
186   | 14vs1            | 1  | 4 - 2 | 13,217,397
187   | MilkTea自         | 1  | 4 - 2 | 13,192,581
188   | Tiramisu         | 8  | 3 - 3 | 13,178,611
189   | Lucky            | 1  | 5 - 1 | 13,161,676
190   | 히사시부리            | 12 | 3 - 3 | 13,150,240
191   | Cirque           | 9  | 3 - 3 | 13,126,007
192   | TRIAD            | 13 | 5 - 1 | 13,122,073
193   | GrandSouls       | 10 | 4 - 2 | 13,098,849
194   | Corosars         | 1  | 3 - 3 | 13,085,842
195   | OrcinusOrca      | 7  | 3 - 3 | 13,066,118
196   | .Manica.         | 4  | 3 - 3 | 13,022,821
197   | Sleepless        | 10 | 4 - 2 | 13,014,263
198   | Lost_Cause       | 10 | 4 - 2 | 12,984,094
199   | Luxuria          | 9  | 4 - 2 | 12,973,146
200   | Pokédex          | 6  | 3 - 3 | 12,968,044
201   | Mexicore         | 8  | 4 - 2 | 12,962,166
202   | Amaranth         | 4  | 4 - 2 | 12,956,164
203   | Void             | 7  | 4 - 2 | 12,950,948
204   | AstessiaJC       | 13 | 3 - 3 | 12,901,660
205   | ArkainaKore      | 8  | 3 - 3 | 12,889,528
206   | SleepingAngels   | 10 | 4 - 2 | 12,865,260
207   | Nazarick         | 3  | 4 - 2 | 12,858,220
208   | TBC              | 6  | 4 - 2 | 12,846,534
209   | 새벽               | 13 | 4 - 2 | 12,829,226
210   | Cthuwu           | 10 | 4 - 2 | 12,820,757
211   | PhantomTroupe    | 10 | 4 - 2 | 12,811,472
212   | 신오앨리스            | 12 | 5 - 1 | 12,806,889
213   | Homura炎          | 1  | 4 - 2 | 12,794,094
214   | Precure          | 4  | 5 - 1 | 12,792,891
215   | JuraForest       | 13 | 4 - 2 | 12,780,088
216   | Defiance(｡･ω･｡)ﾉ | 11 | 3 - 3 | 12,774,644
217   | Nameless         | 8  | 4 - 2 | 12,724,526
218   | PowerUP          | 9  | 4 - 2 | 12,723,814
219   | Darkness         | 7  | 4 - 2 | 12,716,473
220   | Upupupu          | 8  | 3 - 3 | 12,661,901
221   | Genocide         | 12 | 3 - 3 | 12,624,771
222   | CrimsonTears     | 8  | 3 - 3 | 12,601,852
223   | BadLuck          | 9  | 4 - 2 | 12,572,674
224   | Dabbers          | 5  | 3 - 3 | 12,552,678
225   | Avenoir          | 9  | 3 - 3 | 12,547,492
226   | .·´✧Depora✧`·.   | 7  | 4 - 2 | 12,517,638
227   | HoneyBunny       | 1  | 3 - 3 | 12,490,050
228   | Nyantropy        | 10 | 4 - 2 | 12,486,932
229   | Ichariba         | 1  | 3 - 3 | 12,478,199
230   | Mjødhall         | 5  | 4 - 2 | 12,466,754
231   | Echi_Di_CULtura  | 4  | 3 - 3 | 12,460,571
232   | AlioRegnum       | 3  | 5 - 1 | 12,445,729
233   | Another          | 8  | 3 - 3 | 12,442,257
234   | 7Sins            | 5  | 4 - 2 | 12,439,016
235   | 냥냥킥              | 12 | 4 - 2 | 12,436,888
236   | Mistborn         | 5  | 4 - 2 | 12,435,244
237   | Xoriat           | 9  | 4 - 2 | 12,430,722
238   | Avarice          | 10 | 3 - 3 | 12,417,880
239   | SinoLewd         | 10 | 3 - 3 | 12,415,242
240   | GrimmNightmare   | 5  | 4 - 2 | 12,379,634
241   | CaSINo           | 3  | 3 - 3 | 12,377,735
242   | PlayWoW          | 13 | 3 - 3 | 12,354,534
243   | Arcanum          | 4  | 4 - 2 | 12,345,449
244   | ᴀsᴄᴇɴsɪᴏɴ        | 3  | 4 - 2 | 12,333,386
245   | Happy            | 12 | 3 - 3 | 12,325,339
246   | Ohanami          | 11 | 4 - 2 | 12,253,844
247   | Nexus            | 9  | 4 - 2 | 12,216,185
248   | Test             | 4  | 4 - 2 | 12,187,021
249   | Caterus          | 7  | 4 - 2 | 12,096,654
250   | Shade            | 6  | 4 - 2 | 12,065,101
251   | KULTURE          | 9  | 3 - 3 | 12,064,786
252   | Ikimasu          | 7  | 3 - 3 | 12,058,999
253   | SoCal            | 9  | 3 - 3 | 12,054,125
254   | Phantasmagoria   | 5  | 2 - 4 | 12,046,106
255   | 잔향               | 12 | 3 - 3 | 12,038,814
256   | Bananas          | 10 | 3 - 3 | 12,036,605
257   | ♤♡Palace♧♢       | 1  | 3 - 3 | 12,023,708
258   | Pantheon         | 11 | 3 - 3 | 12,019,878
259   | Ecstasy          | 1  | 4 - 2 | 11,978,451
260   | µ's              | 10 | 4 - 2 | 11,933,003
261   | Axolotl生         | 8  | 4 - 2 | 11,903,371
262   | Hazelnut         | 5  | 3 - 3 | 11,882,979
263   | SunnyDay~        | 12 | 4 - 2 | 11,877,096
264   | Panda            | 5  | 3 - 3 | 11,850,761
265   | NoTale.F.A       | 5  | 4 - 2 | 11,819,632
266   | RoyalKnights     | 8  | 5 - 1 | 11,819,506
267   | Moonfall         | 4  | 3 - 3 | 11,806,821
268   | RLC              | 13 | 4 - 2 | 11,790,010
269   | Squids           | 10 | 3 - 3 | 11,782,691
270   | bbt              | 10 | 4 - 2 | 11,777,601
271   | Wisteria         | 7  | 4 - 2 | 11,760,576
272   | Unseelie         | 8  | 4 - 2 | 11,758,069
273   | HoloLive         | 12 | 4 - 2 | 11,738,611
274   | Michi'sZombie    | 9  | 3 - 3 | 11,731,333
275   | Space            | 8  | 4 - 2 | 11,706,595
276   | DayDream         | 5  | 2 - 4 | 11,703,518
277   | YssSG            | 12 | 4 - 2 | 11,692,740
278   | Re:ℤer๏          | 9  | 4 - 2 | 11,688,835
279   | Imperium         | 3  | 4 - 2 | 11,688,742
280   | ꫛꫀꪝ✧‧˚           | 13 | 4 - 2 | 11,666,426
281   | Otaku            | 9  | 4 - 2 | 11,665,350
282   | SINcerity        | 5  | 3 - 3 | 11,647,496
283   | EatPant2         | 10 | 4 - 2 | 11,643,947
284   | Yaiba2.0         | 9  | 4 - 2 | 11,566,834
285   | GrimHope         | 10 | 4 - 2 | 11,563,675
286   | Libra            | 3  | 4 - 2 | 11,543,575
287   | GrimTale         | 5  | 4 - 2 | 11,530,098
288   | ☆☆LAZe☆☆         | 7  | 4 - 2 | 11,519,993
289   | Lucklets         | 4  | 3 - 3 | 11,498,204
290   | Bookstore        | 5  | 5 - 1 | 11,481,989
291   | Pluggies         | 1  | 4 - 2 | 11,480,362
292   | Cognatus         | 8  | 3 - 3 | 11,476,164
293   | Niflheim         | 11 | 4 - 2 | 11,471,867
294   | Eternum          | 8  | 3 - 3 | 11,446,476
295   | MoguMogu         | 12 | 4 - 2 | 11,437,670
296   | TheNorth         | 7  | 3 - 3 | 11,426,038
297   | Freedom          | 12 | 4 - 2 | 11,389,782
298   | Yharnam          | 7  | 4 - 2 | 11,375,163
299   | MirrorOfFate     | 9  | 4 - 2 | 11,346,825
300   | Espada           | 10 | 4 - 2 | 11,343,014
301   | BLANKET          | 8  | 3 - 3 | 11,332,119
302   | Marina           | 13 | 4 - 2 | 11,327,622
303   | S.H.             | 6  | 4 - 2 | 11,305,191
304   | Paywall          | 5  | 4 - 2 | 11,299,514
305   | EndofPariah      | 5  | 3 - 3 | 11,288,634
306   | iGod             | 6  | 3 - 3 | 11,273,245
307   | TaroBoba         | 10 | 4 - 2 | 11,268,701
308   | Coldbrew         | 13 | 3 - 3 | 11,245,655
309   | Avantheim        | 13 | 3 - 3 | 11,231,052
310   | DarkMoon         | 4  | 4 - 2 | 11,229,841
311   | Slimemh-311-     | 9  | 3 - 3 | 11,225,756
312   | Fables           | 10 | 4 - 2 | 11,184,443
313   | Vesperia         | 7  | 3 - 3 | 11,184,400
314   | OnceUpon         | 10 | 3 - 3 | 11,171,528
315   | SectaDeLammy     | 8  | 4 - 2 | 11,168,909
316   | Arialis          | 6  | 4 - 2 | 11,166,297
317   | 디시인사이드           | 11 | 3 - 3 | 11,156,283
318   | MilkGod          | 12 | 3 - 3 | 11,151,126
319   | Rayearth         | 7  | 4 - 2 | 11,150,926
320   | Memento          | 11 | 3 - 3 | 11,127,971
321   | Noragami         | 4  | 3 - 3 | 11,112,358
322   | Wormhole         | 6  | 4 - 2 | 11,112,255
323   | Alabaster        | 9  | 3 - 3 | 11,106,705
324   | Valhalla         | 6  | 4 - 2 | 11,087,518
325   | Kyogen           | 5  | 4 - 2 | 11,037,089
326   | Frans            | 8  | 3 - 3 | 11,034,903
327   | Blank            | 5  | 4 - 2 | 11,009,340
328   | RhodesID         | 12 | 4 - 2 | 10,994,917
329   | Baguette         | 5  | 3 - 3 | 10,974,680
330   | /sagg/           | 9  | 3 - 3 | 10,955,645
331   | Sin              | 4  | 4 - 2 | 10,937,210
332   | Genesis          | 8  | 4 - 2 | 10,936,606
333   | Buffones         | 7  | 4 - 2 | 10,917,249
334   | 코코는병아리           | 11 | 4 - 2 | 10,917,177
335   | ꧁SnowSanctuary꧂  | 11 | 3 - 3 | 10,913,619
336   | Meow             | 4  | 4 - 2 | 10,902,131
337   | NeonBomb         | 8  | 4 - 2 | 10,870,224
338   | FABLES           | 12 | 4 - 2 | 10,868,008
339   | Halcyon          | 8  | 4 - 2 | 10,858,610
340   | Alicization      | 13 | 4 - 2 | 10,854,407
341   | Shikibu          | 9  | 3 - 3 | 10,837,664
342   | Daybreak         | 13 | 3 - 3 | 10,826,960
343   | OwO              | 12 | 3 - 3 | 10,799,935
344   | DeadDemon        | 9  | 4 - 2 | 10,797,615
345   | 【﻿ＢＬＩＮＫ】         | 11 | 2 - 4 | 10,791,839
346   | Alter            | 9  | 3 - 3 | 10,752,923
347   | BloodOath        | 1  | 3 - 3 | 10,748,186
348   | Bullied          | 10 | 3 - 3 | 10,747,436
349   | Draconic         | 1  | 2 - 4 | 10,745,285
350   | OFFtopic         | 6  | 3 - 3 | 10,745,260
351   | Bushido          | 9  | 4 - 2 | 10,742,397
352   | ᴇᴠɪʟ☬ɢᴇɴɪᴜꜱᴇꜱ    | 7  | 3 - 3 | 10,728,739
353   | Chaldea          | 3  | 4 - 2 | 10,723,199
354   | PiKACHeW         | 1  | 4 - 2 | 10,708,161
355   | HachikujiMayoi   | 6  | 3 - 3 | 10,704,502
356   | KARMA            | 5  | 2 - 4 | 10,693,458
357   | HEX              | 5  | 4 - 2 | 10,692,529
358   | TakoYaki         | 13 | 3 - 3 | 10,674,314
359   | Fatalis          | 1  | 4 - 2 | 10,664,390
360   | Guardians        | 12 | 3 - 3 | 10,650,001
361   | TeaCats          | 13 | 3 - 3 | 10,632,032
362   | Salière          | 5  | 4 - 2 | 10,631,261
363   | Omega            | 7  | 3 - 3 | 10,594,206
364   | StateFarm        | 10 | 3 - 3 | 10,581,430
365   | Killhare         | 8  | 4 - 2 | 10,569,297
366   | BookClub         | 9  | 3 - 3 | 10,563,400
367   | FUNAlice         | 9  | 3 - 3 | 10,549,331
368   | FoxTails         | 13 | 4 - 2 | 10,538,220
369   | Armed            | 9  | 3 - 3 | 10,531,102
370   | Hokuten-Knights  | 4  | 4 - 2 | 10,526,121
371   | CULToSUNNY       | 3  | 4 - 2 | 10,510,677
372   | 연린               | 12 | 3 - 3 | 10,510,561
373   | Elysium          | 10 | 3 - 3 | 10,497,458
374   | Drakengard       | 12 | 4 - 2 | 10,494,650
375   | Lethaeus         | 6  | 4 - 2 | 10,494,206
376   | Elegy            | 6  | 3 - 3 | 10,488,713
377   | AllStars         | 4  | 3 - 3 | 10,483,607
378   | Aussie           | 8  | 3 - 3 | 10,459,921
379   | TheGuild         | 4  | 4 - 2 | 10,458,757
380   | Nutella          | 12 | 3 - 3 | 10,428,707
381   | Oracles          | 7  | 4 - 2 | 10,424,037
382   | •ForeverHome•    | 12 | 3 - 3 | 10,421,342
383   | ZODIAC           | 13 | 3 - 3 | 10,412,121
384   | ZaWarudo         | 3  | 3 - 3 | 10,404,297
385   | ChurchOfTamagod  | 11 | 4 - 2 | 10,391,734
386   | Hysteria         | 4  | 3 - 3 | 10,386,407
387   | Veritas          | 10 | 3 - 3 | 10,380,363
388   | Oldworld         | 3  | 4 - 2 | 10,377,386
389   | Valiance         | 6  | 3 - 3 | 10,371,071
390   | ~Epiphany~       | 3  | 4 - 2 | 10,369,794
391   | Virtuous         | 1  | 3 - 3 | 10,350,890
392   | TeamPetty        | 5  | 4 - 2 | 10,347,695
393   | Moonrise         | 7  | 3 - 3 | 10,343,805
394   | hyouka           | 7  | 3 - 3 | 10,337,469
395   | Odyssey          | 5  | 2 - 4 | 10,336,786
396   | FuwaFuwa         | 11 | 3 - 3 | 10,325,206
397   | Chonkers         | 7  | 4 - 2 | 10,317,153
398   | Jelly            | 10 | 4 - 2 | 10,313,785
399   | Astarea          | 13 | 4 - 2 | 10,307,877
400   | 9Realms          | 6  | 3 - 3 | 10,302,472
401   | Replicant        | 8  | 4 - 2 | 10,272,635
402   | GrimmRevolution  | 9  | 3 - 3 | 10,257,541
403   | Carriya          | 12 | 4 - 2 | 10,250,341
404   | |Solo|           | 1  | 4 - 2 | 10,229,697
405   | Monochrome       | 5  | 3 - 3 | 10,222,003
406   | SV               | 13 | 3 - 3 | 10,193,967
407   | YokoTako         | 8  | 2 - 4 | 10,184,541
408   | Intoners         | 3  | 3 - 3 | 10,176,881
409   | Hollows          | 4  | 3 - 3 | 10,170,379
410   | Kokytus          | 8  | 3 - 3 | 10,157,350
411   | Insomnia         | 11 | 4 - 2 | 10,153,401
412   | Ragnarokr        | 10 | 2 - 4 | 10,152,383
413   | Dai-Shocker      | 5  | 4 - 2 | 10,148,572
414   | CoolKids         | 6  | 4 - 2 | 10,146,161
415   | HailFuHua        | 9  | 4 - 2 | 10,125,352
416   | Avalon           | 10 | 3 - 3 | 10,123,179
417   | Drzkade          | 1  | 3 - 3 | 10,121,537
418   | X-Buster         | 7  | 4 - 2 | 10,093,217
419   | Maung            | 13 | 3 - 3 | 10,068,963
420   | Bakery           | 7  | 3 - 3 | 10,054,561
421   | TARDIS           | 4  | 3 - 3 | 10,046,613
422   | Dissonance       | 4  | 3 - 3 | 10,038,694
423   | Library          | 4  | 4 - 2 | 10,023,096
424   | Affenbande       | 4  | 3 - 3 | 10,019,106
425   | LuckyOrb         | 6  | 4 - 2 | 9,990,060
426   | Asterisk         | 5  | 3 - 3 | 9,989,772
427   | Thigh.Highs&GB   | 8  | 4 - 2 | 9,986,534
428   | Doge             | 13 | 3 - 3 | 9,980,059
429   | BlackRose        | 6  | 4 - 2 | 9,960,575
430   | Peerless         | 11 | 3 - 3 | 9,948,947
431   | Daijoubu         | 5  | 3 - 3 | 9,945,539
432   | 7thElement       | 8  | 3 - 3 | 9,943,581
433   | OrberLords       | 3  | 4 - 2 | 9,924,143
434   | Sino             | 6  | 3 - 3 | 9,917,393
435   | Eleusis          | 7  | 3 - 3 | 9,897,926
436   | Ovan'$$Ble$$ing  | 13 | 3 - 3 | 9,879,943
437   | Necronomicon     | 10 | 3 - 3 | 9,868,106
438   | Unlucky          | 8  | 4 - 2 | 9,847,483
439   | Refuwugees       | 10 | 3 - 3 | 9,832,532
440   | SOX天国            | 9  | 3 - 3 | 9,829,992
441   | Reroll-Yubi      | 10 | 3 - 3 | 9,827,409
442   | AetherRoar       | 9  | 3 - 3 | 9,822,167
443   | ♡DEBAUCHERY♥     | 1  | 3 - 3 | 9,815,054
444   | Gullible         | 11 | 4 - 2 | 9,809,934
445   | Cthulhu          | 11 | 3 - 3 | 9,807,648
446   | LePilier         | 4  | 3 - 3 | 9,799,916
447   | Lunatear         | 11 | 4 - 2 | 9,786,822
448   | 쿠로가미             | 13 | 3 - 3 | 9,782,956
449   | KampungRealtra   | 12 | 3 - 3 | 9,774,438
450   | Synchronicity    | 5  | 4 - 2 | 9,763,163
451   | FGOChile         | 8  | 3 - 3 | 9,762,368
452   | Azur             | 3  | 3 - 3 | 9,759,848
453   | SunTears         | 5  | 4 - 2 | 9,754,751
454   | NoMercy          | 4  | 3 - 3 | 9,737,981
455   | RedQueen         | 9  | 3 - 3 | 9,736,319
456   | DârkSîn          | 10 | 3 - 3 | 9,717,381
457   | Bellum           | 8  | 3 - 3 | 9,709,540
458   | Legion           | 8  | 3 - 3 | 9,694,864
459   | Holoslime        | 11 | 3 - 3 | 9,692,113
460   | RavenPoe         | 9  | 3 - 3 | 9,685,639
461   | SINoBEARS        | 3  | 3 - 3 | 9,681,293
462   | MiGraine         | 13 | 3 - 3 | 9,641,352
463   | NoNamed          | 12 | 3 - 3 | 9,638,485
464   | Zeal             | 7  | 3 - 3 | 9,627,385
465   | Cheshire         | 10 | 3 - 3 | 9,623,526
466   | Lithium          | 5  | 3 - 3 | 9,619,593
467   | Phantom          | 5  | 3 - 3 | 9,611,151
468   | Niflheim         | 9  | 3 - 3 | 9,610,892
469   | Navi             | 6  | 4 - 2 | 9,609,722
470   | Royals           | 8  | 3 - 3 | 9,601,591
471   | Roselia          | 13 | 3 - 3 | 9,591,463
472   | Gateway          | 4  | 4 - 2 | 9,590,138
473   | pepega           | 12 | 3 - 3 | 9,588,148
474   | Abandoned        | 3  | 4 - 2 | 9,560,717
475   | TheAvatars       | 5  | 4 - 2 | 9,560,573
