Rank  | Name             | TS | W - L | Lifeforce

1     | CyberCrime       | 10 | 6 - 0 | 33,480,287
2     | Peanut           | 5  | 6 - 0 | 31,064,711
3     | Malchi           | 9  | 6 - 0 | 31,048,815
4     | AstelliaJC       | 1  | 6 - 0 | 29,452,025
5     | Flame            | 6  | 6 - 0 | 28,943,521
6     | NANAISTHEBESTBOI | 10 | 5 - 1 | 28,188,967
7     | GabiruCult       | 7  | 6 - 0 | 28,035,064
8     | メロンパン            | 2  | 6 - 0 | 26,906,817
9     | Cohesion         | 3  | 6 - 0 | 26,560,371
10    | LOVELESS         | 6  | 5 - 1 | 26,198,222
11    | LaffyRaffy       | 8  | 6 - 0 | 25,827,614
12    | Boss             | 12 | 5 - 1 | 25,739,154
13    | 404              | 4  | 6 - 0 | 25,571,036
14    | UNDRGROUND       | 1  | 5 - 1 | 25,278,458
15    | 오리너구리            | 12 | 6 - 0 | 25,186,992
16    | ByIsaacsBeard    | 3  | 5 - 1 | 23,004,082
17    | 2LS              | 11 | 6 - 0 | 22,708,101
18    | Squids           | 5  | 5 - 1 | 22,603,302
19    | AI               | 8  | 5 - 1 | 22,482,668
20    | Roselia          | 4  | 5 - 1 | 22,417,669
21    | Codex            | 5  | 5 - 1 | 22,286,011
22    | Mocha            | 7  | 5 - 1 | 22,239,898
23    | Reverie          | 8  | 4 - 2 | 22,170,086
24    | Twelve           | 9  | 4 - 2 | 22,073,116
25    | Rebel            | 11 | 5 - 1 | 21,985,481
26    | 벚꽃               | 12 | 5 - 1 | 21,984,238
27    | Angelis          | 9  | 5 - 1 | 21,920,397
28    | 幼儿园              | 10 | 5 - 1 | 21,770,764
29    | Secret_Garden    | 4  | 5 - 1 | 20,720,626
30    | SINoALICE        | 13 | 5 - 1 | 20,717,554
31    | uwu♡~            | 1  | 4 - 2 | 20,638,746
32    | RawHotDog        | 8  | 5 - 1 | 20,157,283
33    | Brotherhood      | 9  | 4 - 2 | 20,055,063
34    | (주)월하미인          | 13 | 4 - 2 | 20,032,919
35    | LawIsThicc       | 9  | 5 - 1 | 19,998,097
36    | Caribe           | 8  | 4 - 2 | 19,778,178
37    | Rebirth          | 9  | 4 - 2 | 19,556,235
38    | Loaf             | 7  | 4 - 2 | 19,343,819
39    | 설화               | 13 | 4 - 2 | 19,213,290
40    | Agony            | 6  | 4 - 2 | 19,210,764
41    | M&C              | 7  | 4 - 2 | 19,206,783
42    | Almond           | 13 | 5 - 1 | 19,074,024
43    | ♥♡YoЯHa♡♥        | 8  | 4 - 2 | 18,760,628
44    | ☆Soulmate☆       | 11 | 5 - 1 | 18,370,332
45    | Altair           | 10 | 5 - 1 | 18,287,201
46    | Noxious          | 4  | 3 - 3 | 18,254,691
47    | =)               | 7  | 3 - 3 | 18,057,221
48    | Armada           | 8  | 3 - 3 | 18,042,049
49    | Insomniacs       | 6  | 4 - 2 | 17,813,480
50    | Scripted         | 11 | 4 - 2 | 17,750,969
51    | Weebs            | 5  | 5 - 1 | 17,750,010
52    | Destiny          | 3  | 5 - 1 | 17,641,752
53    | AvocadoToast     | 7  | 5 - 1 | 17,489,458
54    | Forget2Play      | 11 | 4 - 2 | 17,372,783
55    | Nandos           | 1  | 4 - 2 | 17,302,617
56    | 뉴비               | 12 | 4 - 2 | 17,133,712
57    | 문제아              | 13 | 4 - 2 | 17,049,857
58    | SINoABBY         | 8  | 4 - 2 | 17,034,085
59    | Revive           | 8  | 4 - 2 | 16,979,214
60    | TheNut           | 8  | 4 - 2 | 16,945,091
61    | Pariah           | 4  | 4 - 2 | 16,852,616
62    | UmaruLand        | 8  | 4 - 2 | 16,681,785
63    | FTRAP            | 1  | 3 - 3 | 16,669,098
64    | Hollow           | 10 | 4 - 2 | 16,648,733
65    | Realm            | 4  | 4 - 2 | 16,521,433
66    | Gods             | 7  | 4 - 2 | 16,357,013
67    | 한국산흑우단           | 12 | 4 - 2 | 16,328,757
68    | Chronicles       | 1  | 3 - 3 | 16,326,480
69    | Chronos          | 2  | 5 - 1 | 16,283,617
70    | 즐거운우리집           | 13 | 4 - 2 | 16,236,043
71    | mEmE             | 11 | 4 - 2 | 16,123,976
72    | Oblivion         | 5  | 4 - 2 | 16,110,994
73    | FullMoonCafe     | 6  | 4 - 2 | 16,093,919
74    | JustUsFrogsAgain | 4  | 4 - 2 | 16,090,134
75    | Nyaaa            | 9  | 4 - 2 | 16,035,812
76    | KAIJU            | 8  | 4 - 2 | 15,990,383
77    | Ogygia           | 1  | 4 - 2 | 15,945,630
78    | 블랙소울             | 13 | 5 - 1 | 15,945,308
79    | 만사귀찮             | 1  | 5 - 1 | 15,899,975
80    | Belial           | 8  | 4 - 2 | 15,886,333
81    | #1InTimeslot     | 4  | 3 - 3 | 15,812,418
82    | 『MR』             | 9  | 4 - 2 | 15,713,714
83    | Elysium          | 4  | 4 - 2 | 15,636,511
84    | Arroz            | 6  | 4 - 2 | 15,566,782
85    | UnitalRing       | 10 | 4 - 2 | 15,564,597
86    | [_]              | 3  | 4 - 2 | 15,532,312
87    | YoRha            | 5  | 5 - 1 | 15,452,383
88    | Vroom            | 11 | 4 - 2 | 15,311,422
89    | Dream            | 9  | 4 - 2 | 15,235,674
90    | OuRHa            | 6  | 4 - 2 | 15,218,466
91    | Fantasy          | 8  | 4 - 2 | 15,153,564
92    | Liquid           | 10 | 4 - 2 | 15,088,688
93    | Reunion          | 4  | 4 - 2 | 15,085,577
94    | Moogles          | 6  | 4 - 2 | 15,049,197
95    | Kali             | 5  | 5 - 1 | 15,017,583
96    | Rapture          | 4  | 4 - 2 | 15,015,623
97    | Tartarus         | 8  | 4 - 2 | 14,997,654
98    | 영원               | 12 | 4 - 2 | 14,988,186
99    | Stellar          | 13 | 5 - 1 | 14,987,768
100   | BeAsG0Ds         | 5  | 5 - 1 | 14,883,734
101   | Uncharted        | 5  | 4 - 2 | 14,874,363
102   | Alliance         | 9  | 4 - 2 | 14,839,900
103   | Astryx           | 8  | 3 - 3 | 14,797,785
104   | 의미               | 11 | 5 - 1 | 14,795,481
105   | Quebec           | 6  | 3 - 3 | 14,745,838
106   | KokoDayo         | 5  | 4 - 2 | 14,743,724
107   | Canceled         | 9  | 3 - 3 | 14,715,945
108   | Birbs            | 5  | 4 - 2 | 14,706,219
109   | MilkVoid         | 9  | 3 - 3 | 14,641,412
110   | Abhorsen         | 7  | 4 - 2 | 14,621,629
