Rank | Name             | W - L | Lifeforce

1    | SINoALICE        | 5 - 1 | 20,717,554
2    | (주)월하미인          | 4 - 2 | 20,032,919
3    | 설화               | 4 - 2 | 19,213,290
4    | Almond           | 5 - 1 | 19,074,024
5    | 문제아              | 4 - 2 | 17,049,857
6    | 즐거운우리집           | 4 - 2 | 16,236,043
7    | 블랙소울             | 5 - 1 | 15,945,308
8    | Stellar          | 5 - 1 | 14,987,768
9    | Encore           | 4 - 2 | 14,460,622
10   | 냥냥펀치             | 4 - 2 | 14,367,855
11   | AlmondMilk       | 4 - 2 | 14,211,143
12   | 마굿간              | 4 - 2 | 14,084,169
13   | owo7             | 3 - 3 | 14,075,274
14   | Neko★彡彡          | 3 - 3 | 14,052,754
15   | ƔϵևՁɠɠ           | 4 - 2 | 13,690,670
16   | TRIAD            | 5 - 1 | 13,122,073
17   | AstessiaJC       | 3 - 3 | 12,901,660
18   | 새벽               | 4 - 2 | 12,829,226
19   | JuraForest       | 4 - 2 | 12,780,088
20   | PlayWoW          | 3 - 3 | 12,354,534
21   | RLC              | 4 - 2 | 11,790,010
22   | ꫛꫀꪝ✧‧˚           | 4 - 2 | 11,666,426
23   | Marina           | 4 - 2 | 11,327,622
24   | Coldbrew         | 3 - 3 | 11,245,655
25   | Avantheim        | 3 - 3 | 11,231,052
26   | Alicization      | 4 - 2 | 10,854,407
27   | Daybreak         | 3 - 3 | 10,826,960
28   | TakoYaki         | 3 - 3 | 10,674,314
29   | TeaCats          | 3 - 3 | 10,632,032
30   | FoxTails         | 4 - 2 | 10,538,220
31   | ZODIAC           | 3 - 3 | 10,412,121
32   | Astarea          | 4 - 2 | 10,307,877
33   | SV               | 3 - 3 | 10,193,967
34   | Maung            | 3 - 3 | 10,068,963
35   | Doge             | 3 - 3 | 9,980,059
36   | Ovan'$$Ble$$ing  | 3 - 3 | 9,879,943
37   | 쿠로가미             | 3 - 3 | 9,782,956
38   | MiGraine         | 3 - 3 | 9,641,352
39   | Roselia          | 3 - 3 | 9,591,463
40   | Jelly            | 4 - 2 | 8,973,161
41   | Hoshi            | 4 - 2 | 8,967,645
42   | REPL:EVER        | 3 - 3 | 8,856,102
43   | Nekoship         | 4 - 2 | 8,841,332
44   | YoRHa            | 2 - 4 | 8,833,688
45   | Wind             | 3 - 3 | 8,582,662
46   | Vigrior          | 4 - 2 | 8,457,113
47   | ILLUMINAE        | 3 - 3 | 8,456,817
48   | S.E.A            | 3 - 3 | 8,442,295
49   | Lancaster        | 3 - 3 | 8,299,452
50   | aster            | 3 - 3 | 8,280,452
51   | DarkVoid         | 4 - 2 | 8,187,030
52   | MomPasta         | 4 - 2 | 7,692,915
53   | Chariot          | 3 - 3 | 7,662,064
54   | ADIX             | 2 - 4 | 7,577,300
55   | SINoArc          | 4 - 2 | 7,510,560
56   | 끓는무쇠솥            | 3 - 3 | 7,491,815
57   | 바나나우유            | 2 - 4 | 7,380,514
58   | IndoSin          | 3 - 3 | 7,159,936
59   | StarryNight      | 3 - 3 | 7,099,348
60   | Mementos         | 3 - 3 | 7,048,141
61   | EatSh1tVeronica! | 3 - 3 | 6,562,395
62   | 수상한암살            | 3 - 3 | 6,541,314
63   | RainyDay         | 3 - 3 | 6,533,034
64   | -F-              | 3 - 3 | 6,503,954
65   | BanVaeN          | 3 - 3 | 6,208,063
66   | Tranquil         | 3 - 3 | 6,143,411
67   | Gkilling         | 3 - 3 | 6,091,007
68   | KuroNeko         | 3 - 3 | 6,031,886
69   | Orchid           | 3 - 3 | 5,983,973
70   | Isocial          | 3 - 3 | 5,852,496
71   | Crown​           | 3 - 3 | 5,847,387
72   | Fallacy          | 2 - 4 | 5,783,083
73   | SINoPORE         | 2 - 4 | 5,594,424
74   | Scarlet          | 2 - 4 | 5,509,064
75   | GrimGrimoire[α]  | 2 - 4 | 5,327,489
76   | CHALDEA          | 2 - 4 | 5,239,878
77   | Ashurã           | 2 - 4 | 5,176,219
78   | 콜로세움하자           | 2 - 4 | 5,096,916
79   | Arunafel         | 2 - 4 | 5,090,240
80   | Nier             | 3 - 3 | 4,774,437
81   | Sinners          | 3 - 3 | 4,753,359
82   | ☆Waifus☆         | 3 - 3 | 4,672,081
83   | Colours          | 3 - 3 | 4,172,389
84   | Lameroz          | 2 - 4 | 4,145,385
85   | DragonStar       | 2 - 4 | 3,946,290
86   | GrimGrimoire[β]  | 3 - 3 | 3,919,755
87   | Arcanum          | 2 - 4 | 3,870,727
88   | SINergia         | 2 - 4 | 3,609,806
89   | 연인               | 2 - 4 | 3,559,111
90   | Alfamart         | 2 - 4 | 3,317,166
91   | Asphyxia         | 1 - 5 | 3,254,216
92   | Prinny_Brigade   | 2 - 4 | 3,241,226
93   | EcchiLand        | 3 - 3 | 3,074,064
94   | SINful           | 2 - 4 | 2,773,111
95   | Insanity         | 2 - 4 | 2,721,909
96   | D.M.C            | 2 - 4 | 2,497,147
97   | SkyIndo          | 2 - 4 | 2,491,761
98   | ¿ApplE?          | 2 - 4 | 2,351,764
99   | PlayCat          | 2 - 4 | 2,236,815
100  | 조용조용             | 1 - 5 | 522,064
101  | 길드명추천받습니다        | 0 - 6 | 368,822
102  | Perseverance     | 0 - 6 | 29,439
103  | Lounge           | 0 - 6 | 5,286
104  | Creamed          | 0 - 6 | 3,119
