Rank | Name             | W - L | Lifeforce

1    | 404              | 6 - 0 | 25,571,036
2    | Roselia          | 5 - 1 | 22,417,669
3    | Secret_Garden    | 5 - 1 | 20,720,626
4    | Noxious          | 3 - 3 | 18,254,691
5    | Pariah           | 4 - 2 | 16,852,616
6    | Realm            | 4 - 2 | 16,521,433
7    | JustUsFrogsAgain | 4 - 2 | 16,090,134
8    | #1InTimeslot     | 3 - 3 | 15,812,418
9    | Elysium          | 4 - 2 | 15,636,511
10   | Reunion          | 4 - 2 | 15,085,577
11   | Rapture          | 4 - 2 | 15,015,623
12   | Harmony          | 4 - 2 | 14,300,316
13   | Hellions         | 5 - 1 | 14,156,842
14   | Aether           | 4 - 2 | 13,700,979
15   | VeXille          | 3 - 3 | 13,638,386
16   | Revive20SP       | 4 - 2 | 13,633,745
17   | Pequod           | 4 - 2 | 13,569,780
18   | 765Pro           | 4 - 2 | 13,536,579
19   | Kyobo            | 3 - 3 | 13,429,058
20   | .Manica.         | 3 - 3 | 13,022,821
21   | Amaranth         | 4 - 2 | 12,956,164
22   | Precure          | 5 - 1 | 12,792,891
23   | Echi_Di_CULtura  | 3 - 3 | 12,460,571
24   | Arcanum          | 4 - 2 | 12,345,449
25   | Test             | 4 - 2 | 12,187,021
26   | Moonfall         | 3 - 3 | 11,806,821
27   | Lucklets         | 3 - 3 | 11,498,204
28   | DarkMoon         | 4 - 2 | 11,229,841
29   | Noragami         | 3 - 3 | 11,112,358
30   | Sin              | 4 - 2 | 10,937,210
31   | Meow             | 4 - 2 | 10,902,131
32   | Hokuten-Knights  | 4 - 2 | 10,526,121
33   | AllStars         | 3 - 3 | 10,483,607
34   | TheGuild         | 4 - 2 | 10,458,757
35   | Hysteria         | 3 - 3 | 10,386,407
36   | Hollows          | 3 - 3 | 10,170,379
37   | TARDIS           | 3 - 3 | 10,046,613
38   | Dissonance       | 3 - 3 | 10,038,694
39   | Library          | 4 - 2 | 10,023,096
40   | Affenbande       | 3 - 3 | 10,019,106
41   | LePilier         | 3 - 3 | 9,799,916
42   | NoMercy          | 3 - 3 | 9,737,981
43   | Gateway          | 4 - 2 | 9,590,138
44   | Grimms_Requiem   | 4 - 2 | 9,302,576
45   | OBDS             | 3 - 3 | 9,143,235
46   | Blargh!          | 3 - 3 | 9,127,588
47   | Ram☆Ranch        | 3 - 3 | 9,092,235
48   | Crux             | 4 - 2 | 9,039,534
49   | Scythe           | 3 - 3 | 9,012,580
50   | Märchen          | 3 - 3 | 8,997,108
51   | Sylaise          | 3 - 3 | 8,874,005
52   | Scriptor         | 3 - 3 | 8,660,043
53   | AllStars         | 4 - 2 | 8,544,218
54   | Sky              | 4 - 2 | 8,516,685
