Rank | Name             | W - L | Lifeforce

1    | 2LS              | 6 - 0 | 22,708,101
2    | Rebel            | 5 - 1 | 21,985,481
3    | ☆Soulmate☆       | 5 - 1 | 18,370,332
4    | Scripted         | 4 - 2 | 17,750,969
5    | Forget2Play      | 4 - 2 | 17,372,783
6    | mEmE             | 4 - 2 | 16,123,976
7    | Vroom            | 4 - 2 | 15,311,422
8    | 의미               | 5 - 1 | 14,795,481
9    | Defiance(｡･ω･｡)ﾉ | 3 - 3 | 12,774,644
10   | Ohanami          | 4 - 2 | 12,253,844
11   | Pantheon         | 3 - 3 | 12,019,878
12   | Niflheim         | 4 - 2 | 11,471,867
13   | 디시인사이드           | 3 - 3 | 11,156,283
14   | Memento          | 3 - 3 | 11,127,971
15   | 코코는병아리           | 4 - 2 | 10,917,177
16   | ꧁SnowSanctuary꧂  | 3 - 3 | 10,913,619
17   | 【﻿ＢＬＩＮＫ】         | 2 - 4 | 10,791,839
18   | ChurchOfTamagod  | 4 - 2 | 10,391,734
19   | FuwaFuwa         | 3 - 3 | 10,325,206
20   | Insomnia         | 4 - 2 | 10,153,401
21   | Peerless         | 3 - 3 | 9,948,947
22   | Gullible         | 4 - 2 | 9,809,934
23   | Cthulhu          | 3 - 3 | 9,807,648
24   | Lunatear         | 4 - 2 | 9,786,822
25   | Holoslime        | 3 - 3 | 9,692,113
26   | Lethargy         | 3 - 3 | 9,521,552
27   | AVARITIA         | 4 - 2 | 9,291,617
28   | BulbGang         | 4 - 2 | 9,241,307
29   | Malice           | 3 - 3 | 9,146,206
30   | Revenants        | 4 - 2 | 9,125,766
31   | NOAH             | 3 - 3 | 8,853,421
32   | Pendraig         | 3 - 3 | 8,711,373
33   |                  | 4 - 2 | 8,619,300
34   | CBTXNTR          | 3 - 3 | 8,079,796
35   | Phantasmagoria   | 4 - 2 | 8,057,105
36   | Moonlit          | 3 - 3 | 7,808,147
37   | Anxiety          | 3 - 3 | 7,375,812
38   | 4Fun             | 3 - 3 | 7,287,496
39   | Alchemia         | 3 - 3 | 7,175,698
40   | Rheita           | 3 - 3 | 7,121,617
41   | 은하수의밤            | 3 - 3 | 7,075,752
42   | 쌀롱               | 4 - 2 | 7,001,055
43   | 휴식의정원            | 2 - 4 | 6,586,368
44   | Neo-Axiom        | 3 - 3 | 6,547,318
45   | Argonaut         | 3 - 3 | 6,478,479
46   | SINoMAKE         | 2 - 4 | 6,386,742
47   | Reverie          | 3 - 3 | 6,198,763
48   | Ezerien          | 2 - 4 | 6,138,418
49   | Automata         | 3 - 3 | 5,953,808
50   | Avernus          | 3 - 3 | 5,906,137
51   | Sınners          | 2 - 4 | 5,758,004
52   | 69Degrees        | 3 - 3 | 5,663,053
53   | HYDRA            | 3 - 3 | 5,618,627
54   | Passione         | 3 - 3 | 5,564,157
55   | Kaminari         | 3 - 3 | 5,138,610
56   | 시린이날             | 3 - 3 | 4,996,666
57   | AXIS             | 2 - 4 | 4,872,007
58   | PPNation         | 3 - 3 | 4,792,400
59   | Paranoia         | 3 - 3 | 4,783,980
60   | NobleGuard       | 2 - 4 | 4,631,699
61   | GvZ              | 2 - 4 | 4,566,456
62   | 블랙말랑카우           | 3 - 3 | 4,487,458
63   | Toast            | 3 - 3 | 4,394,397
64   | EvilDoer         | 3 - 3 | 4,094,002
65   | Nameless         | 2 - 4 | 4,089,715
66   | Dust             | 2 - 4 | 3,936,863
67   | Reformed         | 2 - 4 | 3,790,017
68   | Arcadia          | 1 - 5 | 3,537,105
69   | 커피앤도넛            | 3 - 3 | 3,506,229
70   | Luminalis        | 2 - 4 | 3,336,578
71   | 얼음꽃              | 2 - 4 | 2,956,107
72   | 밥심               | 2 - 4 | 2,198,443
73   | Valhalla         | 1 - 5 | 2,149,131
74   | CAHP             | 1 - 5 | 1,875,282
75   | KupoClub         | 2 - 4 | 1,742,838
76   | 잔혹동화출판사          | 1 - 5 | 1,005,764
77   | TBD              | 1 - 5 | 550,073
78   | 데덴네              | 0 - 6 | 0
