Rank | Name            | W - L | Lifeforce

1    | AstelliaJC      | 6 - 0 | 29,452,025
2    | UNDRGROUND      | 5 - 1 | 25,278,458
3    | uwu♡~           | 4 - 2 | 20,638,746
4    | Nandos          | 4 - 2 | 17,302,617
5    | FTRAP           | 3 - 3 | 16,669,098
6    | Chronicles      | 3 - 3 | 16,326,480
7    | Ogygia          | 4 - 2 | 15,945,630
8    | 만사귀찮            | 5 - 1 | 15,899,975
9    | 밤하늘             | 4 - 2 | 14,023,370
10   | Elkia           | 4 - 2 | 13,669,542
11   | Pekoland        | 3 - 3 | 13,483,336
12   | 14vs1           | 4 - 2 | 13,217,397
13   | MilkTea自        | 4 - 2 | 13,192,581
14   | Lucky           | 5 - 1 | 13,161,676
15   | Corosars        | 3 - 3 | 13,085,842
16   | Homura炎         | 4 - 2 | 12,794,094
17   | HoneyBunny      | 3 - 3 | 12,490,050
18   | Ichariba        | 3 - 3 | 12,478,199
19   | ♤♡Palace♧♢      | 3 - 3 | 12,023,708
20   | Ecstasy         | 4 - 2 | 11,978,451
21   | Pluggies        | 4 - 2 | 11,480,362
22   | BloodOath       | 3 - 3 | 10,748,186
23   | Draconic        | 2 - 4 | 10,745,285
24   | PiKACHeW        | 4 - 2 | 10,708,161
25   | Fatalis         | 4 - 2 | 10,664,390
26   | Virtuous        | 3 - 3 | 10,350,890
27   | |Solo|          | 4 - 2 | 10,229,697
28   | Drzkade         | 3 - 3 | 10,121,537
29   | ♡DEBAUCHERY♥    | 3 - 3 | 9,815,054
30   | Loliness        | 3 - 3 | 9,556,813
31   | Fairy           | 4 - 2 | 9,147,124
32   | SomePP          | 3 - 3 | 9,036,300
33   | Alice           | 3 - 3 | 9,003,919
34   | ϟNeverland      | 3 - 3 | 8,929,450
35   | Kyushi          | 3 - 3 | 8,892,841
36   | S.E.E.S.        | 3 - 3 | 8,719,273
37   | PhantomRoad     | 4 - 2 | 8,703,002
38   | FaE             | 3 - 3 | 8,686,143
39   | Memories        | 3 - 3 | 8,172,658
40   | Salt&RNG        | 3 - 3 | 8,028,511
41   | Daydreamer      | 4 - 2 | 7,812,156
42   | Phets           | 3 - 3 | 7,643,850
43   | Aeternum        | 3 - 3 | 7,634,872
44   | Glory           | 3 - 3 | 7,565,761
45   | NieR            | 3 - 3 | 7,237,727
46   | Dantalion       | 3 - 3 | 7,207,291
47   | Plague          | 3 - 3 | 7,145,268
48   | SHIRI           | 3 - 3 | 7,073,936
49   | LWSR            | 3 - 3 | 6,945,616
50   | 「XIII」          | 4 - 2 | 6,850,753
51   | NoppaiGG        | 3 - 3 | 6,139,959
52   | Lunar           | 3 - 3 | 6,058,415
53   | Teardrop        | 2 - 4 | 5,963,786
54   | Shuuba~         | 3 - 3 | 5,835,155
55   | pepegang        | 2 - 4 | 5,729,503
56   | BLACKPAGE       | 3 - 3 | 5,672,660
57   | Indo.Nesia      | 2 - 4 | 5,616,122
58   | Mahjong         | 3 - 3 | 5,564,544
59   | Rutledge        | 2 - 4 | 5,373,789
60   | Yorozuya        | 3 - 3 | 5,233,651
61   | Dragon          | 3 - 3 | 5,050,613
62   | ส้มป่อย         | 2 - 4 | 5,030,255
63   | Cronoire        | 2 - 4 | 4,903,446
64   | Memoire         | 3 - 3 | 4,814,604
65   | 언더월드단           | 3 - 3 | 4,764,202
66   | Омут            | 3 - 3 | 4,732,488
67   | Bloodlust       | 2 - 4 | 4,565,119
68   | Mewtaku         | 2 - 4 | 4,519,923
69   | Arknight        | 2 - 4 | 4,244,792
70   | Bleach          | 2 - 4 | 3,944,022
71   | EMILIA          | 3 - 3 | 3,651,371
72   | CrimsonFlames   | 2 - 4 | 3,535,569
73   | Yomi            | 2 - 4 | 3,515,468
74   | soon™           | 2 - 4 | 3,099,180
75   | HOTLOADS        | 2 - 4 | 2,880,386
76   | RedRose         | 2 - 4 | 2,848,168
77   | CelestialDemons | 2 - 4 | 2,514,394
78   | Narrators       | 2 - 4 | 2,293,553
79   | Adastra         | 2 - 4 | 1,967,377
80   | Illusive        | 1 - 5 | 1,602,274
81   | Penumbra        | 1 - 5 | 1,349,097
82   | LoneWolf        | 0 - 6 | 139,119
83   | Nuwbieez        | 0 - 6 | 31,353
