Rank | Name             | W - L | Lifeforce

1    | GabiruCult       | 6 - 0 | 28,035,064
2    | Mocha            | 5 - 1 | 22,239,898
3    | Loaf             | 4 - 2 | 19,343,819
4    | M&C              | 4 - 2 | 19,206,783
5    | =)               | 3 - 3 | 18,057,221
6    | AvocadoToast     | 5 - 1 | 17,489,458
7    | Gods             | 4 - 2 | 16,357,013
8    | Abhorsen         | 4 - 2 | 14,621,629
9    | =(               | 3 - 3 | 14,453,802
10   | ㄴㄱ               | 4 - 2 | 14,226,701
11   | Malice           | 4 - 2 | 14,172,531
12   | ButStillNotKeto  | 4 - 2 | 13,892,356
13   | Eclipse          | 4 - 2 | 13,889,851
14   | Faustian         | 4 - 2 | 13,867,192
15   | Imperial         | 4 - 2 | 13,781,175
16   | Punny            | 4 - 2 | 13,752,327
17   | mnemonic         | 3 - 3 | 13,456,722
18   | X̷I̷I̷I̷         | 4 - 2 | 13,286,801
19   | OrcinusOrca      | 3 - 3 | 13,066,118
20   | Void             | 4 - 2 | 12,950,948
21   | Darkness         | 4 - 2 | 12,716,473
22   | .·´✧Depora✧`·.   | 4 - 2 | 12,517,638
23   | Caterus          | 4 - 2 | 12,096,654
24   | Ikimasu          | 3 - 3 | 12,058,999
25   | Wisteria         | 4 - 2 | 11,760,576
26   | ☆☆LAZe☆☆         | 4 - 2 | 11,519,993
27   | TheNorth         | 3 - 3 | 11,426,038
28   | Yharnam          | 4 - 2 | 11,375,163
29   | Vesperia         | 3 - 3 | 11,184,400
30   | Rayearth         | 4 - 2 | 11,150,926
31   | Buffones         | 4 - 2 | 10,917,249
32   | ᴇᴠɪʟ☬ɢᴇɴɪᴜꜱᴇꜱ    | 3 - 3 | 10,728,739
33   | Omega            | 3 - 3 | 10,594,206
34   | Oracles          | 4 - 2 | 10,424,037
35   | Moonrise         | 3 - 3 | 10,343,805
36   | hyouka           | 3 - 3 | 10,337,469
37   | Chonkers         | 4 - 2 | 10,317,153
38   | X-Buster         | 4 - 2 | 10,093,217
39   | Bakery           | 3 - 3 | 10,054,561
40   | Eleusis          | 3 - 3 | 9,897,926
41   | Zeal             | 3 - 3 | 9,627,385
42   | SpLAT            | 4 - 2 | 9,224,528
43   | BlackFeathers    | 3 - 3 | 8,951,225
44   | TheBeans         | 3 - 3 | 8,889,353
45   | Nazarick         | 3 - 3 | 8,885,179
46   | SUNSET.R         | 3 - 3 | 8,719,980
47   | NeoGachastê      | 3 - 3 | 8,697,993
48   | Ex-YorHa         | 3 - 3 | 8,683,443
49   | CobrasEnPijama   | 3 - 3 | 8,666,980
50   | SINoLAVI         | 3 - 3 | 8,451,055
51   | MicTLaN          | 4 - 2 | 8,327,986
52   | Demi-Fiends      | 3 - 3 | 8,182,535
53   | Ivalice          | 4 - 2 | 8,046,695
54   | Midnight         | 4 - 2 | 8,019,392
55   | Sanctify         | 2 - 4 | 8,002,387
56   | GudaGuda         | 3 - 3 | 7,897,198
57   | Eg.g.            | 3 - 3 | 7,812,039
58   | Authors          | 3 - 3 | 7,569,257
59   | YoRHa            | 3 - 3 | 7,562,908
60   | Glace            | 3 - 3 | 7,456,388
61   | Facade           | 3 - 3 | 7,404,566
62   | Yonah            | 3 - 3 | 7,147,507
63   | Nocturne         | 3 - 3 | 7,142,408
64   | Fateful          | 4 - 2 | 7,113,456
65   | Chaldea          | 3 - 3 | 7,103,189
66   | LGOW             | 3 - 3 | 6,775,550
67   | Madness          | 3 - 3 | 6,724,688
68   | LoVirgos         | 2 - 4 | 6,689,208
69   | Angel'sTear      | 2 - 4 | 6,601,246
70   | Adagyum          | 2 - 4 | 6,560,754
71   | %=^✓÷×=][*)      | 3 - 3 | 6,361,408
72   | Miracles         | 2 - 4 | 6,357,926
73   | Decaídos         | 2 - 4 | 6,349,435
74   | Bacurau          | 2 - 4 | 6,240,599
75   | Dreamers         | 3 - 3 | 6,173,501
76   | Märchen          | 4 - 2 | 6,037,548
77   | Baneados         | 3 - 3 | 6,025,330
78   | Silencer         | 3 - 3 | 5,901,139
79   | Oblivion         | 2 - 4 | 5,443,623
80   | Chilezuela       | 2 - 4 | 5,312,758
81   | Feywilds         | 2 - 4 | 5,288,181
82   | Omniacs          | 3 - 3 | 5,205,510
83   | Mishy~☆          | 2 - 4 | 5,120,783
84   | ItWasMe,DIO!     | 3 - 3 | 5,119,819
85   | TornTale         | 3 - 3 | 4,798,490
86   | TitsAhoy         | 4 - 2 | 4,747,036
87   | DreamKoi         | 2 - 4 | 4,440,828
88   | Kukulkan         | 2 - 4 | 4,413,610
89   | Pandas           | 2 - 4 | 4,396,643
90   | Lovely           | 3 - 3 | 4,336,502
91   | WitzEnd          | 2 - 4 | 4,310,669
92   | Squard           | 2 - 4 | 4,235,262
93   | ChaosLg          | 2 - 4 | 4,202,205
94   | Reincarnation    | 2 - 4 | 3,678,456
95   | floyd            | 3 - 3 | 3,523,122
96   | MarbleBlue       | 3 - 3 | 3,330,750
97   | RosaChinensis    | 2 - 4 | 3,211,274
98   | Jellicle         | 2 - 4 | 3,142,077
99   | L4L              | 2 - 4 | 3,116,133
100  | Tato             | 2 - 4 | 3,084,425
101  | Hyrule           | 3 - 3 | 2,996,626
102  | TYBG             | 2 - 4 | 2,761,757
103  | Cheshire         | 2 - 4 | 2,620,351
104  | Royal            | 2 - 4 | 2,441,091
105  | LlewxaM          | 2 - 4 | 2,279,581
106  | Eorzea           | 2 - 4 | 2,175,598
107  | SINoKCB          | 2 - 4 | 1,731,066
108  | OverFlag         | 2 - 4 | 1,601,231
109  | PrincesDestroyer | 1 - 5 | 1,413,424
110  | Arata            | 1 - 5 | 1,203,204
111  | ۝Author۝         | 1 - 5 | 813,617
112  | SaltGang         | 0 - 6 | 107,012
