Rank | Name             | W - L | Lifeforce

1    | BunCult          | 6 - 0 | 27,297,942
2    | AI               | 5 - 1 | 25,041,990
3    | Reverie          | 4 - 2 | 22,830,641
4    | Armada           | 4 - 2 | 18,251,520
5    | POPPO            | 4 - 2 | 17,824,147
6    | Tartarus         | 5 - 1 | 17,517,132
7    | Revive           | 4 - 2 | 17,149,415
8    | KAIJU            | 5 - 1 | 16,747,408
9    | Canceled         | 4 - 2 | 15,955,715
10   | ★·.·*YoЯHa*·.·★ | 4 - 2 | 15,858,376
11   | SINoABBY         | 4 - 2 | 15,647,254
12   | TheRats          | 4 - 2 | 15,612,731
13   | Hopeless         | 5 - 1 | 15,136,724
14   | Sentōki          | 3 - 3 | 14,992,611
15   | Astryx           | 3 - 3 | 14,979,461
16   | Belial           | 4 - 2 | 14,673,412
17   | Abyss            | 3 - 3 | 14,573,825
18   | Fantasy          | 3 - 3 | 14,430,321
19   | UmaruLand        | 4 - 2 | 14,331,912
20   | RosaGigantea     | 4 - 2 | 14,285,561
21   | Tantalus         | 3 - 3 | 14,278,710
22   | Carmesí          | 3 - 3 | 13,758,185
23   | CrimsonTears     | 4 - 2 | 13,627,802
24   | Maplebar         | 3 - 3 | 12,869,881
25   | Axolotl生        | 3 - 3 | 12,744,562
26   | WildRose         | 4 - 2 | 12,688,231
27   | Royals           | 4 - 2 | 12,564,303
28   | Aether           | 3 - 3 | 12,532,179
29   | BLANKET          | 4 - 2 | 12,189,141
30   | Nameless         | 5 - 1 | 12,176,875
31   | Unseelie         | 4 - 2 | 11,915,969
32   | RoyalKnights     | 4 - 2 | 11,906,671
33   | Space            | 4 - 2 | 11,786,518
34   | Tiramisu         | 4 - 2 | 11,736,799
35   | NeonBomb         | 4 - 2 | 11,505,795
36   | Kokytus          | 4 - 2 | 11,476,151
37   | Nazarick®        | 4 - 2 | 11,443,098
38   | Aussie           | 3 - 3 | 11,439,092
39   | Genesis          | 4 - 2 | 11,138,178
40   | Replicant        | 3 - 3 | 11,041,469
41   | YokoTako         | 3 - 3 | 10,732,892
42   | ArkainaKore      | 3 - 3 | 10,595,259
43   | Materia          | 3 - 3 | 10,558,490
44   | Halcyon          | 4 - 2 | 10,512,214
45   | Upupupu          | 4 - 2 | 10,274,313
46   | Cognatus         | 4 - 2 | 10,151,282
47   | Mexicore         | 3 - 3 | 10,067,903
48   | Eternum          | 3 - 3 | 10,020,812
49   | SectaDeLammy     | 4 - 2 | 10,009,493
50   | Nekopara         | 4 - 2 | 9,953,251
51   | EchoEden         | 4 - 2 | 9,852,001
52   | Lunaris          | 3 - 3 | 9,691,322
53   | Bellum           | 3 - 3 | 9,578,775
54   | Another          | 2 - 4 | 9,562,532
55   | 7thElement       | 3 - 3 | 9,488,308
56   | Legion           | 3 - 3 | 9,411,351
57   | Frans            | 3 - 3 | 9,383,661
58   | YoRHa            | 3 - 3 | 9,311,695
59   | Tulatubbies      | 3 - 3 | 9,203,281
60   | Nazarick         | 3 - 3 | 8,716,276
61   | Thigh.Highs&GB   | 3 - 3 | 8,692,258
62   | Intoners         | 4 - 2 | 8,673,600
63   | Quetzalcóatl     | 4 - 2 | 8,649,253
64   | ISEKAI           | 3 - 3 | 8,555,014
65   | Outliers         | 3 - 3 | 8,542,572
66   | Sidonia          | 3 - 3 | 8,437,851
67   | FGOChile         | 3 - 3 | 8,434,069
68   | Shangri-La       | 3 - 3 | 8,344,057
69   | RE:CDE           | 3 - 3 | 8,303,753
70   | Papeefs          | 2 - 4 | 8,257,743
71   | DayBreak         | 3 - 3 | 8,086,592
72   | Re;Quest         | 3 - 3 | 8,010,355
73   | Wantasm          | 2 - 4 | 7,993,444
74   | Bloodlust        | 3 - 3 | 7,972,215
75   | Salt             | 3 - 3 | 7,883,629
76   | Persona          | 3 - 3 | 7,825,301
77   | Sino/Fgo         | 3 - 3 | 7,731,396
78   | NW               | 3 - 3 | 7,722,139
79   | Nekopara         | 3 - 3 | 7,689,291
80   | 『StrangelyBad』 | 4 - 2 | 7,543,515
81   | Ultimate☆Despair | 3 - 3 | 7,202,708
82   | ValeofCrab       | 3 - 3 | 7,165,204
83   | .izakaya         | 3 - 3 | 7,122,279
84   | Mirage           | 3 - 3 | 6,926,032
85   | /nopan/          | 3 - 3 | 6,907,049
86   | Forsaken         | 3 - 3 | 6,888,095
87   | Killhare         | 2 - 4 | 6,881,949
88   | SkyL-YRH         | 3 - 3 | 6,850,291
89   | ERROR404         | 3 - 3 | 6,794,674
90   | NotW             | 3 - 3 | 6,792,131
91   | Xel'Naga         | 2 - 4 | 6,530,002
92   | CoM              | 3 - 3 | 6,473,158
93   | LunarTearSociety | 3 - 3 | 6,328,077
94   | Zodiac           | 3 - 3 | 5,999,942
95   | DualXros         | 3 - 3 | 5,961,864
96   | Café             | 2 - 4 | 5,892,141
97   | Aiseiri          | 2 - 4 | 5,821,520
98   | Fabales          | 3 - 3 | 5,799,979
99   | Autores          | 3 - 3 | 5,695,581
100  | ParrahNoyaAbyss  | 4 - 2 | 5,654,008
101  | ExileAngels      | 2 - 4 | 5,653,231
102  | AnkhMorpork      | 3 - 3 | 5,650,526
103  | Weebs_Reborn!    | 2 - 4 | 5,645,486
104  | SkyPlus          | 3 - 3 | 5,619,722
105  | Skyfall          | 3 - 3 | 5,363,985
106  | CLK              | 2 - 4 | 5,271,185
107  | PureGrim         | 2 - 4 | 5,154,245
108  | LGBT             | 3 - 3 | 5,086,346
