Rank | Name             | W - L | Lifeforce

1    | 404              | 6 - 0 | 26,050,423
2    | Noxious          | 5 - 1 | 19,879,896
3    | Cohesion         | 5 - 1 | 19,659,473
4    | Secret_Garden    | 4 - 2 | 18,182,492
5    | Elysium          | 5 - 1 | 17,155,004
6    | VeXille          | 4 - 2 | 15,584,158
7    | Pariah           | 4 - 2 | 15,479,772
8    | Reunion          | 4 - 2 | 15,467,487
9    | Yozakura         | 4 - 2 | 15,092,184
10   | Test             | 4 - 2 | 14,948,063
11   | JustUsFrogsAgain | 3 - 3 | 14,648,259
12   | Stardust         | 3 - 3 | 14,205,004
13   | TTK              | 4 - 2 | 14,154,776
14   | Pompompurin      | 5 - 1 | 13,789,508
15   | Realm            | 4 - 2 | 13,757,199
16   | GrimTale         | 4 - 2 | 13,296,878
17   | Harmony          | 4 - 2 | 12,955,450
18   | Revive20SP       | 3 - 3 | 12,773,494
19   | Rapture          | 3 - 3 | 12,758,902
20   | Sin              | 4 - 2 | 12,586,097
21   | Hellions         | 4 - 2 | 12,389,764
22   | Pequod           | 4 - 2 | 12,143,981
23   | Noragami         | 4 - 2 | 12,141,349
24   | Precure          | 5 - 1 | 12,051,077
25   | Hysteria         | 3 - 3 | 12,021,320
26   | Kyobo            | 4 - 2 | 12,011,686
27   | Lucklets         | 3 - 3 | 11,537,650
28   | Hollows          | 4 - 2 | 11,347,080
29   | DayDream         | 3 - 3 | 11,224,023
30   | TARDIS           | 4 - 2 | 11,026,398
31   | Amaranth         | 4 - 2 | 10,992,333
32   | Arcanum          | 3 - 3 | 10,984,484
33   | AllStars         | 4 - 2 | 10,889,978
34   | BlackBox         | 3 - 3 | 10,832,386
35   | 765Pro           | 3 - 3 | 10,701,549
36   | Moonfall         | 3 - 3 | 10,604,701
37   | Märchen          | 3 - 3 | 10,549,018
38   | Echoes           | 4 - 2 | 10,451,654
39   | Dissonance       | 4 - 2 | 10,409,844
40   | Aether           | 3 - 3 | 10,386,730
41   | Meow             | 4 - 2 | 10,287,803
42   | Blargh!          | 4 - 2 | 10,186,988
43   | LePilier         | 3 - 3 | 10,156,686
44   | Hokuten-Knights  | 3 - 3 | 10,124,708
45   | Sylaise          | 4 - 2 | 10,084,635
46   | Gateway          | 4 - 2 | 9,975,384
47   | CULtura          | 3 - 3 | 9,226,271
48   | TheGuild         | 3 - 3 | 9,216,276
49   | Affenbande       | 3 - 3 | 9,118,178
50   | Crux             | 3 - 3 | 9,039,560
51   | Liebrary         | 3 - 3 | 8,881,056
52   | Charlemagne      | 3 - 3 | 8,760,665
53   | Twilight         | 3 - 3 | 8,709,900
54   | Yubi             | 3 - 3 | 8,708,455
55   | .Manica.         | 3 - 3 | 8,630,820
56   | YoRHa            | 4 - 2 | 8,519,262
57   | YoRHa            | 4 - 2 | 8,434,874
58   | CosmoCon         | 4 - 2 | 8,229,127
59   | DarkMoon         | 3 - 3 | 8,000,652
60   | Grimms_Requiem   | 3 - 3 | 7,958,348
61   | Library          | 4 - 2 | 7,957,843
62   | Grimoire         | 3 - 3 | 7,900,292
63   | OBDS             | 3 - 3 | 7,899,474
64   | Scriptor         | 3 - 3 | 7,898,927
65   | NoMercy          | 2 - 4 | 7,843,504
66   | Discord          | 3 - 3 | 7,827,134
67   | ALICE            | 2 - 4 | 7,771,919
68   | Ram☆Ranch        | 3 - 3 | 7,755,393
69   | AllStars         | 3 - 3 | 7,655,879
70   | Remakers         | 3 - 3 | 7,594,735
71   | Simylac          | 3 - 3 | 7,246,279
72   | Scythe           | 3 - 3 | 7,244,698
73   | Gatorland        | 3 - 3 | 7,227,091
74   | Waifus♡          | 3 - 3 | 6,798,256
75   | TeaParty         | 3 - 3 | 6,709,017
76   | Anime4Life       | 3 - 3 | 6,536,343
77   | ｕｗｕ♡ｔｏｗｎ   | 3 - 3 | 6,501,222
78   | Potatoes         | 3 - 3 | 6,476,971
79   | Astraea          | 3 - 3 | 6,473,232
80   | FreshSuh-Lammy   | 4 - 2 | 6,397,515
81   | GLUTTONY         | 3 - 3 | 6,326,495
82   | EclataxX         | 3 - 3 | 6,273,515
83   | Oblivion         | 2 - 4 | 6,258,881
84   | TheNiers         | 3 - 3 | 6,248,314
85   | 4Taro            | 3 - 3 | 6,159,612
86   | MasochistPhoenix | 3 - 3 | 6,126,010
87   | RedHood          | 2 - 4 | 6,066,260
88   | TowerOfGod       | 3 - 3 | 6,062,475
89   | Tenebris         | 2 - 4 | 5,944,203
90   | Sky              | 2 - 4 | 5,927,635
91   | Avengers         | 3 - 3 | 5,923,930
92   | Seafoam          | 3 - 3 | 5,902,682
93   | BlueRose         | 3 - 3 | 5,790,555
94   | Kukki            | 3 - 3 | 5,764,854
95   | Juicy            | 3 - 3 | 5,528,984
96   | RIDENAYA         | 3 - 3 | 5,474,244
97   | AoExp            | 3 - 3 | 5,353,803
98   | Moghei           | 3 - 3 | 5,242,096
99   | Avalon           | 3 - 3 | 5,094,064
100  | DarkTale         | 2 - 4 | 4,988,548
101  | Sleepers         | 3 - 3 | 4,794,301
102  | Intoners         | 3 - 3 | 4,769,238
103  | Fabled           | 3 - 3 | 4,651,313
104  | Samurai          | 3 - 3 | 4,641,094
105  | Belial           | 3 - 3 | 4,628,470
106  | Grinders         | 3 - 3 | 4,624,704
107  | YoRHa_LT         | 2 - 4 | 4,533,676
108  | Vermouth         | 2 - 4 | 4,501,351
109  | Bunker           | 3 - 3 | 4,492,530
110  | TheWhales        | 2 - 4 | 4,306,100
111  | DarkSong         | 2 - 4 | 4,251,434
112  | KuroNeko         | 3 - 3 | 4,208,220
113  | Primavera        | 3 - 3 | 4,099,340
114  | Ionia            | 3 - 3 | 4,046,411
115  | MapleTree        | 2 - 4 | 3,997,207
116  | Mirage           | 3 - 3 | 3,914,344
117  | Tourtel          | 2 - 4 | 3,796,221
118  | Ozelot           | 2 - 4 | 3,711,598
119  | Entropy          | 2 - 4 | 3,708,895
120  | Serenity         | 3 - 3 | 3,634,145
121  | Rouville         | 2 - 4 | 3,575,290
122  | BeepBoop         | 2 - 4 | 3,470,893
123  | Quill            | 2 - 4 | 3,461,464
124  | Rokkenjima       | 2 - 4 | 3,338,544
125  | Nemesis          | 2 - 4 | 3,194,415
126  | Pléiades         | 2 - 4 | 3,133,802
127  | Watchers         | 2 - 4 | 2,957,267
128  | Intoners         | 2 - 4 | 2,876,326
129  | GodBears         | 2 - 4 | 2,738,249
130  | Clarity          | 3 - 3 | 2,704,436
131  | Sorrow           | 2 - 4 | 2,668,766
132  | Touhou           | 2 - 4 | 2,501,208
133  | Vanukas          | 2 - 4 | 2,351,023
134  | csta             | 2 - 4 | 2,218,855
135  | YoRHa            | 2 - 4 | 2,200,788
136  | friendlywifus    | 1 - 5 | 2,150,954
137  | _La_Maldad_      | 1 - 5 | 1,947,141
