Rank | Name             | W - L | Lifeforce

1    | Peanut           | 6 - 0 | 27,553,707
2    | Codex            | 5 - 1 | 21,453,814
3    | Squids           | 5 - 1 | 20,377,686
4    | SANCTUM          | 4 - 2 | 17,868,655
5    | Oblivion         | 4 - 2 | 17,251,235
6    | Excidium         | 3 - 3 | 15,702,397
7    | Weebs            | 4 - 2 | 15,514,580
8    | Birbs            | 4 - 2 | 15,393,793
9    | Salvation™       | 4 - 2 | 15,364,669
10   | Phantasm         | 5 - 1 | 15,087,809
11   | Solis            | 3 - 3 | 14,625,356
12   | YoRha            | 4 - 2 | 14,356,451
13   | Kali             | 4 - 2 | 14,088,593
14   | Vesto            | 4 - 2 | 13,457,317
15   | Dabbers          | 5 - 1 | 13,160,973
16   | Uncharted        | 3 - 3 | 13,149,532
17   | Quit4Priconne    | 4 - 2 | 12,790,509
18   | [Blank]          | 4 - 2 | 12,784,594
19   | HupGuard         | 4 - 2 | 12,703,794
20   | 7Sins            | 3 - 3 | 12,701,162
21   | GranWing         | 4 - 2 | 12,638,709
22   | Panda            | 4 - 2 | 12,626,408
23   | KARMA            | 4 - 2 | 12,622,774
24   | BeAsG0Ds         | 4 - 2 | 12,615,543
25   | SINcerity        | 3 - 3 | 12,590,051
26   | ClammyClam       | 3 - 3 | 12,557,106
27   | NoTale.F.A       | 3 - 3 | 12,348,820
28   | Mistborn         | 4 - 2 | 11,914,942
29   | Odyssey          | 4 - 2 | 11,838,747
30   | GrimmNightmare   | 4 - 2 | 11,796,720
31   | Marigold         | 3 - 3 | 11,794,908
32   | Power            | 4 - 2 | 11,605,033
33   | La_Secte         | 4 - 2 | 11,249,303
34   | Hazelnut         | 4 - 2 | 11,086,665
35   | Paywall          | 3 - 3 | 10,959,796
36   | Blank            | 4 - 2 | 10,930,674
37   | Daijoubu         | 4 - 2 | 10,633,478
38   | TeamPetty        | 3 - 3 | 10,625,851
39   | Kyogen           | 4 - 2 | 10,568,576
40   | Bookstore        | 4 - 2 | 10,486,219
41   | Salière          | 3 - 3 | 10,096,002
42   | Asterisk         | 3 - 3 | 10,049,645
43   | Nordic           | 4 - 2 | 9,993,742
44   | Tenshura         | 4 - 2 | 9,888,337
45   | Tears            | 3 - 3 | 9,886,154
46   | EndofPariah      | 3 - 3 | 9,812,155
47   | KAR              | 4 - 2 | 9,744,943
48   | Navi             | 4 - 2 | 9,695,528
49   | TwilightBrigade  | 3 - 3 | 9,629,398
50   | HEX              | 3 - 3 | 9,608,550
51   | Phantom          | 3 - 3 | 9,292,222
52   | Lithium          | 3 - 3 | 9,220,185
53   | Daylight         | 3 - 3 | 9,111,441
54   | GRIMM            | 3 - 3 | 9,075,001
55   | Fabled           | 4 - 2 | 8,905,847
56   | España           | 4 - 2 | 8,871,765
57   | Synchronicity    | 3 - 3 | 8,862,493
58   | Monochrome       | 3 - 3 | 8,840,890
59   | Lycoris          | 3 - 3 | 8,761,950
60   | Waywards         | 3 - 3 | 8,586,585
61   | CatCafé          | 4 - 2 | 8,492,262
62   | ProjectD         | 3 - 3 | 8,421,995
63   | Einherjar        | 3 - 3 | 8,413,486
64   | Phantasm         | 3 - 3 | 8,215,618
65   | Umbra            | 4 - 2 | 8,135,685
66   | Anasnas          | 4 - 2 | 8,132,538
67   | Limbo            | 3 - 3 | 8,065,460
68   | Penumbra         | 3 - 3 | 8,061,467
