Rank | Name             | W - L | Lifeforce

1    | Lilypad          | 6 - 0 | 23,904,972
2    | Luminous         | 4 - 2 | 21,380,708
3    | Itzy             | 4 - 2 | 20,671,889
4    | M&C              | 5 - 1 | 20,227,583
5    | Chunchunmaru     | 3 - 3 | 15,207,640
6    | ㄴㄱ             | 5 - 1 | 15,165,797
7    | LunarTear        | 4 - 2 | 14,859,569
8    | Toast            | 4 - 2 | 14,566,604
9    | Abhorsen         | 3 - 3 | 14,519,411
10   | Vesperia         | 5 - 1 | 14,467,195
11   | Faustian         | 5 - 1 | 14,152,144
12   | Cirque           | 4 - 2 | 14,103,373
13   | mnemonic         | 4 - 2 | 13,678,248
14   | Story            | 3 - 3 | 13,101,941
15   | Eclipse          | 5 - 1 | 12,987,731
16   | Punny            | 5 - 1 | 12,976,849
17   | Darkness         | 4 - 2 | 12,737,822
18   | X̷I̷I̷I̷             | 3 - 3 | 12,661,347
19   | Caterus          | 4 - 2 | 12,646,112
20   | OrcinusOrca      | 3 - 3 | 12,548,774
21   | Moonlit          | 4 - 2 | 12,408,477
22   | Ikimasu          | 4 - 2 | 12,389,369
23   | GUILDoNAME       | 3 - 3 | 12,367,652
24   | Void             | 4 - 2 | 12,144,617
25   | Lammy            | 4 - 2 | 11,978,123
26   | Imperial         | 3 - 3 | 11,738,620
27   | Yharnam          | 4 - 2 | 11,102,418
28   | Oracles          | 4 - 2 | 11,035,010
29   | Ravens           | 4 - 2 | 11,003,032
30   | .·´✧Depora✧`·.  | 4 - 2 | 10,992,571
31   | Buffones         | 4 - 2 | 10,878,758
32   | ᴇᴠɪʟ☬ɢᴇɴɪᴜꜱᴇꜱ    | 2 - 4 | 10,810,786
33   | Rayearth         | 3 - 3 | 10,789,472
34   | Ex-YorHa         | 3 - 3 | 10,610,007
35   | Midnight         | 4 - 2 | 10,435,643
36   | Wisteria         | 4 - 2 | 10,403,499
37   | Bakery           | 4 - 2 | 10,151,140
38   | Cardboard_Box    | 3 - 3 | 9,931,070
39   | TheBeans         | 2 - 4 | 9,929,213
40   | Omega            | 3 - 3 | 9,866,728
41   | ☆☆LAZe☆☆       | 4 - 2 | 9,528,104
42   | SINoLAVI         | 4 - 2 | 9,520,831
43   | TheNorth         | 3 - 3 | 9,496,035
44   | 『Nєχυѕ』        | 5 - 1 | 9,430,433
45   | Astra            | 3 - 3 | 9,409,836
46   | Eleusis          | 3 - 3 | 9,355,386
47   | Glace            | 3 - 3 | 9,351,689
48   | Yonah            | 4 - 2 | 9,294,279
49   | Chonkers         | 4 - 2 | 9,283,930
50   | X-Buster         | 3 - 3 | 9,144,507
51   | Eg.g.            | 3 - 3 | 8,973,379
52   | Zeal             | 3 - 3 | 8,918,207
53   | Sanctify         | 3 - 3 | 8,618,761
54   | BlackFeathers    | 3 - 3 | 8,549,139
55   | Nocturne         | 3 - 3 | 8,367,516
56   | DaBoys           | 4 - 2 | 8,344,781
57   | Moonrise         | 3 - 3 | 8,322,022
58   | Angel'sTear      | 3 - 3 | 8,294,170
59   | Adagyum          | 4 - 2 | 8,183,736
60   | YoRHa            | 4 - 2 | 8,164,955
61   | GudaGuda         | 3 - 3 | 7,893,728
62   | hyouka           | 3 - 3 | 7,552,682
63   | Ivalice          | 3 - 3 | 7,530,277
64   | NeoGachastê      | 2 - 4 | 7,458,560
65   | SpLAT            | 3 - 3 | 7,411,527
66   | 13MAGNUS         | 2 - 4 | 7,176,495
67   | Chaldea          | 3 - 3 | 7,156,607
68   | MicTLaN          | 3 - 3 | 7,090,023
69   | Baneados         | 3 - 3 | 7,087,676
70   | Facade           | 3 - 3 | 7,047,989
71   | CobrasEnPijama   | 3 - 3 | 6,997,591
72   | TheRealChaldea   | 3 - 3 | 6,958,907
73   | Dreamers         | 3 - 3 | 6,909,817
74   | SinoPake         | 3 - 3 | 6,896,035
75   | Decaídos         | 2 - 4 | 6,870,671
76   | Bacurau          | 3 - 3 | 6,763,361
77   | Madness          | 3 - 3 | 6,750,720
78   | DreamKoi         | 4 - 2 | 6,707,194
79   | Miracles         | 3 - 3 | 6,649,742
80   | Authors          | 3 - 3 | 6,387,254
81   | Omniacs          | 3 - 3 | 6,249,065
82   | Keyblade         | 3 - 3 | 6,239,256
83   | Mishy~☆          | 3 - 3 | 6,144,727
84   | Oblivion         | 3 - 3 | 5,984,571
85   | ItWasMe,DIO!     | 2 - 4 | 5,956,499
86   | NRain1.1         | 3 - 3 | 5,918,180
87   | Iserlohn         | 2 - 4 | 5,816,285
88   | StKaguyaChurch   | 2 - 4 | 5,779,401
89   | WitzEnd          | 2 - 4 | 5,763,788
90   | Feywilds         | 3 - 3 | 5,639,219
91   | Märchen          | 3 - 3 | 5,493,355
92   | NoirRose         | 3 - 3 | 5,327,814
93   | SiNoBaN          | 3 - 3 | 5,279,955
94   | Fateful          | 3 - 3 | 5,124,078
95   | Dorito           | 2 - 4 | 5,078,779
96   | VanitasVanitatum | 2 - 4 | 4,926,849
97   | FirstTry         | 2 - 4 | 4,877,637
98   | YoRHa            | 3 - 3 | 4,873,852
99   | Pascal           | 2 - 4 | 4,793,924
100  | Gestalt          | 3 - 3 | 4,632,305
101  | SINoCOOL         | 3 - 3 | 4,463,134
102  | Bonekas          | 2 - 4 | 4,352,013
103  | Cosmika          | 2 - 4 | 4,251,029
104  | Templars         | 2 - 4 | 4,168,463
105  | Sanhla           | 2 - 4 | 4,162,974
106  | Horizons         | 2 - 4 | 4,146,504
107  | Hallows          | 2 - 4 | 4,012,058
108  | Lammytania       | 2 - 4 | 3,997,762
109  | GymBoss          | 2 - 4 | 3,873,546
110  | Pospmpis         | 2 - 4 | 3,720,521
111  | 2B9S             | 3 - 3 | 3,550,237
112  | {empty}          | 2 - 4 | 3,174,415
113  | Wisteria         | 2 - 4 | 3,108,414
114  | Yggdrasil        | 1 - 5 | 3,046,295
115  | Tartarus         | 2 - 4 | 2,990,224
116  | Malice           | 1 - 5 | 2,905,327
117  | Alicization      | 2 - 4 | 2,850,633
118  | Caprisun         | 2 - 4 | 2,668,223
119  | Watchers         | 1 - 5 | 2,300,037
120  | SlappyClan       | 2 - 4 | 2,078,187
121  | CasualAF         | 2 - 4 | 2,061,918
122  | Vibes            | 1 - 5 | 1,747,326
123  | Paragon          | 1 - 5 | 1,677,881
124  | Strikers         | 1 - 5 | 1,108,054
125  | desertores       | 1 - 5 | 829,310
126  | Keurig           | 0 - 6 | 176
