Rank | Name            | W - L | Lifeforce

1    | 오리너구리           | 5 - 0 | 20,849,291
2    | Boss            | 4 - 1 | 20,821,674
3    | 벚꽃              | 4 - 1 | 16,993,159
4    | Enigami         | 3 - 2 | 13,187,429
5    | Roanapur        | 4 - 1 | 13,052,575
6    | 뉴비              | 3 - 2 | 12,528,425
7    | 한국산흑우단          | 3 - 2 | 12,514,007
8    | Genocide        | 3 - 2 | 12,487,198
9    | 히사시부리           | 3 - 2 | 11,809,792
10   | 잔향              | 3 - 2 | 11,645,341
11   | HoloLive        | 4 - 1 | 11,086,950
12   | Tempest         | 4 - 1 | 10,953,291
13   | 카레맛집            | 3 - 2 | 10,928,077
14   | 영원              | 3 - 2 | 10,883,018
15   | Happy           | 3 - 2 | 10,742,052
16   | Guardians       | 3 - 2 | 10,585,285
17   | 신오앨리스           | 4 - 1 | 10,282,043
18   | MoguMogu        | 4 - 1 | 10,104,764
19   | SunnyDay~       | 3 - 2 | 9,689,843
20   | MilkGod         | 3 - 2 | 9,524,560
21   | 냥냥킥             | 3 - 2 | 9,407,806
22   | pepega          | 3 - 2 | 8,967,716
23   | Nutella         | 3 - 2 | 8,932,363
24   | RhodesID        | 3 - 2 | 8,870,863
25   | KampungRealtra  | 3 - 2 | 8,733,617
26   | Freedom         | 3 - 2 | 8,723,001
27   | FABLES          | 3 - 2 | 8,462,611
28   | Nightfall       | 3 - 2 | 8,449,375
29   | SinoSG          | 3 - 2 | 8,337,127
30   | YssSG           | 3 - 2 | 8,215,947
31   | Drakengard      | 3 - 2 | 8,180,100
32   | NoNamed         | 3 - 2 | 8,079,496
33   | Exile           | 3 - 2 | 7,951,321
34   | 연린              | 2 - 3 | 7,800,203
35   | หิวข้าว         | 3 - 2 | 7,676,275
36   | Carriya         | 3 - 2 | 7,630,194
37   | OwO             | 2 - 3 | 7,563,660
38   | 『MiSFiTS』       | 3 - 2 | 7,454,445
39   | •ForeverHome•   | 2 - 3 | 7,244,625
40   | Rihla           | 3 - 2 | 7,165,276
41   | 모히또             | 3 - 2 | 7,139,108
42   | TamagoClub      | 3 - 2 | 6,785,186
43   | 검은고양이           | 2 - 3 | 6,647,846
44   | KoNoKEKsuAL     | 4 - 1 | 6,505,938
45   | Applepie        | 3 - 2 | 6,373,028
46   | Mantap          | 3 - 2 | 6,307,544
47   | 아스트리아           | 2 - 3 | 6,217,091
48   | Longinus        | 3 - 2 | 6,146,636
49   | Arcana          | 3 - 2 | 6,078,445
50   | CultOfLammy     | 3 - 2 | 6,065,026
51   | 종합병원            | 2 - 3 | 6,007,225
52   | 펭귄로지스틱스         | 2 - 3 | 5,978,298
53   | AYAYA           | 3 - 2 | 5,924,744
54   | Jokers          | 2 - 3 | 5,887,563
55   | Archana         | 2 - 3 | 5,826,236
56   | UncleZack's     | 3 - 2 | 5,776,024
57   | Foxhound        | 3 - 2 | 5,539,670
58   | Arcadia         | 2 - 3 | 5,348,109
59   | Rubies          | 2 - 3 | 5,346,270
60   | Flandore        | 2 - 3 | 5,342,999
61   | 은밀한침대밑          | 3 - 2 | 5,162,729
62   | CatsEmpire      | 3 - 2 | 5,054,220
63   | Exyclid         | 2 - 3 | 5,019,017
64   | Svadesha        | 3 - 2 | 4,979,696
65   | Elfrinia        | 2 - 3 | 4,876,479
66   | Camelot         | 3 - 2 | 4,665,616
67   | Fanelia         | 2 - 3 | 4,569,530
68   | 시붕유치원           | 2 - 3 | 4,566,160
69   | BIBLIOTHEQUE    | 3 - 2 | 4,443,725
70   | Publisher       | 2 - 3 | 4,351,539
71   | Halucyon        | 2 - 3 | 4,328,314
72   | NieR            | 2 - 3 | 4,146,533
73   | MassDestruction | 2 - 3 | 4,095,966
74   | Bananas!        | 2 - 3 | 4,064,704
75   | Saikyou~        | 2 - 3 | 4,017,503
76   | Elysian         | 2 - 3 | 3,963,296
77   | 루인바르            | 2 - 3 | 3,893,690
78   | Trident         | 2 - 3 | 3,859,325
79   | 火の味             | 3 - 2 | 3,442,394
80   | 천하태평            | 3 - 2 | 3,416,100
81   | 쟤보단내가낫지         | 1 - 4 | 3,331,451
82   | Anon            | 2 - 3 | 3,296,753
83   | Exodus          | 2 - 3 | 3,261,607
84   | Kutubuku        | 2 - 3 | 3,183,247
85   | Hypnotic        | 2 - 3 | 3,180,818
86   | METANoIA        | 2 - 3 | 2,975,965
87   | ^^)人(^^         | 2 - 3 | 2,911,596
88   | 셀레스티얼           | 2 - 3 | 2,869,822
89   | indémnis        | 1 - 4 | 2,663,973
90   | SlowLife        | 2 - 3 | 2,528,795
91   | Try             | 1 - 4 | 2,524,066
92   | NoTales         | 2 - 3 | 2,485,028
93   | 탐욕의장            | 2 - 3 | 2,370,821
94   | 폭발은예술이다         | 2 - 3 | 2,369,305
95   | SINoPuppets.Arc | 2 - 3 | 2,333,142
96   | DosaElis        | 2 - 3 | 2,131,769
97   | Seiyuu          | 1 - 4 | 2,092,147
98   | 컴파스             | 1 - 4 | 1,787,837
99   | Nacht           | 1 - 4 | 1,777,636
100  | Kugane          | 1 - 4 | 1,283,274
101  | Liddell         | 1 - 4 | 1,212,264
102  | Agartha         | 1 - 4 | 1,045,244
103  | Casuals         | 0 - 5 | 664,949
104  | 천상지유            | 0 - 5 | 110,688
