Rank | Name             | W - L | Lifeforce
132  | Midgard          | 0 - 1 | 219,372
133  | SoS              | 0 - 1 | 205,667
134  | TheAvatars       | 0 - 1 | 199,076
135  | Druffis          | 0 - 1 | 196,509
136  | TeaParty         | 0 - 1 | 189,382
137  | Hades            | 0 - 1 | 187,670
138  | DragVanish       | 0 - 1 | 183,375
139  | Réplicas         | 0 - 1 | 180,480
140  | Kukki            | 0 - 1 | 170,948
141  | KAR              | 0 - 1 | 161,847
142  | NoTale.F.A       | 0 - 1 | 161,662
143  | Spark            | 0 - 1 | 153,561
144  | Nimbus           | 0 - 1 | 151,926
145  | Fallens          | 0 - 1 | 147,952
146  | Vestalis         | 0 - 1 | 127,435
147  | Valhöll          | 0 - 1 | 101,393
148  | Symphogear!!     | 0 - 1 | 97,930
149  | Mylar            | 0 - 1 | 90,674
150  | BlackAtlas       | 0 - 1 | 87,586
151  | NieR             | 0 - 1 | 79,108
152  | SoulWar          | 0 - 1 | 76,291
153  | Fabled           | 0 - 1 | 58,509
154  | Skario           | 0 - 1 | 58,332
155  | Mangifera†Indica | 0 - 1 | 48,824
156  | Valkyries        | 0 - 1 | 42,521
157  | Adam             | 0 - 1 | 41,340
158  | Elite|Monkey     | 0 - 1 | 25,587
159  | K-on             | 0 - 1 | 18,145
160  | Ye               | 0 - 1 | 7,216
161  | DragNir          | 0 - 1 | 6,578
162  | SINrne           | 0 - 1 | 53
163  | Atrium           | 0 - 1 | 0
163  | Ventura          | 0 - 1 | 0
