Rank | Name      | W - L | Lifeforce

1    | メロンパン     | 1 - 0 | 4,507,850
2    | WeebLand  | 1 - 0 | 3,222,241
3    | Phantoms  | 1 - 0 | 3,211,675
4    | FutaGirls | 1 - 0 | 2,206,908
5    | YoRHa     | 1 - 0 | 2,042,323
6    | FInALICE  | 1 - 0 | 1,893,674
7    | Fallen    | 1 - 0 | 1,701,762
8    | Mensis    | 1 - 0 | 1,442,232
9    | Penguin   | 1 - 0 | 1,413,026
10   | Pulveris  | 1 - 0 | 1,217,873
11   | Tiamat    | 1 - 0 | 1,096,797
12   | ☆707☆     | 1 - 0 | 947,897
13   | tutelage  | 0 - 1 | 688,384
14   | KooNest   | 0 - 1 | 648,137
15   | History   | 0 - 1 | 500,151
16   | Chronos   | 0 - 1 | 466,120
17   | Eros      | 0 - 1 | 361,518
18   | Ambition  | 0 - 1 | 223,964
19   | FemBoys   | 0 - 1 | 166,151
20   | Adamas    | 0 - 1 | 139,670
21   | F2P_Mini  | 0 - 1 | 98,444
22   | DaiDark   | 0 - 1 | 64,788
23   | SINOPOTO  | 0 - 1 | 52,928
24   | Slackers  | 0 - 1 | 2,558
25   | FuryCats  | 0 - 1 | 508
