Rank | Name            | W - L | Lifeforce

1    | 뉴비              | 1 - 0 | 4,428,757
2    | 히사시부리           | 1 - 0 | 3,911,415
3    | 벚꽃              | 1 - 0 | 3,728,504
4    | Genocide        | 1 - 0 | 3,562,533
5    | 오리너구리           | 1 - 0 | 3,281,754
6    | MoguMogu        | 1 - 0 | 3,103,680
7    | 영원              | 1 - 0 | 3,014,657
8    | 카레맛집            | 1 - 0 | 3,011,905
9    | NoNamed         | 1 - 0 | 2,862,752
10   | RhodesID        | 1 - 0 | 2,853,278
11   | FABLES          | 1 - 0 | 2,850,858
12   | Guardians       | 1 - 0 | 2,823,196
13   | Boss            | 0 - 1 | 2,764,329
14   | Drakengard      | 1 - 0 | 2,684,324
15   | Tempest         | 1 - 0 | 2,662,267
16   | SunnyDay~       | 1 - 0 | 2,638,859
17   | HoloLive        | 1 - 0 | 2,577,264
18   | Rihla           | 1 - 0 | 2,483,661
19   | Exile           | 1 - 0 | 2,424,665
20   | SinoSG          | 1 - 0 | 2,398,583
21   | Mantap          | 1 - 0 | 2,300,708
22   | YssSG           | 1 - 0 | 2,292,862
23   | 『MiSFiTS』       | 1 - 0 | 2,248,452
24   | pepega          | 1 - 0 | 2,242,986
25   | 모히또             | 1 - 0 | 2,208,085
26   | Jokers          | 1 - 0 | 2,192,081
27   | Exyclid         | 1 - 0 | 2,118,703
28   | KampungRealtra  | 1 - 0 | 2,082,047
29   | หิวข้าว         | 1 - 0 | 2,071,036
30   | Archana         | 1 - 0 | 2,063,332
31   | 검은고양이           | 1 - 0 | 2,054,088
32   | Nightfall       | 1 - 0 | 2,050,217
33   | Publisher       | 1 - 0 | 1,956,167
34   | 쟤보단내가낫지         | 1 - 0 | 1,911,927
35   | UncleZack's     | 1 - 0 | 1,901,459
36   | Halucyon        | 1 - 0 | 1,881,060
37   | 은밀한침대밑          | 1 - 0 | 1,744,320
38   | Fanelia         | 1 - 0 | 1,738,696
39   | Happy           | 0 - 1 | 1,732,733
40   | Exodus          | 1 - 0 | 1,718,943
41   | CatsEmpire      | 1 - 0 | 1,715,888
42   | Kutubuku        | 1 - 0 | 1,526,494
43   | Hypnotic        | 1 - 0 | 1,518,193
44   | Seiyuu          | 1 - 0 | 1,497,644
45   | Trident         | 1 - 0 | 1,476,562
46   | AYAYA           | 1 - 0 | 1,453,503
47   | METANoIA        | 1 - 0 | 1,388,785
48   | ^^)人(^^         | 1 - 0 | 1,334,706
49   | Nutella         | 0 - 1 | 1,315,514
50   | Camelot         | 1 - 0 | 1,296,135
51   | BIBLIOTHEQUE    | 1 - 0 | 1,290,444
52   | NoTales         | 1 - 0 | 1,256,259
53   | 잔향              | 0 - 1 | 1,220,788
54   | 셀레스티얼           | 1 - 0 | 1,184,201
55   | Enigami         | 0 - 1 | 1,168,270
56   | OwO             | 0 - 1 | 1,139,069
57   | SINoPuppets.Arc | 1 - 0 | 1,116,903
58   | Liddell         | 1 - 0 | 993,498
59   | 종합병원            | 0 - 1 | 975,188
60   | Elfrinia        | 0 - 1 | 962,062
61   | Flandore        | 0 - 1 | 958,254
62   | Rubies          | 0 - 1 | 942,662
63   | 냥냥킥             | 0 - 1 | 905,556
64   | •ForeverHome•   | 0 - 1 | 896,195
65   | Freedom         | 0 - 1 | 885,054
66   | 한국산흑우단          | 0 - 1 | 851,157
67   | Arcana          | 0 - 1 | 743,465
68   | MilkGod         | 0 - 1 | 699,963
69   | NieR            | 0 - 1 | 663,211
70   | Try             | 0 - 1 | 648,955
71   | 펭귄로지스틱스         | 0 - 1 | 645,241
72   | Arcadia         | 0 - 1 | 618,978
73   | 아스트리아           | 0 - 1 | 597,429
74   | 연린              | 0 - 1 | 556,033
75   | Elysian         | 0 - 1 | 533,030
76   | TamagoClub      | 0 - 1 | 486,042
77   | Roanapur        | 0 - 1 | 431,324
78   | Saikyou~        | 0 - 1 | 407,166
79   | indémnis        | 0 - 1 | 342,293
80   | 시붕유치원           | 0 - 1 | 269,607
81   | Anon            | 0 - 1 | 259,762
82   | Carriya         | 0 - 1 | 219,261
83   | Bananas!        | 0 - 1 | 215,306
84   | 루인바르            | 0 - 1 | 199,578
85   | CultOfLammy     | 0 - 1 | 187,256
86   | Casuals         | 0 - 1 | 178,060
87   | 천하태평            | 0 - 1 | 162,729
88   | Applepie        | 0 - 1 | 160,321
89   | MassDestruction | 0 - 1 | 147,526
90   | Foxhound        | 0 - 1 | 124,301
91   | 탐욕의장            | 0 - 1 | 105,885
92   | 신오앨리스           | 0 - 1 | 85,433
93   | 컴파스             | 0 - 1 | 70,619
94   | KoNoKEKsuAL     | 0 - 1 | 67,423
95   | Svadesha        | 0 - 1 | 48,980
96   | 천상지유            | 0 - 1 | 36,886
97   | 폭발은예술이다         | 0 - 1 | 33,333
98   | Agartha         | 0 - 1 | 29,627
99   | Kugane          | 0 - 1 | 21,853
100  | DosaElis        | 0 - 1 | 20,712
101  | Longinus        | 0 - 1 | 17,732
102  | SlowLife        | 0 - 1 | 7,794
103  | Nacht           | 0 - 1 | 7,634
104  | 火の味             | 0 - 1 | 405
