Rank | Name             | W - L | Lifeforce

1    | LaffyRaffy       | 6 - 0 | 25,827,614
2    | AI               | 5 - 1 | 22,482,668
3    | Reverie          | 4 - 2 | 22,170,086
4    | RawHotDog        | 5 - 1 | 20,157,283
5    | Caribe           | 4 - 2 | 19,778,178
6    | ♥♡YoЯHa♡♥        | 4 - 2 | 18,760,628
7    | Armada           | 3 - 3 | 18,042,049
8    | SINoABBY         | 4 - 2 | 17,034,085
9    | Revive           | 4 - 2 | 16,979,214
10   | TheNut           | 4 - 2 | 16,945,091
11   | UmaruLand        | 4 - 2 | 16,681,785
12   | KAIJU            | 4 - 2 | 15,990,383
13   | Belial           | 4 - 2 | 15,886,333
14   | Fantasy          | 4 - 2 | 15,153,564
15   | Tartarus         | 4 - 2 | 14,997,654
16   | Astryx           | 3 - 3 | 14,797,785
17   | Materia          | 4 - 2 | 14,586,418
18   | RosaGigantea     | 4 - 2 | 14,176,223
19   | Abyss            | 3 - 3 | 13,705,998
20   | Aether           | 4 - 2 | 13,669,187
21   | Hopeless         | 4 - 2 | 13,496,664
22   | WildRose         | 4 - 2 | 13,476,107
23   | Lunar日食          | 4 - 2 | 13,230,733
24   | Tiramisu         | 3 - 3 | 13,178,611
25   | Mexicore         | 4 - 2 | 12,962,166
26   | ArkainaKore      | 3 - 3 | 12,889,528
27   | Nameless         | 4 - 2 | 12,724,526
28   | Upupupu          | 3 - 3 | 12,661,901
29   | CrimsonTears     | 3 - 3 | 12,601,852
30   | Another          | 3 - 3 | 12,442,257
31   | Axolotl生         | 4 - 2 | 11,903,371
32   | RoyalKnights     | 5 - 1 | 11,819,506
33   | Unseelie         | 4 - 2 | 11,758,069
34   | Space            | 4 - 2 | 11,706,595
35   | Cognatus         | 3 - 3 | 11,476,164
36   | Eternum          | 3 - 3 | 11,446,476
37   | BLANKET          | 3 - 3 | 11,332,119
38   | SectaDeLammy     | 4 - 2 | 11,168,909
39   | Frans            | 3 - 3 | 11,034,903
40   | Genesis          | 4 - 2 | 10,936,606
41   | NeonBomb         | 4 - 2 | 10,870,224
42   | Halcyon          | 4 - 2 | 10,858,610
43   | Killhare         | 4 - 2 | 10,569,297
44   | Aussie           | 3 - 3 | 10,459,921
45   | Replicant        | 4 - 2 | 10,272,635
46   | YokoTako         | 2 - 4 | 10,184,541
47   | Kokytus          | 3 - 3 | 10,157,350
48   | Thigh.Highs&GB   | 4 - 2 | 9,986,534
49   | 7thElement       | 3 - 3 | 9,943,581
50   | Unlucky          | 4 - 2 | 9,847,483
51   | FGOChile         | 3 - 3 | 9,762,368
52   | Bellum           | 3 - 3 | 9,709,540
53   | Legion           | 3 - 3 | 9,694,864
54   | Royals           | 3 - 3 | 9,601,591
55   | Lunaris          | 3 - 3 | 9,507,859
56   | ISEKAI           | 3 - 3 | 9,333,818
57   | YoRHa            | 4 - 2 | 9,209,023
58   | NazarickⓈ        | 2 - 4 | 9,185,223
59   | Forsaken         | 4 - 2 | 9,180,345
60   | SinoPake         | 4 - 2 | 9,151,599
61   | Outliers         | 3 - 3 | 8,847,059
62   | •FurrosTulOnes•  | 2 - 4 | 8,830,573
63   | Shangri-La       | 3 - 3 | 8,811,276
64   | RE:CDE           | 2 - 4 | 8,777,781
65   | Sidonia          | 3 - 3 | 8,763,039
66   | NW               | 3 - 3 | 8,726,593
67   | Alter            | 4 - 2 | 8,705,566
68   | Salt             | 3 - 3 | 8,705,487
69   | 『StrangelyBad』   | 4 - 2 | 8,569,191
70   | Café             | 3 - 3 | 8,492,010
71   | Persona          | 3 - 3 | 8,355,352
72   | Re;Quest         | 3 - 3 | 8,172,441
73   | 『Nєχυѕ』          | 3 - 3 | 8,077,509
74   | Yamete_Kudasai!! | 3 - 3 | 8,042,467
75   | AnkhMorpork      | 3 - 3 | 8,019,836
76   | Wantasm          | 3 - 3 | 8,016,013
77   | /nopan/          | 4 - 2 | 7,991,287
78   | Lemonade         | 4 - 2 | 7,912,281
79   | Intoners         | 3 - 3 | 7,910,511
80   | Xel'Naga         | 3 - 3 | 7,862,730
81   | Quetzalcóatl     | 3 - 3 | 7,736,595
82   | DayBreak         | 3 - 3 | 7,613,396
