Rank | Name             | W - L | Lifeforce

1    | 2LS              | 5 - 0 | 18,191,894
2    | Rebel            | 4 - 1 | 17,065,088
3    | Scripted         | 3 - 2 | 14,572,466
4    | Forget2Play      | 3 - 2 | 14,184,555
5    | ☆Soulmate☆       | 4 - 1 | 14,033,774
6    | mEmE             | 3 - 2 | 12,564,537
7    | 의미               | 4 - 1 | 11,657,359
8    | Vroom            | 3 - 2 | 11,569,705
9    | Memento          | 3 - 2 | 11,059,340
10   | 디시인사이드           | 3 - 2 | 11,054,501
11   | ꧁SnowSanctuary꧂  | 3 - 2 | 10,895,616
12   | 코코는병아리           | 4 - 1 | 10,024,139
13   | FuwaFuwa         | 3 - 2 | 9,773,494
14   | Defiance(｡･ω･｡)ﾉ | 2 - 3 | 9,710,441
15   | Hololive         | 3 - 2 | 9,690,841
16   | Pantheon         | 2 - 3 | 9,690,009
17   | Gullible         | 4 - 1 | 9,679,352
18   | Ohanami          | 3 - 2 | 9,371,303
19   | Lethargy         | 3 - 2 | 9,322,286
20   | 【﻿ＢＬＩＮＫ】         | 2 - 3 | 9,219,128
21   | Lunatear         | 4 - 1 | 9,201,681
22   | Malice           | 3 - 2 | 8,937,430
23   | Niflheim         | 3 - 2 | 8,703,820
24   | Pendraig         | 3 - 2 | 8,434,084
25   | Insomnia         | 3 - 2 | 8,379,606
26   | BulbGang         | 4 - 1 | 7,962,097
27   | CBTXNTR          | 3 - 2 | 7,532,711
28   | ChurchOfTamagod  | 3 - 2 | 7,518,686
29   | 4Fun             | 3 - 2 | 7,187,453
30   | Peerless         | 2 - 3 | 7,180,369
31   | Cthulhu          | 2 - 3 | 7,092,004
32   | Anxiety          | 3 - 2 | 7,004,267
33   | 은하수의밤            | 3 - 2 | 6,724,639
34   | AVARITIA         | 3 - 2 | 6,704,466
35   | Alchemia         | 3 - 2 | 6,654,537
36   |                  | 3 - 2 | 6,552,785
37   | SINoMAKE         | 2 - 3 | 6,288,693
38   | NOAH             | 2 - 3 | 6,178,739
39   | Revenants        | 3 - 2 | 6,136,565
40   | 휴식의정원            | 2 - 3 | 6,118,007
41   | Phantasmagoria   | 3 - 2 | 5,807,562
42   | Avernus          | 3 - 2 | 5,707,866
43   | Ezerien          | 2 - 3 | 5,478,869
44   | Moonlit          | 2 - 3 | 5,463,149
45   | HYDRA            | 3 - 2 | 5,388,331
46   | 쌀롱               | 3 - 2 | 5,167,109
47   | 69Degrees        | 3 - 2 | 5,115,196
48   | Argonaut         | 2 - 3 | 4,989,441
49   | 시린이날             | 3 - 2 | 4,959,902
50   | Neo-Axiom        | 2 - 3 | 4,597,273
51   | AXIS             | 2 - 3 | 4,549,318
52   | Rheita           | 2 - 3 | 4,489,128
53   | Automata         | 2 - 3 | 4,487,840
54   | PPNation         | 3 - 2 | 4,432,216
55   | GvZ              | 2 - 3 | 4,148,978
56   | Passione         | 2 - 3 | 4,142,030
57   | Reverie          | 2 - 3 | 4,104,933
58   | Nameless         | 2 - 3 | 3,979,542
59   | NobleGuard       | 2 - 3 | 3,977,525
60   | Kaminari         | 2 - 3 | 3,872,360
61   | Dust             | 2 - 3 | 3,870,771
62   | Sınners          | 1 - 4 | 3,831,278
63   | Paranoia         | 2 - 3 | 3,443,413
64   | Arcadia          | 1 - 4 | 3,267,295
65   | Reformed         | 2 - 3 | 3,127,826
66   | 블랙말랑카우           | 2 - 3 | 3,052,214
67   | Toast            | 2 - 3 | 2,735,193
68   | EvilDoer         | 2 - 3 | 2,633,193
69   | 얼음꽃              | 2 - 3 | 2,589,059
70   | 커피앤도넛            | 2 - 3 | 2,319,686
71   | Valhalla         | 1 - 4 | 2,066,580
72   | Luminalis        | 1 - 4 | 1,989,504
73   | KupoClub         | 2 - 3 | 1,739,922
74   | CAHP             | 1 - 4 | 1,502,509
75   | 밥심               | 1 - 4 | 1,192,073
76   | 잔혹동화출판사          | 1 - 4 | 977,242
77   | TBD              | 1 - 4 | 549,930
78   | 데덴네              | 0 - 5 | 0
