Rank | Name             | W - L | Lifeforce

1    | GabiruCult       | 5 - 0 | 23,126,165
2    | Mocha            | 4 - 1 | 18,382,369
3    | =)               | 3 - 2 | 17,240,688
4    | M&C              | 3 - 2 | 15,024,931
5    | Loaf             | 3 - 2 | 14,905,429
6    | Abhorsen         | 4 - 1 | 14,100,586
7    | Toast            | 4 - 1 | 14,067,543
8    | mnemonic         | 3 - 2 | 13,221,111
9    | =(               | 3 - 2 | 13,021,948
10   | WeLoveUAlice     | 4 - 1 | 12,877,892
11   | Gods             | 3 - 2 | 12,635,661
12   | Darkness         | 4 - 1 | 12,577,334
13   | Punny            | 4 - 1 | 12,207,383
14   | Malice           | 3 - 2 | 12,068,648
15   | ㄴㄱ               | 3 - 2 | 11,846,932
16   | UDidntFocusAzra  | 3 - 2 | 11,719,417
17   | X̷I̷I̷I̷         | 4 - 1 | 11,602,134
18   | Eclipse          | 3 - 2 | 11,503,355
19   | Void             | 3 - 2 | 10,706,687
20   | Ikimasu          | 3 - 2 | 10,614,867
21   | Faustian         | 3 - 2 | 10,586,398
22   | Rayearth         | 4 - 1 | 10,574,578
23   | ᴇᴠɪʟ☬ɢᴇɴɪᴜꜱᴇꜱ    | 3 - 2 | 10,450,361
24   | Imperial         | 3 - 2 | 10,368,115
25   | .·´✧Depora✧`·.   | 3 - 2 | 10,063,695
26   | TheNorth         | 3 - 2 | 9,864,986
27   | Vesperia         | 3 - 2 | 9,821,522
28   | Wisteria         | 3 - 2 | 9,816,163
29   | Yharnam          | 3 - 2 | 9,113,525
30   | hyouka           | 3 - 2 | 8,970,590
31   | Caterus          | 3 - 2 | 8,792,074
32   | TheBeans         | 3 - 2 | 8,790,663
33   | Zeal             | 3 - 2 | 8,616,083
34   | Oracles          | 3 - 2 | 8,542,017
35   | ☆☆LAZe☆☆         | 3 - 2 | 8,465,719
36   | Nazarick         | 3 - 2 | 8,410,979
37   | Buffones         | 3 - 2 | 8,196,812
38   | SUNSET.R         | 3 - 2 | 8,160,831
39   | BlackFeathers    | 3 - 2 | 8,100,562
40   | Chonkers         | 3 - 2 | 8,046,030
41   | Ex-YorHa         | 3 - 2 | 7,982,560
42   | Omega            | 2 - 3 | 7,894,611
43   | Moonrise         | 2 - 3 | 7,680,809
44   | Eg.g.            | 3 - 2 | 7,513,766
45   | SINoLAVI         | 3 - 2 | 7,409,925
46   | Bakery           | 2 - 3 | 7,308,207
47   | Glace            | 3 - 2 | 7,284,591
48   | X-Buster         | 3 - 2 | 7,272,549
49   | Eleusis          | 2 - 3 | 7,162,641
50   | Chaldea          | 3 - 2 | 6,996,914
51   | SpLAT            | 3 - 2 | 6,753,046
52   | Nocturne         | 3 - 2 | 6,684,189
53   | Facade           | 3 - 2 | 6,600,965
54   | MicTLaN          | 3 - 2 | 6,487,036
55   | Sanctify         | 2 - 3 | 6,342,986
56   | NeoGachastê      | 2 - 3 | 6,332,913
57   | Demi-Fiends      | 2 - 3 | 6,321,364
58   | Yonah            | 3 - 2 | 6,222,601
59   | CobrasEnPijama   | 2 - 3 | 6,186,953
60   | Adagyum          | 2 - 3 | 6,133,957
61   | Miracles         | 2 - 3 | 6,085,562
62   | Midnight         | 3 - 2 | 6,083,683
63   | LoVirgos         | 2 - 3 | 5,935,932
64   | Fateful          | 3 - 2 | 5,864,302
65   | Ivalice          | 3 - 2 | 5,825,799
66   | Baneados         | 3 - 2 | 5,812,782
67   | YoRHa            | 2 - 3 | 5,623,511
68   | Decaídos         | 2 - 3 | 5,532,982
69   | Bacurau          | 2 - 3 | 5,421,473
70   | GudaGuda         | 2 - 3 | 5,411,805
71   | Oblivion         | 2 - 3 | 5,333,284
72   | Authors          | 2 - 3 | 5,229,206
73   | LGOW             | 2 - 3 | 5,143,250
74   | Chilezuela       | 2 - 3 | 5,132,550
75   | Feywilds         | 2 - 3 | 4,984,377
76   | Madness          | 2 - 3 | 4,971,209
77   | Angel'sTear      | 1 - 4 | 4,808,934
78   | Mishy~☆          | 2 - 3 | 4,582,059
79   | TornTale         | 3 - 2 | 4,490,711
80   | Märchen          | 3 - 2 | 4,460,676
81   | Pandas           | 2 - 3 | 4,302,706
82   | Dreamers         | 2 - 3 | 4,250,976
83   | %=^✓÷×=][*)      | 2 - 3 | 4,155,775
84   | Squard           | 2 - 3 | 3,930,516
85   | Omniacs          | 2 - 3 | 3,738,880
86   | DreamKoi         | 2 - 3 | 3,676,937
87   | Reincarnation    | 2 - 3 | 3,567,635
88   | TacoWea          | 2 - 3 | 3,554,743
89   | ItWasMe,DIO!     | 2 - 3 | 3,533,188
90   | ChaosLg          | 2 - 3 | 3,527,353
91   | TitsAhoy         | 3 - 2 | 3,516,559
92   | floyd            | 3 - 2 | 3,437,359
93   | L4L              | 2 - 3 | 3,054,087
94   | Lovely           | 2 - 3 | 2,985,475
95   | WitzEnd          | 1 - 4 | 2,931,602
96   | Jellicle         | 2 - 3 | 2,914,188
97   | Kukulkan         | 1 - 4 | 2,839,413
98   | Royal            | 2 - 3 | 2,423,118
99   | MarbleBlue       | 2 - 3 | 2,420,396
100  | TYBG             | 2 - 3 | 2,411,403
101  | LlewxaM          | 2 - 3 | 2,217,821
102  | Eorzea           | 2 - 3 | 2,140,615
103  | Hyrule           | 2 - 3 | 1,979,323
104  | RosaChinensis    | 1 - 4 | 1,947,569
105  | Tato             | 1 - 4 | 1,865,788
106  | PrincesDestroyer | 1 - 4 | 1,396,840
107  | Cheshire         | 1 - 4 | 1,315,896
108  | Arata            | 1 - 4 | 1,146,405
109  | SINoKCB          | 1 - 4 | 922,399
110  | ۝Author۝         | 1 - 4 | 798,342
111  | OverFlag         | 1 - 4 | 761,498
112  | SaltGang         | 0 - 5 | 88,074
