Rank | Name             | W - L | Lifeforce

1    | LaffyRaffy       | 3 - 0 | 12,289,475
2    | RawHotDog        | 3 - 0 | 11,136,277
3    | Reverie          | 2 - 1 | 11,035,916
4    | Caribe           | 2 - 1 | 10,449,496
5    | Tartarus         | 3 - 0 | 9,855,882
6    | Fantasy          | 3 - 0 | 9,723,047
7    | Armada           | 2 - 1 | 9,625,947
8    | AI               | 2 - 1 | 9,526,794
9    | Astryx           | 2 - 1 | 9,246,557
10   | Pray4Texas       | 2 - 1 | 8,597,354
11   | Revive           | 2 - 1 | 8,597,113
12   | TheNut           | 2 - 1 | 8,550,710
13   | SINoABBY         | 2 - 1 | 8,537,447
14   | Another          | 2 - 1 | 7,663,617
15   | Belial           | 2 - 1 | 7,622,281
16   | UmaruLand        | 2 - 1 | 7,530,621
17   | KAIJU            | 2 - 1 | 7,316,667
18   | Lunar日食          | 2 - 1 | 7,308,546
19   | WildRose         | 2 - 1 | 7,296,772
20   | Genesis          | 3 - 0 | 7,234,175
21   | Frans            | 2 - 1 | 7,208,281
22   | RosaGigantea     | 2 - 1 | 6,779,780
23   | Aether           | 2 - 1 | 6,559,073
24   | Eternum          | 2 - 1 | 6,554,827
25   | Mexicore         | 2 - 1 | 6,533,857
26   | ArkainaKore      | 2 - 1 | 6,508,777
27   | Abyss            | 1 - 2 | 6,263,342
28   | 7thElement       | 2 - 1 | 6,208,762
29   | Bellum           | 2 - 1 | 6,185,840
30   | Nameless         | 2 - 1 | 6,120,956
31   | Hopeless         | 2 - 1 | 6,104,959
32   | RoyalKnights     | 3 - 0 | 6,046,047
33   | YokoTako         | 1 - 2 | 6,016,481
34   | NazarickⓈ        | 2 - 1 | 5,983,051
35   | CrimsonTears     | 2 - 1 | 5,946,833
36   | Axolotl生         | 2 - 1 | 5,946,308
37   | ISEKAI           | 2 - 1 | 5,943,574
38   | SectaDeLammy     | 2 - 1 | 5,865,920
39   | Lunaris          | 2 - 1 | 5,849,979
40   | Aussie           | 2 - 1 | 5,829,898
41   | YoRHa            | 3 - 0 | 5,777,260
42   | NeonBomb         | 2 - 1 | 5,745,747
43   | Kokytus          | 2 - 1 | 5,592,018
44   | Tiramisu         | 1 - 2 | 5,546,143
45   | Legion           | 2 - 1 | 5,340,641
46   | Nekopara         | 2 - 1 | 5,281,565
47   | Outliers         | 2 - 1 | 5,270,305
48   | Unseelie         | 2 - 1 | 5,245,060
49   | •FurrosTulOnes•  | 1 - 2 | 5,123,350
50   | Wantasm          | 2 - 1 | 5,065,238
51   | Shangri-La       | 2 - 1 | 5,061,813
52   | Upupupu          | 1 - 2 | 5,044,489
53   | Thigh.Highs&GB   | 2 - 1 | 5,043,275
54   | Materia          | 1 - 2 | 4,998,987
55   | Halcyon          | 2 - 1 | 4,916,853
56   | Fabales          | 2 - 1 | 4,915,312
57   | Quetzalcóatl     | 2 - 1 | 4,777,233
58   | Sidonia          | 2 - 1 | 4,719,768
59   | Replicant        | 2 - 1 | 4,637,409
60   | Cognatus         | 1 - 2 | 4,544,255
61   | Valkyrie         | 2 - 1 | 4,519,856
62   | エロすぎる            | 3 - 0 | 4,481,160
63   | ValeofCrab       | 2 - 1 | 4,465,037
64   | NW               | 1 - 2 | 4,446,758
65   | RE:CDE           | 1 - 2 | 4,320,541
66   | Persona          | 1 - 2 | 4,285,834
67   | Kaguya           | 2 - 1 | 4,243,243
68   | Papeefs          | 2 - 1 | 4,234,414
69   | Bloodlust        | 2 - 1 | 4,131,217
70   | 『StrangelyBad』   | 2 - 1 | 4,110,701
71   | Alter            | 2 - 1 | 4,080,437
72   | Royals           | 1 - 2 | 4,006,792
73   | Log~Horizon      | 2 - 1 | 3,993,025
74   | AnkhMorpork      | 2 - 1 | 3,975,392
75   | Ultimate☆Despair | 2 - 1 | 3,973,325
76   | FGOChile         | 1 - 2 | 3,896,167
77   | Killhare         | 1 - 2 | 3,674,597
78   | LunarTearSociety | 2 - 1 | 3,638,256
79   | 『Nєχυѕ』          | 1 - 2 | 3,592,573
80   | Aiseiri          | 1 - 2 | 3,576,890
81   | GachaElite       | 1 - 2 | 3,568,202
82   | CrimsonRose      | 2 - 1 | 3,516,326
83   | Lemonade         | 2 - 1 | 3,502,836
84   | Brigandia        | 2 - 1 | 3,467,334
85   | Xel'Naga         | 1 - 2 | 3,456,607
86   | YoRHa            | 2 - 1 | 3,449,217
87   | .izakaya         | 1 - 2 | 3,416,186
88   | SinoPake         | 1 - 2 | 3,376,623
89   | Space            | 1 - 2 | 3,309,177
90   | Intoners         | 1 - 2 | 3,294,266
91   | Golden•Dawn      | 1 - 2 | 3,247,523
92   | CookieClub       | 2 - 1 | 3,221,953
93   | DayBreak         | 1 - 2 | 3,174,788
94   | Hylia            | 2 - 1 | 3,144,961
95   | Salt             | 1 - 2 | 3,133,450
96   | Los_Urgi2!       | 1 - 2 | 3,124,425
97   | Zodiac           | 2 - 1 | 3,085,861
98   | Café             | 1 - 2 | 2,978,329
99   | Re;Quest         | 1 - 2 | 2,961,584
100  | NotW             | 1 - 2 | 2,931,945
101  | Database         | 2 - 1 | 2,854,762
102  | /nopan/          | 1 - 2 | 2,761,032
103  | SkyL-YRH         | 1 - 2 | 2,677,074
104  | Sino/Fgo         | 1 - 2 | 2,638,339
105  | Shinigami's      | 1 - 2 | 2,623,549
106  | Rubrum           | 2 - 1 | 2,569,266
107  | Tragedia         | 1 - 2 | 2,458,432
108  | Mochi            | 2 - 1 | 2,437,888
109  | SkyPlus          | 1 - 2 | 2,409,742
110  | Weebs_Reborn!    | 1 - 2 | 2,391,212
111  | YoRHa            | 1 - 2 | 2,378,753
112  | Delirios         | 1 - 2 | 2,320,831
113  | SonsOfAnarchy    | 1 - 2 | 2,303,934
114  | Autores          | 1 - 2 | 2,301,449
115  | ExileAngels      | 1 - 2 | 2,266,113
116  | Ψ☆Nefilims☆Ψ     | 1 - 2 | 2,212,055
117  | BLANKET          | 0 - 3 | 2,203,930
118  | JuiceBox         | 1 - 2 | 2,186,800
119  | Mirage           | 1 - 2 | 2,132,683
120  | OwO              | 1 - 2 | 2,046,313
121  | ╬MatureBearsメ    | 1 - 2 | 1,966,958
122  | Replicants       | 1 - 2 | 1,929,565
123  | Forsaken         | 1 - 2 | 1,905,935
124  | CoM              | 1 - 2 | 1,886,585
125  | SINoFAMS         | 1 - 2 | 1,799,868
126  | Somnus           | 1 - 2 | 1,651,957
127  | KoS              | 1 - 2 | 1,594,454
128  | Lollipop         | 1 - 2 | 1,555,086
129  | Ragnarok         | 1 - 2 | 1,538,918
130  | Platinum         | 1 - 2 | 1,439,720
131  | Yormn's          | 1 - 2 | 1,393,581
132  | [~Wicked~]       | 1 - 2 | 1,363,933
133  | Chesire          | 1 - 2 | 1,288,104
134  | Magius           | 1 - 2 | 1,282,638
135  | UɴᴛɪʟDᴀᴡɴ        | 1 - 2 | 1,256,280
136  | Trishula         | 1 - 2 | 1,189,705
137  | Bunbuns          | 1 - 2 | 1,081,223
138  | Automata         | 1 - 2 | 975,962
139  | DemonSoul's      | 1 - 2 | 965,066
140  | Pusheen          | 1 - 2 | 909,724
141  | FringePhatoms    | 0 - 3 | 902,323
142  | Choco            | 0 - 3 | 571,229
143  | 7SinCult         | 0 - 3 | 533,093
144  | Euthalia         | 0 - 3 | 304,307
145  | SINoMEX          | 0 - 3 | 238,313
146  | Infernum         | 0 - 3 | 201,659
147  | Gestalts         | 0 - 3 | 152,517
148  | Neptune’sDevout  | 0 - 3 | 114,371
149  | YNotGuild        | 0 - 3 | 44,065
