Rank | Name             | W - L | Lifeforce

1    | Peanut           | 3 - 0 | 14,526,216
2    | 6Baguettes       | 3 - 0 | 10,538,363
3    | Weebs            | 3 - 0 | 9,981,621
4    | Vesto            | 2 - 1 | 8,957,500
5    | Squids           | 2 - 1 | 8,743,388
6    | ClammyClam       | 2 - 1 | 8,592,015
7    | Phantasmagoria   | 2 - 1 | 8,557,072
8    | Kali             | 3 - 0 | 8,509,692
9    | KokoDayo         | 2 - 1 | 8,419,717
10   | YoRha            | 3 - 0 | 8,361,172
11   | Codex            | 2 - 1 | 8,224,741
12   | Birbs            | 2 - 1 | 8,093,873
13   | Uncharted        | 2 - 1 | 7,677,730
14   | SANCTUM          | 2 - 1 | 7,535,171
15   | Dabbers          | 2 - 1 | 7,456,653
16   | TeamPetty        | 3 - 0 | 7,360,273
17   | CatCafé          | 3 - 0 | 7,323,451
18   | GranWing         | 2 - 1 | 7,118,986
19   | Marigold         | 2 - 1 | 7,016,446
20   | GrimTale         | 3 - 0 | 6,916,449
21   | Solis            | 2 - 1 | 6,872,170
22   | Baguette         | 2 - 1 | 6,847,683
23   | Hazelnut         | 2 - 1 | 6,813,833
24   | HupGuard         | 2 - 1 | 6,661,430
25   | Mjødhall         | 2 - 1 | 6,631,503
26   | Odyssey          | 2 - 1 | 6,624,480
27   | Salvation™       | 2 - 1 | 6,551,970
28   | KARMA            | 2 - 1 | 6,549,620
29   | La_Secte         | 2 - 1 | 6,435,148
30   | Mistborn         | 2 - 1 | 6,432,738
31   | BeAsG0Ds         | 2 - 1 | 6,305,095
32   | SINcerity        | 2 - 1 | 6,278,797
33   | EndofPariah      | 2 - 1 | 6,261,602
34   | Blank            | 2 - 1 | 6,253,628
35   | DayDream         | 1 - 2 | 6,155,752
36   | NoTale.F.A       | 2 - 1 | 5,751,077
37   | 7Sins            | 2 - 1 | 5,742,292
38   | GrimmNightmare   | 2 - 1 | 5,724,405
39   | Asterisk         | 2 - 1 | 5,708,299
40   | Lithium          | 2 - 1 | 5,581,607
