Rank | Name             | W - L | Lifeforce

1    | JustUsFrogsAgain | 1 - 0 | 4,114,054
2    | Pariah           | 1 - 0 | 3,988,106
3    | 404              | 1 - 0 | 3,502,893
4    | Echi_Di_CULtura  | 1 - 0 | 3,425,096
5    | Reunion          | 1 - 0 | 3,418,961
6    | Realm            | 1 - 0 | 3,226,148
7    | Hysteria         | 1 - 0 | 3,213,613
8    | Revive20SP       | 1 - 0 | 3,154,075
9    | Elysium          | 1 - 0 | 3,151,423
10   | AllStars         | 1 - 0 | 3,148,117
11   | Secret_Garden    | 1 - 0 | 3,138,041
12   | Aether           | 1 - 0 | 3,073,862
13   | Rapture          | 1 - 0 | 2,856,050
14   | Sylaise          | 1 - 0 | 2,748,292
15   | Yubi             | 1 - 0 | 2,711,366
16   | Arcanum          | 1 - 0 | 2,676,933
17   | Noragami         | 1 - 0 | 2,660,766
18   | Hollows          | 1 - 0 | 2,658,510
19   | Precure          | 1 - 0 | 2,639,910
20   | Märchen          | 1 - 0 | 2,594,570
21   | Charlemagne      | 1 - 0 | 2,522,887
22   | Lucklets         | 1 - 0 | 2,517,637
23   | Hokuten-Knights  | 1 - 0 | 2,479,081
24   | Meow             | 1 - 0 | 2,450,723
25   | 4Taro            | 1 - 0 | 2,420,470
26   | CosmoCon         | 1 - 0 | 2,418,133
27   | AllStars         | 1 - 0 | 2,396,654
28   | Library          | 1 - 0 | 2,357,517
29   | Grimms_Requiem   | 1 - 0 | 2,304,527
30   | Twilight         | 1 - 0 | 2,262,937
31   | DarkMoon         | 1 - 0 | 2,249,498
32   | Grimoire         | 1 - 0 | 2,229,495
33   | Hellions         | 1 - 0 | 2,179,824
34   | Scriptor         | 1 - 0 | 2,155,370
35   | Gateway          | 1 - 0 | 2,086,835
36   | Roselia          | 0 - 1 | 2,077,795
37   | Noxious          | 0 - 1 | 2,073,520
38   | Walhalla         | 1 - 0 | 2,072,614
39   | Waifus♡          | 1 - 0 | 2,056,116
40   | Juicy            | 1 - 0 | 1,956,202
41   | Astra            | 1 - 0 | 1,929,221
