Rank | Name            | W - L | Lifeforce

1    | Encore          | 1 - 0 | 4,034,120
2    | owo7            | 1 - 0 | 4,019,386
3    | 문제아             | 1 - 0 | 3,998,507
4    | (주)월하미인         | 1 - 0 | 3,575,310
5    | SINoALICE       | 1 - 0 | 3,529,739
6    | 블랙소울            | 1 - 0 | 3,511,914
7    | 냥냥펀치            | 1 - 0 | 3,430,468
8    | 즐거운우리집          | 1 - 0 | 3,260,806
9    | Neko★彡彡         | 1 - 0 | 3,230,861
10   | S.E.A           | 1 - 0 | 3,161,147
11   | TeaCats         | 1 - 0 | 3,053,055
12   | PlayWoW         | 1 - 0 | 3,047,067
13   | 새벽              | 1 - 0 | 2,991,505
14   | Ovan'$$Ble$$ing | 1 - 0 | 2,972,474
15   | ꫛꫀꪝ✧‧˚          | 1 - 0 | 2,931,190
16   | Coldbrew        | 1 - 0 | 2,889,287
17   | Astarea         | 1 - 0 | 2,861,302
18   | ƔϵևՁɠɠ          | 1 - 0 | 2,673,676
19   | aster           | 1 - 0 | 2,616,457
20   | Hoshi           | 1 - 0 | 2,545,707
21   | 바나나우유           | 1 - 0 | 2,493,288
22   | Daybreak        | 1 - 0 | 2,457,233
23   | Roselia         | 1 - 0 | 2,425,477
24   | 마굿간             | 1 - 0 | 2,371,310
25   | Nekoship        | 1 - 0 | 2,278,906
26   | ADIX            | 1 - 0 | 2,277,293
27   | Chariot         | 1 - 0 | 2,249,738
28   | FoxTails        | 1 - 0 | 2,188,685
29   | Marina          | 1 - 0 | 2,185,396
30   | 쿠로가미            | 1 - 0 | 1,937,911
31   | 끓는무쇠솥           | 1 - 0 | 1,886,072
32   | Jelly           | 1 - 0 | 1,813,135
33   | Fallacy         | 1 - 0 | 1,792,536
34   | Wyld            | 1 - 0 | 1,790,047
35   | 설화              | 0 - 1 | 1,788,595
36   | Vigrior         | 1 - 0 | 1,788,175
37   | Mementos        | 1 - 0 | 1,785,220
38   | StarryNight     | 1 - 0 | 1,773,276
39   | Ashurã          | 1 - 0 | 1,725,257
40   | Lameroz         | 1 - 0 | 1,724,270
41   | MomPasta        | 1 - 0 | 1,685,589
42   | Asphyxia        | 1 - 0 | 1,664,810
43   | TakoYaki        | 0 - 1 | 1,644,907
44   | 연인              | 1 - 0 | 1,587,183
45   | Maung           | 0 - 1 | 1,525,023
46   | AlmondMilk      | 0 - 1 | 1,436,514
47   | Alfamart        | 1 - 0 | 1,396,635
48   | Crown​          | 1 - 0 | 1,375,409
49   | Gkilling        | 1 - 0 | 1,317,371
50   | Isocial         | 1 - 0 | 1,306,244
51   | SINful          | 1 - 0 | 1,302,457
52   | Colours         | 1 - 0 | 1,261,279
53   | AstessiaJC      | 0 - 1 | 1,196,281
54   | REPL:EVER       | 0 - 1 | 1,162,799
55   | GrimGrimoire[β] | 1 - 0 | 1,154,610
56   | D.M.C           | 1 - 0 | 1,142,663
57   | Prinny_Brigade  | 1 - 0 | 1,084,323
58   | Alicization     | 0 - 1 | 854,853
59   | 콜로세움하자          | 0 - 1 | 835,584
60   | ZODIAC          | 0 - 1 | 779,820
61   | JuraForest      | 0 - 1 | 740,361
62   | Almond          | 0 - 1 | 723,692
63   | MiGraine        | 0 - 1 | 701,546
64   | RainyDay        | 0 - 1 | 699,789
65   | Avantheim       | 0 - 1 | 671,221
66   | SINoPORE        | 0 - 1 | 670,781
67   | ILLUMINAE       | 0 - 1 | 662,184
68   | Orchid          | 0 - 1 | 656,491
69   | Arcanum         | 0 - 1 | 581,330
70   | IndoSin         | 0 - 1 | 565,678
71   | Stellar         | 0 - 1 | 563,809
72   | DragonStar      | 0 - 1 | 563,652
73   | Nier            | 0 - 1 | 550,549
74   | Lancaster       | 0 - 1 | 526,186
75   | 조용조용            | 1 - 0 | 522,033
76   | GrimGrimoire[α] | 0 - 1 | 509,622
77   | Arunafel        | 0 - 1 | 491,886
78   | SV              | 0 - 1 | 466,218
79   | Wind            | 0 - 1 | 364,055
80   | 길드명추천받습니다       | 0 - 1 | 357,762
81   | BanVaeN         | 0 - 1 | 340,053
82   | YoRHa           | 0 - 1 | 325,842
83   | SINoArc         | 0 - 1 | 282,164
84   | RLC             | 0 - 1 | 264,186
85   | TRIAD           | 0 - 1 | 230,442
86   | ☆Waifus☆        | 0 - 1 | 217,053
87   | Nai~Waaa        | 0 - 1 | 215,424
88   | SINergia        | 0 - 1 | 146,823
89   | 수상한암살           | 0 - 1 | 139,944
90   | SkyIndo         | 0 - 1 | 130,943
91   | Scarlet         | 0 - 1 | 128,351
92   | CHALDEA         | 0 - 1 | 70,542
93   | Insanity        | 0 - 1 | 63,896
94   | Doge            | 0 - 1 | 52,321
95   | EcchiLand       | 0 - 1 | 44,766
96   | Tranquil        | 0 - 1 | 32,362
97   | ¿ApplE?         | 0 - 1 | 17,332
98   | DarkVoid        | 0 - 1 | 13,432
99   | PlayCat         | 0 - 1 | 5,384
100  | Sinners         | 0 - 1 | 5,216
101  | Lounge          | 0 - 1 | 4,929
102  | Perseverance    | 0 - 1 | 4,253
103  | KuroNeko        | 0 - 1 | 3,794
104  | Creamed         | 0 - 1 | 1,214
