Rank | Name            | W - L | Lifeforce

1    | AstelliaJC      | 1 - 0 | 5,106,698
2    | FTRAP           | 1 - 0 | 4,052,507
3    | Corosars        | 1 - 0 | 3,638,611
4    | Nandos          | 1 - 0 | 3,571,900
5    | Ecstasy         | 1 - 0 | 3,306,573
6    | HoneyBunny      | 1 - 0 | 3,147,359
7    | Ogygia          | 1 - 0 | 3,131,587
8    | Chronicles      | 1 - 0 | 3,121,942
9    | Drzkade         | 1 - 0 | 3,003,047
10   | BloodOath       | 1 - 0 | 2,967,730
11   | 14vs1           | 1 - 0 | 2,765,783
12   | Alice           | 1 - 0 | 2,764,342
13   | ♡DEBAUCHERY♥    | 1 - 0 | 2,629,588
14   | Elkia           | 1 - 0 | 2,616,658
15   | Fatalis         | 1 - 0 | 2,500,435
16   | 밤하늘             | 1 - 0 | 2,483,293
17   | SomePP          | 1 - 0 | 2,424,164
18   | 福Lucky♡         | 1 - 0 | 2,315,359
19   | PiKACHeW        | 1 - 0 | 2,298,973
20   | Kyushi          | 1 - 0 | 2,223,261
21   | Phets           | 1 - 0 | 2,215,636
22   | NieR            | 1 - 0 | 2,197,102
23   | Aeternum        | 1 - 0 | 2,138,590
24   | pepegang        | 1 - 0 | 2,125,260
25   | Rutledge        | 1 - 0 | 2,088,264
26   | PhantomRoad     | 1 - 0 | 2,079,117
27   | Dantalion       | 1 - 0 | 1,955,300
28   | Plague          | 1 - 0 | 1,890,133
29   | 「XIII」          | 1 - 0 | 1,886,803
30   | Memories        | 1 - 0 | 1,837,249
31   | Cronoire        | 1 - 0 | 1,752,235
32   | Ichariba        | 0 - 1 | 1,748,156
33   | Shuuba~         | 1 - 0 | 1,661,840
34   | Lunar           | 1 - 0 | 1,652,635
35   | ♤♡Palace♧♢      | 0 - 1 | 1,613,840
36   | RedRose         | 1 - 0 | 1,359,492
37   | soon™           | 1 - 0 | 1,322,805
38   | HOTLOADS        | 1 - 0 | 1,311,909
39   | Salt&RNG        | 0 - 1 | 1,303,623
40   | uwu♡~           | 0 - 1 | 1,301,601
41   | 만사귀찮            | 0 - 1 | 1,289,146
42   | Dragon          | 1 - 0 | 1,283,052
43   | Yorozuya        | 1 - 0 | 1,274,035
44   | 언더월드단           | 1 - 0 | 1,272,774
45   | Омут            | 1 - 0 | 1,263,616
46   | Draconic        | 0 - 1 | 1,241,161
47   | Glory           | 0 - 1 | 1,231,354
48   | MilkTinder自     | 0 - 1 | 1,121,782
49   | Loliness        | 0 - 1 | 958,520
50   | Indo.Nesia      | 0 - 1 | 929,220
51   | Pekoland        | 0 - 1 | 906,987
52   | Adastra         | 1 - 0 | 841,432
53   | Mahjong         | 0 - 1 | 770,844
54   | LWSR            | 0 - 1 | 750,358
55   | Daydreamer      | 0 - 1 | 724,248
56   | ส้มป่อย         | 0 - 1 | 682,062
57   | Virtuous        | 0 - 1 | 675,694
58   | FaE             | 0 - 1 | 563,666
59   | Fairy           | 0 - 1 | 552,417
60   | S.E.E.S.        | 0 - 1 | 515,246
61   | Arknight        | 0 - 1 | 453,114
62   | |Solo|          | 0 - 1 | 426,416
63   | Homura炎         | 0 - 1 | 413,776
64   | SHIRI           | 0 - 1 | 393,771
65   | ϟNeverland      | 0 - 1 | 389,045
66   | NoppaiGG        | 0 - 1 | 359,917
67   | Teardrop        | 0 - 1 | 344,828
68   | CrimsonFlames   | 0 - 1 | 295,633
69   | UNDRGROUND      | 0 - 1 | 256,996
70   | EMILIA          | 0 - 1 | 243,195
71   | Bleach          | 0 - 1 | 179,163
72   | Illusive        | 0 - 1 | 164,313
73   | BLACKPAGE       | 0 - 1 | 139,435
74   | Pluggies        | 0 - 1 | 114,607
75   | Mewtaku         | 0 - 1 | 101,660
76   | LoneWolf        | 0 - 1 | 91,340
77   | Narrators       | 0 - 1 | 84,861
78   | CelestialDemons | 0 - 1 | 61,499
79   | Bloodlust       | 0 - 1 | 57,798
80   | Yomi            | 0 - 1 | 15,935
81   | Memoire         | 0 - 1 | 8,968
82   | Penumbra        | 0 - 1 | 4,856
83   | Nuwbieez        | 0 - 1 | 1,429
