Rank | Name             | W - L | Lifeforce

1    | Malchi           | 1 - 0 | 4,540,369
2    | Rebirth          | 1 - 0 | 4,501,356
3    | Brotherhood      | 1 - 0 | 4,383,735
4    | Wu               | 1 - 0 | 4,203,093
5    | MilkVoid         | 1 - 0 | 4,090,520
6    | Cirque           | 1 - 0 | 3,980,257
7    | 『MR』             | 1 - 0 | 3,326,931
8    | Avenoir          | 1 - 0 | 3,230,253
9    | PowerUP          | 1 - 0 | 3,229,334
10   | Smh-3-           | 1 - 0 | 3,190,357
11   | Angelis          | 1 - 0 | 3,169,449
12   | Yaiba2.0         | 1 - 0 | 3,141,941
13   | Xoriat           | 1 - 0 | 3,100,514
14   | SOX天国            | 1 - 0 | 3,010,690
15   | Typhon           | 1 - 0 | 2,979,230
16   | Shikibu          | 1 - 0 | 2,937,209
17   | Dream            | 1 - 0 | 2,793,523
18   | Carmesí          | 1 - 0 | 2,680,039
19   | Twelve           | 0 - 1 | 2,641,398
20   | Luxuria          | 1 - 0 | 2,632,255
21   | RedQueen         | 1 - 0 | 2,548,254
22   | Crypters         | 1 - 0 | 2,519,567
23   | DeadDemon        | 1 - 0 | 2,512,379
24   | YoRHa            | 1 - 0 | 2,497,421
25   | kokoron          | 1 - 0 | 2,458,302
26   | TheBunker        | 1 - 0 | 2,456,157
27   | Hololive         | 1 - 0 | 2,454,478
28   | Noobs            | 1 - 0 | 2,447,803
29   | [Not]Eternia     | 1 - 0 | 2,423,060
30   | Otaku            | 1 - 0 | 2,351,798
31   | Nexus            | 1 - 0 | 2,343,548
32   | MirrorOfFate     | 1 - 0 | 2,267,755
33   | HailFuHua        | 1 - 0 | 2,254,213
34   | LammyOnlyFans    | 1 - 0 | 2,254,062
35   | /sagg/           | 1 - 0 | 2,233,672
36   | Palantir         | 1 - 0 | 2,226,367
37   | LammyCult        | 1 - 0 | 2,224,964
38   | Manaos           | 1 - 0 | 2,171,009
39   | Kwassont         | 1 - 0 | 2,138,768
40   | ☬Zeitgeist☬      | 1 - 0 | 2,110,198
41   | WeCan(Not)       | 1 - 0 | 2,060,903
42   | Morisión         | 1 - 0 | 2,031,101
43   | Knightmare       | 1 - 0 | 1,981,769
44   | Magikarp         | 1 - 0 | 1,848,895
45   | Heaven           | 1 - 0 | 1,848,323
